panel,observable,alpha0,m0,value
FIG002A,landau,0.0,0.0,-0.541161616855569
FIG002A,landau,0.1,0.0,-0.5352831321757164
FIG002A,landau,0.2,0.0,-0.5265148677068242
FIG002A,landau,0.30000000000000004,0.0,-0.5166764259472582
FIG002A,landau,0.4,0.0,-0.5063025899670068
FIG002A,landau,0.5,0.0,-0.4956608847188885
FIG002A,landau,0.6000000000000001,0.0,-0.48490877490899553
FIG002A,landau,0.7000000000000001,0.0,-0.4741471491132607
FIG002A,landau,0.8,0.0,-0.4634439919843582
FIG002A,landau,0.9,0.0,-0.45284656161456527
FIG002A,landau,1.0,0.0,-0.44238830980295013
FIG002A,landau,1.1,0.0,-0.43209310593281186
FIG002A,landau,1.2000000000000002,0.0,-0.421977957812392
FIG002A,landau,1.3,0.0,-0.4120548397345889
FIG002A,landau,1.4000000000000001,0.0,-0.40233196292760415
FIG002A,landau,1.5,0.0,-0.39281468324840685
FIG002A,landau,1.6,0.0,-0.38350616477718646
FIG002A,landau,1.7000000000000002,0.0,-0.3744078744209425
FIG002A,landau,1.8,0.0,-0.36551995665121695
FIG002A,landau,1.9000000000000001,0.0,-0.3568415214228008
FIG002A,landau,2.0,0.0,-0.3483708680536224
FIG002A,landau,2.1,0.0,-0.3401056611084389
FIG002A,landau,2.2,0.0,-0.3320430697996517
FIG002A,landau,2.3000000000000003,0.0,-0.32417987930811126
FIG002A,landau,2.4000000000000004,0.0,-0.31651258024965045
FIG002A,landau,2.5,0.0,-0.30903744096290187
FIG002A,landau,2.6,0.0,-0.30175056617300744
FIG002A,landau,2.7,0.0,-0.2946479447637834
FIG002A,landau,2.8000000000000003,0.0,-0.28772548878031584
FIG002A,landau,2.9000000000000004,0.0,-0.28097906532507405
FIG002A,landau,3.0,0.0,-0.2744045226620391
FIG002A,landau,3.1,0.0,-0.26799771157588603
FIG002A,landau,3.2,0.0,-0.26175450282617746
FIG002A,landau,3.3000000000000003,0.0,-0.25567080137481313
FIG002A,landau,3.4000000000000004,0.0,-0.24974255793770822
FIG002A,landau,3.5,0.0,-0.24396577831077
FIG002A,landau,3.6,0.0,-0.2383365308396882
FIG002A,landau,3.7,0.0,-0.23285095233835532
FIG002A,landau,3.8000000000000003,0.0,-0.2275052527084389
FIG002A,landau,3.9000000000000004,0.0,-0.22229571847014007
FIG002A,landau,4.0,0.0,-0.21721871537946358
FIG002A,landau,4.1000000000000005,0.0,-0.21227069027884155
FIG002A,landau,4.2,0.0,-0.207448172304464
FIG002A,landau,4.3,0.0,-0.2027477735542223
FIG002A,landau,4.4,0.0,-0.19816618930400454
FIG002A,landau,4.5,0.0,-0.19370019784659392
FIG002A,landau,4.6000000000000005,0.0,-0.1893466600161256
FIG002A,landau,4.7,0.0,-0.18510251845156978
FIG002A,landau,4.800000000000001,0.0,-0.1809647966447152
FIG002A,landau,4.9,0.0,-0.17693059781137477
FIG002A,landau,5.0,0.0,-0.1729971036188095
FIG002A,landau,5.1000000000000005,0.0,-0.16916157279751196
FIG002A,landau,5.2,0.0,-0.1654213396613522
FIG002A,landau,5.300000000000001,0.0,-0.1617738125565626
FIG002A,landau,5.4,0.0,-0.15821647225702462
FIG002A,landau,5.5,0.0,-0.15474687032073947
FIG002A,landau,5.6000000000000005,0.0,-0.1513626274201546
FIG002A,landau,5.7,0.0,-0.14806143165711588
FIG002A,landau,5.800000000000001,0.0,-0.14484103687158711
FIG002A,landau,5.9,0.0,-0.14169926095187096
FIG002A,landau,6.0,0.0,-0.13863398415285583
FIG002A,landau,6.1000000000000005,0.0,-0.13564314742777311
FIG002A,landau,6.2,0.0,-0.13272475077804607
FIG002A,landau,6.300000000000001,0.0,-0.1298768516250397
FIG002A,landau,6.4,0.0,-0.12709756320684873
FIG002A,landau,6.5,0.0,-0.12438505300268433
FIG002A,landau,6.6000000000000005,0.0,-0.12173754118692262
FIG002A,landau,6.7,0.0,-0.11915329911444617
FIG002A,landau,6.800000000000001,0.0,-0.11663064783854199
FIG002A,landau,6.9,0.0,-0.11416795666229893
FIG002A,landau,7.0,0.0,-0.11176364172417357
FIG002A,landau,7.1000000000000005,0.0,-0.10941616461816
FIG002A,landau,7.2,0.0,-0.10712403104879517
FIG002A,landau,7.300000000000001,0.0,-0.10488578952106091
FIG002A,landau,7.4,0.0,-0.10270003006509709
FIG002A,landau,7.5,0.0,-0.10056538299551494
FIG002A,landau,7.6000000000000005,0.0,-0.09848051770499536
FIG002A,landau,7.7,0.0,-0.096444141491769
FIG002A,landau,7.800000000000001,0.0,-0.09445499842049969
FIG002A,landau,7.9,0.0,-0.09251186821603477
FIG002A,landau,8.0,0.0,-0.09061356518943245
FIG002A,landau,8.1,0.0,-0.08875893719563926
FIG002A,landau,8.200000000000001,0.0,-0.08694686462215687
FIG002A,landau,8.3,0.0,-0.08517625940801393
FIG002A,landau,8.4,0.0,-0.08344606409233968
FIG002A,landau,8.5,0.0,-0.08175525089182309
FIG002A,landau,8.6,0.0,-0.08010282080633403
FIG002A,landau,8.700000000000001,0.0,-0.07848780275197725
FIG002A,landau,8.8,0.0,-0.07690925272085061
FIG002A,landau,8.9,0.0,-0.07536625296677976
FIG002A,landau,9.0,0.0,-0.07385791121630828
FIG002A,landau,9.1,0.0,-0.07238335990422637
FIG002A,landau,9.200000000000001,0.0,-0.07094175543293277
FIG002A,landau,9.3,0.0,-0.06953227745493241
FIG002A,landau,9.4,0.0,-0.06815412817778516
FIG002A,landau,9.5,0.0,-0.06680653169083275
FIG002A,landau,9.600000000000001,0.0,-0.06548873331304518
FIG002A,landau,9.700000000000001,0.0,-0.06419999896134032
FIG002A,landau,9.8,0.0,-0.06293961453874666
FIG002A,landau,9.9,0.0,-0.06170688534179269
FIG002A,landau,10.0,0.0,-0.060501135486522195
FIG002A,landau,10.100000000000001,0.0,-0.059321707352550115
FIG002A,landau,10.200000000000001,0.0,-0.05816796104458836
FIG002A,landau,10.3,0.0,-0.05703927387088702
FIG002A,landau,10.4,0.0,-0.055935039838051794
FIG002A,landau,10.5,0.0,-0.054854669161713276
FIG002A,landau,10.600000000000001,0.0,-0.05379758779253908
FIG002A,landau,10.700000000000001,0.0,-0.05276323695709496
FIG002A,landau,10.8,0.0,-0.05175107271307539
FIG002A,landau,10.9,0.0,-0.05076056551843885
FIG002A,landau,11.0,0.0,-0.04979119981399751
FIG002A,landau,11.100000000000001,0.0,-0.04884247361902394
FIG002A,landau,11.200000000000001,0.0,-0.047913898139452606
FIG002A,landau,11.3,0.0,-0.04700499738826582
FIG002A,landau,11.4,0.0,-0.046115307817668
FIG002A,landau,11.5,0.0,-0.045244377962663805
FIG002A,landau,11.600000000000001,0.0,-0.044391768095668825
FIG002A,landau,11.700000000000001,0.0,-0.043557049891793244
FIG002A,landau,11.8,0.0,-0.04273980610445044
FIG002A,landau,11.9,0.0,-0.04193963025095416
FIG002A,landau,12.0,0.0,-0.041156126307779
FIG002A,landau,12.100000000000001,0.0,-0.04038890841516923
FIG002A,landau,12.200000000000001,0.0,-0.039637600590791924
FIG002A,landau,12.3,0.0,-0.03890183645214003
FIG002A,landau,12.4,0.0,-0.03818125894740122
FIG002A,landau,12.5,0.0,-0.03747552009451744
FIG002A,landau,12.600000000000001,0.0,-0.0367842807281695
FIG002A,landau,12.700000000000001,0.0,-0.03610721025442998
FIG002A,landau,12.8,0.0,-0.035443986412836095
FIG002A,landau,12.9,0.0,-0.0347942950456427
FIG002A,landau,13.0,0.0,-0.03415782987402362
FIG002A,landau,13.100000000000001,0.0,-0.03353429228099726
FIG002A,landau,13.200000000000001,0.0,-0.03292339110086009
FIG002A,landau,13.3,0.0,-0.03232484241491853
FIG002A,landau,13.4,0.0,-0.03173836935331735
FIG002A,landau,13.5,0.0,-0.03116370190276907
FIG002A,landau,13.600000000000001,0.0,-0.030600576719995564
FIG002A,landau,13.700000000000001,0.0,-0.030048736950699494
