target_id,panel_id,alpha0,m0,energy_ratio,series_id,provenance
T002,FIG003A,0.025,0,150.62924348,FIG3_M0_0,independent_numerics
T002,FIG003A,0.0750501002004,0,50.4534711201,FIG3_M0_0,independent_numerics
T002,FIG003A,0.125100200401,0,30.4755693444,FIG3_M0_0,independent_numerics
T002,FIG003A,0.175150300601,0,21.9319988055,FIG3_M0_0,independent_numerics
T002,FIG003A,0.225200400802,0,17.1947782632,FIG3_M0_0,independent_numerics
T002,FIG003A,0.275250501002,0,14.1855881453,FIG3_M0_0,independent_numerics
T002,FIG003A,0.325300601202,0,12.1057782156,FIG3_M0_0,independent_numerics
T002,FIG003A,0.375350701403,0,10.5829605824,FIG3_M0_0,independent_numerics
T002,FIG003A,0.425400801603,0,9.42015225663,FIG3_M0_0,independent_numerics
T002,FIG003A,0.475450901804,0,8.50340359184,FIG3_M0_0,independent_numerics
T002,FIG003A,0.525501002004,0,7.76223107505,FIG3_M0_0,independent_numerics
T002,FIG003A,0.575551102204,0,7.15070358521,FIG3_M0_0,independent_numerics
T002,FIG003A,0.625601202405,0,6.63761225538,FIG3_M0_0,independent_numerics
T002,FIG003A,0.675651302605,0,6.20101205326,FIG3_M0_0,independent_numerics
T002,FIG003A,0.725701402806,0,5.82502363417,FIG3_M0_0,independent_numerics
T002,FIG003A,0.775751503006,0,5.49787417282,FIG3_M0_0,independent_numerics
T002,FIG003A,0.825801603206,0,5.2106512446,FIG3_M0_0,independent_numerics
T002,FIG003A,0.875851703407,0,4.95648435595,FIG3_M0_0,independent_numerics
T002,FIG003A,0.925901803607,0,4.72999219845,FIG3_M0_0,independent_numerics
T002,FIG003A,0.975951903808,0,4.52690016698,FIG3_M0_0,independent_numerics
T002,FIG003A,1.02600200401,0,4.343769956,FIG3_M0_0,independent_numerics
T002,FIG003A,1.07605210421,0,4.17780471183,FIG3_M0_0,independent_numerics
T002,FIG003A,1.12610220441,0,4.02670621287,FIG3_M0_0,independent_numerics
T002,FIG003A,1.17615230461,0,3.88856856506,FIG3_M0_0,independent_numerics
T002,FIG003A,1.22620240481,0,3.76179796885,FIG3_M0_0,independent_numerics
T002,FIG003A,1.27625250501,0,3.64505139305,FIG3_M0_0,independent_numerics
T002,FIG003A,1.32630260521,0,3.53718915568,FIG3_M0_0,independent_numerics
T002,FIG003A,1.37635270541,0,3.43723786768,FIG3_M0_0,independent_numerics
T002,FIG003A,1.42640280561,0,3.34436119099,FIG3_M0_0,independent_numerics
T002,FIG003A,1.47645290581,0,3.25783655452,FIG3_M0_0,independent_numerics
T002,FIG003A,1.52650300601,0,3.1770364587,FIG3_M0_0,independent_numerics
