target_id,panel_id,alpha0,m0,normalized_energy,series_id,provenance
T001,FIG002A,0,0,-0.541161616856,FIG2A_M0_0,independent_numerics
T001,FIG002A,0.1,0,-0.535283132176,FIG2A_M0_0,independent_numerics
T001,FIG002A,0.2,0,-0.526514867707,FIG2A_M0_0,independent_numerics
T001,FIG002A,0.3,0,-0.516676425947,FIG2A_M0_0,independent_numerics
T001,FIG002A,0.4,0,-0.506302589967,FIG2A_M0_0,independent_numerics
T001,FIG002A,0.5,0,-0.495660884719,FIG2A_M0_0,independent_numerics
T001,FIG002A,0.6,0,-0.484908774909,FIG2A_M0_0,independent_numerics
T001,FIG002A,0.7,0,-0.474147149113,FIG2A_M0_0,independent_numerics
T001,FIG002A,0.8,0,-0.463443991984,FIG2A_M0_0,independent_numerics
T001,FIG002A,0.9,0,-0.452846561615,FIG2A_M0_0,independent_numerics
T001,FIG002A,1,0,-0.442388309803,FIG2A_M0_0,independent_numerics
T001,FIG002A,1.1,0,-0.432093105933,FIG2A_M0_0,independent_numerics
T001,FIG002A,1.2,0,-0.421977957812,FIG2A_M0_0,independent_numerics
T001,FIG002A,1.3,0,-0.412054839735,FIG2A_M0_0,independent_numerics
T001,FIG002A,1.4,0,-0.402331962928,FIG2A_M0_0,independent_numerics
T001,FIG002A,1.5,0,-0.392814683248,FIG2A_M0_0,independent_numerics
T001,FIG002A,1.6,0,-0.383506164777,FIG2A_M0_0,independent_numerics
T001,FIG002A,1.7,0,-0.374407874421,FIG2A_M0_0,independent_numerics
T001,FIG002A,1.8,0,-0.365519956651,FIG2A_M0_0,independent_numerics
T001,FIG002A,1.9,0,-0.356841521423,FIG2A_M0_0,independent_numerics
T001,FIG002A,2,0,-0.348370868054,FIG2A_M0_0,independent_numerics
T001,FIG002A,2.1,0,-0.340105661108,FIG2A_M0_0,independent_numerics
T001,FIG002A,2.2,0,-0.3320430698,FIG2A_M0_0,independent_numerics
T001,FIG002A,2.3,0,-0.324179879308,FIG2A_M0_0,independent_numerics
T001,FIG002A,2.4,0,-0.31651258025,FIG2A_M0_0,independent_numerics
T001,FIG002A,2.5,0,-0.309037440963,FIG2A_M0_0,independent_numerics
T001,FIG002A,2.6,0,-0.301750566173,FIG2A_M0_0,independent_numerics
T001,FIG002A,2.7,0,-0.294647944764,FIG2A_M0_0,independent_numerics
T001,FIG002A,2.8,0,-0.28772548878,FIG2A_M0_0,independent_numerics
T001,FIG002A,2.9,0,-0.280979065325,FIG2A_M0_0,independent_numerics
T001,FIG002A,3,0,-0.274404522662,FIG2A_M0_0,independent_numerics
T001,FIG002A,3.1,0,-0.267997711576,FIG2A_M0_0,independent_numerics
T001,FIG002A,3.2,0,-0.261754502826,FIG2A_M0_0,independent_numerics
T001,FIG002A,3.3,0,-0.255670801375,FIG2A_M0_0,independent_numerics
