field_v_m,field_mv_m,declared_excess_ratio,median_temperature_k,median_temperature_uk,quadratic_fit_temperature_uk,stationary_relative_drift,radial_kurtosis,axial_kurtosis,parameter_status
0.003,3.0,0.0,2.349186561392992e-06,2.349186561392992,-3.195205602336529,0.0571461214825905,2.9816191378487753,2.8461394192087375,printed_scale_reconstructed_dynamics
0.06245,62.449999999999996,0.2,3.691883010888026e-05,36.918830108880265,36.2431942465146,0.12136470823617469,1.6611203968429065,3.1162408902083727,printed_scale_reconstructed_dynamics
0.09367,93.67,0.45,8.44146512400222e-05,84.41465124002221,85.64572728859062,0.1235795110575525,1.6473699315302608,3.0820045198070933,printed_scale_reconstructed_dynamics
0.1249,124.89999999999999,0.8,0.00014593438520445415,145.93438520445414,154.83206023145218,0.07609410472568177,1.6357277844210616,2.9585958524416154,printed_scale_reconstructed_dynamics
0.15675,156.75,1.26,0.00023582902005530313,235.82902005530312,245.75573256528162,0.10309753912838529,1.624110819120924,3.125346908250956,printed_scale_reconstructed_dynamics
0.18788,187.88,1.81,0.000371904447262016,371.904447262016,354.49589481996645,0.07242484674859372,1.529401967366759,3.0032195756556392,printed_scale_reconstructed_dynamics
0.2502,250.2,3.21,0.0006276415660914489,627.6415660914489,631.2146829740483,0.06386052153524398,1.6021410080864646,2.826825944824476,printed_scale_reconstructed_dynamics
