magnetic_field_g,loss_rate_s,survival,excess_ratio,partial_wave,parameter_status
323.3,0.10797445795285548,0.978636608678595,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
323.32,0.1070228518836107,0.9788228817111684,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
323.34000000000003,0.10608700093940159,0.9790061053212449,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
323.36,0.10516648032940593,0.979186360973092,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
323.38,0.1042608810303069,0.9793637271313108,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
323.4,0.10336980907172658,0.9795382793956111,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
323.42,0.10249288486147563,0.9797100906281275,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
323.44,0.10162974254787567,0.9798792310737915,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
323.46,0.10078002941653796,0.980045768474246,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
323.48,0.09994340531926477,0.9802097681757408,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
323.5,0.09911954213284552,0.9803712932314238,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
323.52,0.09830812324570254,0.9805304044984114,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
323.54,0.09750884307056147,0.9806871607299802,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
323.56,0.09672140658140792,0.9808416186632029,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
323.58,0.0959455288731417,0.9809938331023286,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
323.6,0.09518093474251711,0.981143856998169,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
323.62,0.09442735828903207,0.9812917415237418,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
323.64,0.09368454253452552,0.9814375361464021,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
323.66,0.09295223906041318,0.9815812886966632,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
323.68,0.09223020766151431,0.9817230454339004,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
323.7,0.09151821601551394,0.9818628511091185,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
323.72,0.09081603936723259,0.9820007490249343,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
323.74,0.09012346022688736,0.9821367810929297,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
323.76,0.08944026808159299,0.9822709878885132,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
323.78000000000003,0.08876625911945768,0.9824034087034107,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
323.8,0.08810123596562676,0.982534081595906,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
323.82,0.08744500742967083,0.9826630434389435,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
323.84000000000003,0.0867973882638116,0.9827903299661876,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
323.86,0.08615819893145449,0.9829159758161368,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
323.88,0.08552726538554153,0.9830400145743848,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
323.9,0.08490441885630864,0.983162478814104,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
323.92,0.0842894956480029,0.983283400134836,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
323.94,0.08368233694418005,0.9834028091996577,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
323.96,0.08308278862118786,0.9835207357708006,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
323.98,0.08249070106950625,0.9836372087437784,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
324.0,0.0819059290225983,0.9837522561800941,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
324.02,0.08132833139293547,0.9838659053385851,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
324.04,0.08075777111492138,0.9839781827054596,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
324.06,0.08019411499441241,0.9840891140230795,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
324.08,0.07963723356453903,0.984198724317548,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
324.1,0.07908700094759322,0.9843070379251418,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
324.12,0.07854329472271414,0.9844140785176425,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
324.14,0.0780059957991142,0.9845198691266115,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
324.16,0.07747498829463723,0.9846244321666517,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
324.18,0.07695015941941435,0.9847277894576961,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
324.2,0.07643139936438756,0.9848299622463698,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
324.22,0.07591860119451826,0.9849309712264577,1.81,3,printed_energy_and_delta_mu_reconstructed_gamma_m
