mapping_row_id,paper_id,check_id,claim_id,claim_ids,supporting_claim_ids,target_ids,item_type,scientific_role,source_ref,scientific_object,disposition,disposition_source,reason_codes,next_action,direct_cause_categories,root_cause_categories,code_fault_statuses,fidelity_status,fidelity_score,fidelity_min_score,fidelity_target_scores,fidelity_missing_target_ids
MAP-0108,10.1007-s11433-024-2478-8,Appendix Figure a7(a),CLM_T008_A7_HYBRID,CLM_T008_A6_AMPLITUDE | CLM_T008_A6_HYBRID | CLM_T008_A7_AMPLITUDE | CLM_T008_A7_HYBRID | CLM_T008_A8_AMPLITUDE | CLM_T008_A8_HYBRID,CLM_T008_A6_AMPLITUDE | CLM_T008_A6_HYBRID | CLM_T008_A7_AMPLITUDE | CLM_T008_A8_AMPLITUDE | CLM_T008_A8_HYBRID,T008,figure_panel,theory_numerical,,,attempted_not_reproduced,item_authoritative_state,fresh_independent_review_inconclusive_after_attempt,none,scientific_result_mismatch,paper_claim_discrepancy,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0109,10.1007-s11433-024-2478-8,Appendix Figure a7(b),CLM_T008_A7_HYBRID,CLM_T008_A6_AMPLITUDE | CLM_T008_A6_HYBRID | CLM_T008_A7_AMPLITUDE | CLM_T008_A7_HYBRID | CLM_T008_A8_AMPLITUDE | CLM_T008_A8_HYBRID,CLM_T008_A6_AMPLITUDE | CLM_T008_A6_HYBRID | CLM_T008_A7_AMPLITUDE | CLM_T008_A8_AMPLITUDE | CLM_T008_A8_HYBRID,T008,figure_panel,theory_numerical,,,attempted_not_reproduced,item_authoritative_state,fresh_independent_review_inconclusive_after_attempt,none,scientific_result_mismatch,paper_claim_discrepancy,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0110,10.1007-s11433-024-2478-8,Appendix Figure a7(c),CLM_T008_A7_AMPLITUDE,CLM_T008_A6_AMPLITUDE | CLM_T008_A6_HYBRID | CLM_T008_A7_AMPLITUDE | CLM_T008_A7_HYBRID | CLM_T008_A8_AMPLITUDE | CLM_T008_A8_HYBRID,CLM_T008_A6_AMPLITUDE | CLM_T008_A6_HYBRID | CLM_T008_A7_HYBRID | CLM_T008_A8_AMPLITUDE | CLM_T008_A8_HYBRID,T008,figure_panel,theory_numerical,,,attempted_not_reproduced,item_authoritative_state,fresh_independent_review_inconclusive_after_attempt,none,scientific_result_mismatch,paper_claim_discrepancy,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0111,10.1007-s11433-024-2478-8,Appendix Figure a7(d),CLM_T008_A7_AMPLITUDE,CLM_T008_A6_AMPLITUDE | CLM_T008_A6_HYBRID | CLM_T008_A7_AMPLITUDE | CLM_T008_A7_HYBRID | CLM_T008_A8_AMPLITUDE | CLM_T008_A8_HYBRID,CLM_T008_A6_AMPLITUDE | CLM_T008_A6_HYBRID | CLM_T008_A7_HYBRID | CLM_T008_A8_AMPLITUDE | CLM_T008_A8_HYBRID,T008,figure_panel,theory_numerical,,,attempted_not_reproduced,item_authoritative_state,fresh_independent_review_inconclusive_after_attempt,none,scientific_result_mismatch,paper_claim_discrepancy,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0112,10.1007-s11433-024-2478-8,Appendix Figure a8(a),CLM_T008_A8_HYBRID,CLM_T008_A6_AMPLITUDE | CLM_T008_A6_HYBRID | CLM_T008_A7_AMPLITUDE | CLM_T008_A7_HYBRID | CLM_T008_A8_AMPLITUDE | CLM_T008_A8_HYBRID,CLM_T008_A6_AMPLITUDE | CLM_T008_A6_HYBRID | CLM_T008_A7_AMPLITUDE | CLM_T008_A7_HYBRID | CLM_T008_A8_AMPLITUDE,T008,figure_panel,theory_numerical,,,attempted_not_reproduced,item_authoritative_state,fresh_independent_review_inconclusive_after_attempt,none,scientific_result_mismatch,paper_claim_discrepancy,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0113,10.1007-s11433-024-2478-8,Appendix Figure a8(b),CLM_T008_A8_HYBRID,CLM_T008_A6_AMPLITUDE | CLM_T008_A6_HYBRID | CLM_T008_A7_AMPLITUDE | CLM_T008_A7_HYBRID | CLM_T008_A8_AMPLITUDE | CLM_T008_A8_HYBRID,CLM_T008_A6_AMPLITUDE | CLM_T008_A6_HYBRID | CLM_T008_A7_AMPLITUDE | CLM_T008_A7_HYBRID | CLM_T008_A8_AMPLITUDE,T008,figure_panel,theory_numerical,,,attempted_not_reproduced,item_authoritative_state,fresh_independent_review_inconclusive_after_attempt,none,scientific_result_mismatch,paper_claim_discrepancy,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0114,10.1007-s11433-024-2478-8,Appendix Figure a8(c),CLM_T008_A8_AMPLITUDE,CLM_T008_A6_AMPLITUDE | CLM_T008_A6_HYBRID | CLM_T008_A7_AMPLITUDE | CLM_T008_A7_HYBRID | CLM_T008_A8_AMPLITUDE | CLM_T008_A8_HYBRID,CLM_T008_A6_AMPLITUDE | CLM_T008_A6_HYBRID | CLM_T008_A7_AMPLITUDE | CLM_T008_A7_HYBRID | CLM_T008_A8_HYBRID,T008,figure_panel,theory_numerical,,,attempted_not_reproduced,item_authoritative_state,fresh_independent_review_inconclusive_after_attempt,none,scientific_result_mismatch,paper_claim_discrepancy,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0115,10.1007-s11433-024-2478-8,Appendix Figure a8(d),CLM_T008_A8_AMPLITUDE,CLM_T008_A6_AMPLITUDE | CLM_T008_A6_HYBRID | CLM_T008_A7_AMPLITUDE | CLM_T008_A7_HYBRID | CLM_T008_A8_AMPLITUDE | CLM_T008_A8_HYBRID,CLM_T008_A6_AMPLITUDE | CLM_T008_A6_HYBRID | CLM_T008_A7_AMPLITUDE | CLM_T008_A7_HYBRID | CLM_T008_A8_HYBRID,T008,figure_panel,theory_numerical,,,attempted_not_reproduced,item_authoritative_state,fresh_independent_review_inconclusive_after_attempt,none,scientific_result_mismatch,paper_claim_discrepancy,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0086,10.1007-s11433-024-2478-8,Main Figure 4(a),CLM_T004_TWO_PHOTON_HYBRID_CZ,CLM_T004_TWO_PHOTON_HYBRID_CZ,,T004,figure_panel,theory_numerical,,,attempted_not_reproduced,item_authoritative_state,fresh_independent_review_inconclusive_after_attempt,none,scientific_result_mismatch,paper_claim_discrepancy,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0087,10.1007-s11433-024-2478-8,Main Figure 4(b),CLM_T004_TWO_PHOTON_HYBRID_CZ,CLM_T004_TWO_PHOTON_HYBRID_CZ,,T004,figure_panel,theory_numerical,,,attempted_not_reproduced,item_authoritative_state,fresh_independent_review_inconclusive_after_attempt,none,scientific_result_mismatch,paper_claim_discrepancy,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0088,10.1007-s11433-024-2478-8,Main Figure 4(c),CLM_T004_TWO_PHOTON_HYBRID_CZ,CLM_T004_TWO_PHOTON_HYBRID_CZ,,T004,figure_panel,theory_numerical,,,attempted_not_reproduced,item_authoritative_state,fresh_independent_review_inconclusive_after_attempt,none,scientific_result_mismatch,paper_claim_discrepancy,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0089,10.1007-s11433-024-2478-8,Main Figure 4(d),CLM_T005_TWO_PHOTON_AMPLITUDE_CZ,CLM_T005_TWO_PHOTON_AMPLITUDE_CZ,,T005,figure_panel,theory_numerical,,,attempted_not_reproduced,item_authoritative_state,fresh_independent_review_inconclusive_after_attempt,none,scientific_result_mismatch,paper_claim_discrepancy,not_found_after_checks,not_applicable_nonreproduced,,,{},
