paper_id,title,numerical_claims_total,non_numeric_claims_total,claim_final_resolution_rate,successful_claim_coverage,objective_blocker_claim_rate,attempted_not_reproduced_claim_rate,pending_claim_rate,fidelity_claims_scored,fidelity_success_mass_coverage,conditional_fidelity,reproduction_degree_observed,reproduction_degree_lower_bound,reproduction_degree_upper_bound
0709.0548,Quantum Discord and the Power of One Qubit,17,0,100.0,76.470588,23.529412,0.0,0.0,0,0.0,,,0.0,76.470588
0911.0556,Thermodynamics of Quantum Jump Trajectories,4,0,100.0,75.0,25.0,0.0,0.0,2,60.0,92.257184,69.192888,41.515733,71.515733
10.1007-s11433-024-2478-8,Buffer-atom-mediated quantum logic gates with off-resonant modulated driving,14,0,100.0,54.761905,0.0,45.238095,0.0,0,0.0,,,0.0,54.761905
10.1038-s41467-025-67768-4,Demonstrating quantum error mitigation on logical qubits,8,0,100.0,62.5,37.5,0.0,0.0,0,0.0,,,0.0,62.5
10.1038-s41586-024-08262-7,Particle exchange statistics beyond fermions and bosons,2,0,100.0,100.0,0.0,0.0,0.0,0,0.0,,,0.0,100.0
10.1038-s41586-026-10720-3,Backreaction of stimulated Hawking radiation in an optical analogue,13,0,100.0,7.692308,92.307692,0.0,0.0,0,0.0,,,0.0,7.692308
10.1103-PRXQuantum.6.010331,Benchmarking and Fidelity Response Theory of High-Fidelity Rydberg Entangling Gates,4,2,100.0,50.0,50.0,0.0,0.0,0,0.0,,,0.0,50.0
10.1103-PhysRevB.91.085420,Interband coherence induced correction to adiabatic pumping in periodically driven systems,6,0,100.0,100.0,0.0,0.0,0.0,0,0.0,,,0.0,100.0
10.1103-PhysRevLett.124.113601,Localization Driven Superradiant Instability,4,0,100.0,20.0,0.0,80.0,0.0,1,100.0,95.8676,19.17352,19.17352,19.17352
10.1126-science.aaw1611,Strongly correlated quantum walks with a 12-qubit superconducting processor,5,0,100.0,82.461538,17.538462,0.0,0.0,0,0.0,,,0.0,82.461538
