family,strategy,qubits,gate_count,scheduled_stages,movement_events,total_duration_us,log_no_fault,no_fault
synthetic_3sat,mobius_native,10,35,34,172,9547.46995746589,-1.2709640799863733,0.2805610080998584
synthetic_3sat,zap_decomposed,10,467,260,496,41032.54779266795,-3.920202887599033,0.019837069640631037
qaoa_3local,mobius_native,10,20,20,120,5711.54743143264,-0.8694560100983112,0.41917951666008996
qaoa_3local,zap_decomposed,10,500,350,480,45295.137398831204,-3.843114691220339,0.021426759563479746
p_spin_ising,mobius_native,10,20,20,140,5704.600436624503,-0.9927590126817813,0.37055291916845057
p_spin_ising,zap_decomposed,10,820,555,800,73210.71048736233,-6.38752200874575,0.0016824200624536705
hypergraph_4local,mobius_native,10,20,20,160,5761.010560325532,-1.1163679924816161,0.3274669999544694
hypergraph_4local,zap_decomposed,10,1140,715,1120,99464.25670267212,-8.919945182947313,0.00013369557338782282
qram_oracle,mobius_native,10,30,30,220,8479.23246419335,-1.5505241472420856,0.21213675378700833
qram_oracle,zap_decomposed,10,1390,922,1360,122488.60783381811,-10.84573070152671,1.9487629047698155e-05
multiplier_oracle,mobius_native,10,25,25,140,6772.339178893971,-1.0175604047629443,0.36147571980769255
multiplier_oracle,zap_decomposed,10,545,347,560,48197.35819027163,-4.444424692056264,0.011743860424020243
qft_pairs,mobius_native,10,45,45,180,12346.598453324517,-1.3726298457115782,0.25343957539825723
qft_pairs,zap_decomposed,10,45,45,180,12346.598453324517,-1.3726298457115782,0.25343957539825723
ghz_chain,mobius_native,10,28,19,36,2864.2664312120924,-0.28236787359627186,0.753996258192228
ghz_chain,zap_decomposed,10,28,19,36,2864.2664312120924,-0.28236787359627186,0.753996258192228
