rank_descending,open_bitstring,probability,scaled_Np,conditional_probability,scaled_conditional_Lp
1,110110000101,2.99903229368959872e-05,7.86178321596966168e+00,1.90994124636719017e-03,7.82311934512001095e+00
2,111100100111,2.83894137115307812e-05,7.44211446799552512e+00,1.80798694038494107e-03,7.40551450781671861e+00
3,101010110101,2.75769854833186017e-05,7.22914128253907151e+00,1.75624724468241610e-03,7.19358871421917634e+00
4,111100011011,2.64957524047072024e-05,6.94570251837956487e+00,1.68738864458925454e-03,6.91154388823758659e+00
5,101110101011,2.62526172552190737e-05,6.88196609775214885e+00,1.67190452154642702e-03,6.84812092025416508e+00
6,101110101101,2.56797372155086128e-05,6.73178903262228978e+00,1.63542051237567645e-03,6.69868241869077075e+00
7,111100111011,2.53337222315823598e-05,6.64108328067592613e+00,1.61338446124503700e-03,6.60842275325967154e+00
8,111110001011,2.40577034227990401e-05,6.30658260606623156e+00,1.53212088301803184e-03,6.27556713684185841e+00
9,101011110010,2.39017598150666827e-05,6.26570292496084047e+00,1.52218957520444025e-03,6.23488850003738726e+00
10,010000111100,2.38445320677274595e-05,6.25070101436234715e+00,1.51854501174609221e-03,6.21996036811199371e+00
11,101110010011,2.38369921648746621e-05,6.24872447406890341e+00,1.51806483113975268e-03,6.21799354834842699e+00
12,111100110001,2.38005718734510217e-05,6.23917711319394463e+00,1.51574539573583623e-03,6.20849314093398519e+00
13,111100111110,2.33415507881758771e-05,6.11884748981557713e+00,1.48651252266661523e-03,6.08875529284245598e+00
14,100110111001,2.32847754586799954e-05,6.10396417784020873e+00,1.48289677155221604e-03,6.07394517627787689e+00
15,110101001110,2.26938584014682346e-05,5.94905881679448889e+00,1.44526407039306413e-03,5.91980163232999068e+00
16,110110010101,2.19391324809521707e-05,5.75121194508672584e+00,1.39719916064437086e-03,5.72292776199934305e+00
17,010111111111,2.14204358298091437e-05,5.61523873016948816e+00,1.36416583417919282e-03,5.58762325679797378e+00
18,001100111101,2.10880620548957191e-05,5.52810893931858338e+00,1.34299852686964316e-03,5.50092196605805839e+00
19,111010001100,2.10656495559221951e-05,5.52223363718766791e+00,1.34157118124506383e-03,5.49507555837978146e+00
20,100110101110,2.09810450811078814e-05,5.50005508174194446e+00,1.33618312402356953e-03,5.47300607600054079e+00
21,000000101000,2.07934332294791657e-05,5.45087376050858641e+00,1.32423501614600575e-03,5.42406662613403956e+00
22,110111001111,2.06503106075797334e-05,5.41335502391338164e+00,1.31512021603434571e-03,5.38673240487668004e+00
23,100111110101,2.05464780810246039e-05,5.38613595007211376e+00,1.30850761550985509e-03,5.35964719312836646e+00
24,111100011111,2.05067999929822421e-05,5.37573457736033689e+00,1.30598070651029036e-03,5.34929697386614933e+00
25,101111010100,2.03955179700340283e-05,5.34656266273660030e+00,1.29889368293754697e-03,5.32026852531219241e+00
26,111100101000,2.01079095588379650e-05,5.27116784339201949e+00,1.28057726905626466e-03,5.24524449405446003e+00
27,101000100110,1.99598781605224453e-05,5.23236230051199591e+00,1.27114985228602415e-03,5.20662979496355494e+00
28,001101101110,1.98722538298427974e-05,5.20939210797031027e+00,1.26556947478550434e-03,5.18377256872142578e+00
29,101110100101,1.98352544829680870e-05,5.19969295118318620e+00,1.26321316208979429e-03,5.17412111191979740e+00
30,101001000101,1.97639950160955222e-05,5.18101270949934456e+00,1.25867498504980625e-03,5.15553273876400642e+00
31,111001000110,1.96278009777159741e-05,5.14531025950237630e+00,1.25000143351927575e-03,5.12000587169495347e+00
