target_id,series_id,series_kind,n,site,x,delta,epsilon,magnetization,generated_data_provenance
T001,delta_0.5_epsilon_1,finite_transfer,100,1,0.0,0.5,1.0,0.2984378812835767,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,2,0.010101010101010102,0.5,1.0,0.15702953422391056,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,3,0.020202020202020204,0.5,1.0,0.08262447954838464,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,4,0.030303030303030304,0.5,1.0,0.043474653697355085,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,5,0.04040404040404041,0.5,1.0,0.02287512761878452,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,6,0.050505050505050504,0.5,1.0,0.012036242248607292,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,7,0.06060606060606061,0.5,1.0,0.006333128709987822,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,8,0.0707070707070707,0.5,1.0,0.0033323123969121408,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,9,0.08080808080808081,0.5,1.0,0.0017533681090519965,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,10,0.09090909090909091,0.5,1.0,0.0009225724841072268,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,11,0.10101010101010101,0.5,1.0,0.00048543142996478294,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,12,0.1111111111111111,0.5,1.0,0.00025542022687320833,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,13,0.12121212121212122,0.5,1.0,0.00013439486664612826,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,14,0.13131313131313133,0.5,1.0,7.071476054163241e-05,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,15,0.1414141414141414,0.5,1.0,3.7208097922564595e-05,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,16,0.15151515151515152,0.5,1.0,1.957784400895247e-05,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,17,0.16161616161616163,0.5,1.0,1.0301305292095642e-05,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,18,0.1717171717171717,0.5,1.0,5.420254174680951e-06,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,19,0.18181818181818182,0.5,1.0,2.8519837520584676e-06,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,20,0.1919191919191919,0.5,1.0,1.500632822709661e-06,independent_numerics
T001,delta_0.5_epsilon_1,finite_transfer,100,21,0.20202020202020202,0.5,1.0,7.895903568671377e-07,independent_numerics
