target_id,n,site_j,site_k,x,y,finite_connected_correlation,analytic_asymptote,relative_error,generated_data_provenance
T005,40,11,26,0.2564102564102564,0.6410256410256411,-0.008082554448523183,-0.006649637756399415,0.21548793251854526,independent_numerics
T005,40,15,30,0.358974358974359,0.7435897435897436,-0.00808255444853151,-0.00686378252679814,0.1775656377478365,independent_numerics
T005,80,21,52,0.25316455696202533,0.6455696202531646,-0.003679973505989309,-0.0031602933387864544,0.1644404843135261,independent_numerics
T005,80,29,60,0.35443037974683544,0.7468354430379747,-0.0036799735060076277,-0.0032720170249392437,0.12468042738132112,independent_numerics
T005,120,31,78,0.25210084033613445,0.6470588235294118,-0.002385438601607448,-0.002071490319107626,0.15155672203916826,independent_numerics
T005,120,43,90,0.35294117647058826,0.7478991596638656,-0.0023854386016786133,-0.002146985491719158,0.11106414592886615,independent_numerics
