trajectory,g0,g1,sites,scaled_time,time,magnetization_z,magnetization_y,normalized_z,normalized_y
across,0.3,1.4,12,0.0,0.0,0.9882803811214889,0.0,1.0,0.0
across,0.3,1.4,12,0.016666666666666666,0.06643411040511335,0.9849286517411376,-0.07192756904572711,0.9973440594437212,-0.07283424395378242
across,0.3,1.4,12,0.03333333333333333,0.1328682208102267,0.9749548436527126,-0.1421130751187682,0.9895428109639046,-0.14423947195429593
across,0.3,1.4,12,0.05,0.19930233121534008,0.9585987241510772,-0.20890785274752743,0.9770668842348035,-0.2129326272126777
across,0.3,1.4,12,0.06666666666666667,0.2657364416204534,0.9362456797990195,-0.27084255597716367,0.9606124626165463,-0.27789151960031877
across,0.3,1.4,12,0.08333333333333333,0.3321705520255668,0.9084065699098722,-0.3266988803467635,0.9409954765291472,-0.3384191382763144
across,0.3,1.4,12,0.1,0.39860466243068016,0.8756917823482332,-0.37556177385467066,0.9190441892167256,-0.39415451065156093
across,0.3,1.4,12,0.11666666666666667,0.4650387728357935,0.838781480647111,-0.4168487374356751,0.8955101255400025,-0.4450411386100489
across,0.3,1.4,12,0.13333333333333333,0.5314728832409068,0.798394246992549,-0.4503150055892562,0.8710070544252662,-0.4912705070950439
across,0.3,1.4,12,0.15,0.5979069936460202,0.7552563340052196,-0.47603562127958227,0.8459782741110307,-0.5332173663077018
across,0.3,1.4,12,0.16666666666666666,0.6643411040511336,0.7100735476725146,-0.4943674360063544,0.8206866656329944,-0.5713785057667095
across,0.3,1.4,12,0.18333333333333332,0.7307752144562468,0.6635074234118139,-0.5058956703538875,0.795220092731019,-0.6063208755410534
across,0.3,1.4,12,0.2,0.7972093248613603,0.6161568728251342,-0.5113707144560781,0.7695054694773684,-0.6386402214427267
across,0.3,1.4,12,0.21666666666666667,0.8636434352664737,0.5685459264548928,-0.5116412561513595,0.7433267006987767,-0.6689285582394217
across,0.3,1.4,12,0.23333333333333334,0.930077545671587,0.5211176374238111,-0.5075895985119661,0.716343667463635,-0.6977476263555106
across,0.3,1.4,12,0.25,0.9965116560767003,0.4742336983784395,-0.5000742406577781,0.6881109627509685,-0.725605473340668
across,0.3,1.4,12,0.26666666666666666,1.0629457664818136,0.4281789062118931,-0.48988357642878994,0.6580960551509792,-0.7529339826271088
across,0.3,1.4,12,0.2833333333333333,1.129379876886927,0.383169318173644,-0.47770308217773644,0.6256970580611984,-0.7800661456143071
across,0.3,1.4,12,0.3,1.1958139872920404,0.3393627952747589,-0.4640967999553649,0.5902604872446882,-0.8072128326517507
across,0.3,1.4,12,0.31666666666666665,1.2622480976971537,0.2968706237078015,-0.44950245027836977,0.5510995158502572,-0.8344395266462467
across,0.3,1.4,12,0.3333333333333333,1.3286822081022671,0.25576902654432776,-0.4342382769955302,0.5075135162993236,-0.8616437957610418
across,0.3,1.4,12,0.35,1.3951163185073805,0.21610959859419207,-0.418518841664989,0.4588103456883383,-0.8885342237017928
across,0.3,1.4,12,0.36666666666666664,1.4615504289124936,0.1779279817338814,-0.402476503165059,0.4043340548205058,-0.9146113776421154
across,0.3,1.4,12,0.3833333333333333,1.527984539317607,0.14125040805126682,-0.3861852460433576,0.3435024364109098,-0.9391517854850562
across,0.3,1.4,12,0.4,1.5944186497227206,0.10609803726663643,-0.3696838181747631,0.2758605614748006,-0.9611976646989983
across,0.3,1.4,12,0.4166666666666667,1.660852760127834,0.07248927207445727,-0.35299572754787467,0.2011568866262042,-0.979559036997185
