scaled_time_t_over_tstar,time,g1,physical_diagonal_rate,physical_off_diagonal_rate,printed_diagonal_rate,printed_off_diagonal_rate,dominant_physical_rate
0.025,0.003926990816987242,20.0,0.0007712611046743314,3.2375537829856738,-0.0007712611046743314,-3.2375537829856738,0.0007712611046743314
0.034875,0.005478152189697202,20.0,0.001501258679487704,2.9049025527847565,-0.001501258679487704,-2.9049025527847565,0.001501258679487704
0.04475,0.007029313562407162,20.0,0.0024725997023827746,2.6559047854710047,-0.0024725997023827746,-2.6559047854710047,0.0024725997023827746
0.054625,0.008580474935117124,20.0,0.003685753539401454,2.456908297396001,-0.003685753539401454,-2.456908297396001,0.003685753539401454
0.0645,0.010131636307827083,20.0,0.005141307686380622,2.291218769901435,-0.005141307686380622,-2.291218769901435,0.005141307686380622
0.074375,0.011682797680537042,20.0,0.006839968910893921,2.149328541691474,-0.006839968910893921,-2.149328541691474,0.006839968910893921
0.08424999999999999,0.013233959053247002,20.0,0.008782564631523873,2.02530467162822,-0.008782564631523873,-2.02530467162822,0.008782564631523873
0.09412500000000001,0.014785120425956966,20.0,0.01097004454021183,1.9151948758005173,-0.01097004454021183,-1.9151948758005173,0.01097004454021183
0.10400000000000001,0.016336281798666925,20.0,0.013403482474490967,1.8162335397519496,-0.013403482474490967,-1.8162335397519496,0.013403482474490967
0.113875,0.017887443171376884,20.0,0.01608407854751478,1.7264095942368678,-0.01608407854751478,-1.7264095942368678,0.01608407854751478
0.12375,0.019438604544086847,20.0,0.01901316154495465,1.644214779198599,-0.01901316154495465,-1.644214779198599,0.01901316154495465
0.133625,0.020989765916796806,20.0,0.02219219159907031,1.5684888559527619,-0.02219219159907031,-1.5684888559527619,0.02219219159907031
0.1435,0.02254092728950676,20.0,0.025622763151567616,1.4983201504836852,-0.025622763151567616,-1.4983201504836852,0.025622763151567616
0.15337499999999998,0.024092088662216724,20.0,0.029306608218249493,1.432979268735825,-0.029306608218249493,-1.432979268735825,0.029306608218249493
0.16325,0.025643250034926686,20.0,0.033245599969962444,1.3718735334553882,-0.033245599969962444,-1.3718735334553882,0.033245599969962444
0.173125,0.02719441140763665,20.0,0.037441756645949766,1.3145148244954408,-0.037441756645949766,-1.3145148244954408,0.037441756645949766
0.183,0.028745572780346607,20.0,0.04189724581745668,1.2604963528339217,-0.04189724581745668,-1.2604963528339217,0.04189724581745668
0.192875,0.030296734153056566,20.0,0.04661438902130992,1.209475546354383,-0.04661438902130992,-1.209475546354383,0.04661438902130992
0.20274999999999999,0.03184789552576652,20.0,0.05159566678523546,1.1611612135846845,-0.05159566678523546,-1.1611612135846845,0.05159566678523546
0.212625,0.033399056898476484,20.0,0.0568437240688976,1.1153037630596516,-0.0568437240688976,-1.1153037630596516,0.0568437240688976
0.2225,0.03495021827118645,20.0,0.06236137614706303,1.0716876449832777,-0.06236137614706303,-1.0716876449832777,0.06236137614706303
0.232375,0.03650137964389641,20.0,0.06815161496395049,1.0301254355185374,-0.06815161496395049,-1.0301254355185374,0.06815161496395049
0.24225,0.038052541016606364,20.0,0.0742176159907264,0.9904531531121852,-0.0742176159907264,-0.9904531531121852,0.0742176159907264
0.252125,0.03960370238931633,20.0,0.08056274562130832,0.9525265112261475,-0.08056274562130832,-0.9525265112261475,0.08056274562130832
0.262,0.04115486376202629,20.0,0.08719056914515094,0.9162178914339225,-0.08719056914515094,-0.9162178914339225,0.08719056914515094
0.27187500000000003,0.04270602513473625,20.0,0.09410485933957251,0.8814138768448239,-0.09410485933957251,-0.8814138768448239,0.09410485933957251
0.28175,0.044257186507446214,20.0,0.10130960572847139,0.8480132258221356,-0.10130960572847139,-0.8480132258221356,0.10130960572847139
0.291625,0.045808347880156176,20.0,0.10880902455903385,0.8159251949296383,-0.10880902455903385,-0.8159251949296383,0.10880902455903385
0.30150000000000005,0.04735950925286614,20.0,0.11660756955330438,0.7850681412851284,-0.11660756955330438,-0.7850681412851284,0.11660756955330438
0.311375,0.048910670625576094,20.0,0.12470994349735644,0.755368350261992,-0.12470994349735644,-0.755368350261992,0.12470994349735644
0.32125000000000004,0.05046183199828606,20.0,0.13312111073732275,0.7267590463023185,-0.13312111073732275,-0.7267590463023185,0.13312111073732275
0.331125,0.052012993370996005,20.0,0.14184631065882902,0.699179553561901,-0.14184631065882902,-0.699179553561901,0.14184631065882902
0.341,0.053564154743705975,20.0,0.1508910722345097,0.6725745799572425,-0.1508910722345097,-0.6725745799572425,0.1508910722345097
0.35087500000000005,0.05511531611641594,20.0,0.16026122973339563,0.6468936034691363,-0.16026122973339563,-0.6468936034691363,0.16026122973339563
0.36075,0.0566664774891259,20.0,0.16996293969618012,0.622090343667764,-0.16996293969618012,-0.622090343667764,0.16996293969618012
0.37062500000000004,0.05821763886183586,20.0,0.18000269929185397,0.598122304646137,-0.18000269929185397,-0.598122304646137,0.18000269929185397
0.3805,0.05976880023454582,20.0,0.1903873661841216,0.5749503780924471,-0.1903873661841216,-0.5749503780924471,0.1903873661841216
0.390375,0.06131996160725578,20.0,0.20112418005059587,0.5525384972539915,-0.20112418005059587,-0.5525384972539915,0.20112418005059587
0.40025000000000005,0.06287112297996575,20.0,0.21222078591424023,0.5308533341631311,-0.21222078591424023,-0.5308533341631311,0.21222078591424023
0.410125,0.06442228435267569,20.0,0.2236852594651917,0.5098640337979324,-0.2236852594651917,-0.5098640337979324,0.2236852594651917
0.42000000000000004,0.06597344572538566,20.0,0.23552613457226595,0.4895419799044047,-0.23552613457226595,-0.4895419799044047,0.23552613457226595
