scaled_time,time,loschmidt_rate
0.0,0.0,-0.0
0.0024999999999999996,0.005854012275867271,1.9276247675573013e-05
0.004999999999999999,0.011708024551734543,7.710110952944495e-05
0.007499999999999999,0.017562036827601813,0.0001734629410746473
0.009999999999999998,0.023416049103469085,0.0003083423316078852
0.012499999999999999,0.029270061379336357,0.000481712099382861
0.014999999999999998,0.035124073655203626,0.000693537284874575
0.017499999999999998,0.0409780859310709,0.0009437751421563466
0.019999999999999997,0.04683209820693817,0.0012323751284174336
0.0225,0.05268611048280544,0.001559278891655584
0.024999999999999998,0.058540122758672715,0.0019244202565849341
0.027499999999999997,0.06439413503453999,0.002327725208806262
0.029999999999999995,0.07024814731040725,0.002769111877292878
0.0325,0.07610215958627453,0.003248490515251971
0.034999999999999996,0.0819561718621418,0.0037657634794277654
0.0375,0.08781018413800908,0.004320825207919438
0.039999999999999994,0.09366419641387634,0.004913562196593434
0.042499999999999996,0.0995182086897436,0.0055438529741766605
0.045,0.10537222096561089,0.006211568076123649
0.047499999999999994,0.11122623324147815,0.006916570017358222
0.049999999999999996,0.11708024551734543,0.007658713263996325
0.05249999999999999,0.1229342577932127,0.008437844204164938
0.05499999999999999,0.12878827006907997,0.009253801118038116
0.057499999999999996,0.13464228234494724,0.010106414147218948
0.05999999999999999,0.1404962946208145,0.010995505263604058
0.062499999999999986,0.14635030689668177,0.011920888237873111
0.065,0.15220431917254906,0.012882368607755976
0.06749999999999999,0.15805833144841633,0.01387974364623417
0.06999999999999999,0.1639123437242836,0.014912802329845022
0.0725,0.16976635600015086,0.01598132530726043
0.075,0.17562036827601815,0.017085084868323334
0.0775,0.18147438055188542,0.018223844913730906
0.07999999999999999,0.18732839282775268,0.019397360925561106
0.08249999999999999,0.19318240510361995,0.020605379938848555
0.08499999999999999,0.1990364173794872,0.02184764051442163
0.0875,0.2048904296553545,0.0231238727132216
0.09,0.21074444193122177,0.02443379807233175
0.09249999999999999,0.21659845420708904,0.025777129582952415
0.09499999999999999,0.2224524664829563,0.027153571670565164
0.09749999999999999,0.2283064787588236,0.02856282017753589
0.09999999999999999,0.23416049103469086,0.030004562348415587
0.1025,0.24001450331055812,0.031478476818203156
0.10499999999999998,0.2458685155864254,0.03298423360384056
0.10749999999999998,0.25172252786229266,0.03452149409922112
0.10999999999999999,0.25757654013815995,0.03608991107399203
0.11249999999999998,0.2634305524140272,0.03768912867644306
0.11499999999999999,0.2692845646898945,0.03931878244077674
0.1175,0.27513857696576177,0.04097849929905969
0.11999999999999998,0.280992589241629,0.04266789759816255
0.1225,0.2868466015174963,0.04438658712199559
0.12499999999999997,0.29270061379336354,0.04613416911935279
0.12749999999999997,0.29855462606923083,0.047910236337683335
0.13,0.3044086383450981,0.04971437306310446
0.13249999999999998,0.31026265062096536,0.05154615516697695
0.13499999999999998,0.31611666289683266,0.05340515015936431
0.1375,0.32197067517269995,0.0552909172496941
0.13999999999999999,0.3278246874485672,0.05720300741494095
0.1425,0.3336786997244345,0.05914096347564913
0.145,0.3395327120003017,0.06110432018010677
0.1475,0.345386724276169,0.06309260429698557
0.15,0.3512407365520363,0.06510533471674433
0.15249999999999997,0.35709474882790354,0.06714202256210361
0.155,0.36294876110377083,0.06920217130787416
0.15749999999999997,0.36880277337963807,0.07128527691042714
0.15999999999999998,0.37465678565550536,0.07339082794707263
0.1625,0.38051079793137266,0.07551830576561375
0.16499999999999998,0.3863648102072399,0.07766718464431709
0.16749999999999998,0.3922188224831072,0.0798369319625377
0.16999999999999998,0.3980728347589744,0.08202700838220948
0.1725,0.4039268470348417,0.08423686804041
0.175,0.409780859310709,0.08646595875316863
0.17749999999999996,0.41563487158657625,0.08871372223068918
