sites,g1,phase_g1_t,time,finite_diagonal_rate,finite_off_diagonal_rate,finite_dominant_rate,asymptotic_dominant_rate,absolute_correction
8,4.0,0.2,0.05,0.005004131531555598,2.3043356879426073,0.005004131531555598,0.005008355623235254,4.224091679655775e-06
8,4.0,0.4,0.1,0.020064336872093736,1.6164474441358243,0.020064336872093736,0.020134773052408354,7.043618031461751e-05
8,4.0,0.6,0.15,0.04530934973337303,1.2197711637859887,0.04530934973337303,0.04569165592605806,0.0003823061926850335
8,4.0,0.8,0.2,0.08089496204557735,0.9444440338323675,0.08089496204557735,0.0822290190750554,0.0013340570294780585
8,4.0,1.0,0.25,0.12687731447291944,0.7372728879162036,0.12687731447291944,0.13058424044372266,0.0037069259708032154
8,4.0,1.2,0.3,0.1829453355783033,0.5746082703728072,0.1829453355783033,0.19196516941943767,0.009019833841134361
8,4.0,1.4,0.35,0.24791552198477343,0.44388255675380717,0.24791552198477343,0.268085757567931,0.020170235583157586
8,4.0,1.5999999999999999,0.39999999999999997,0.3189780193033039,0.3376447835945261,0.3189780193033039,0.33218292164012964,0.013204902336825752
8,4.0,1.7999999999999998,0.44999999999999996,0.39116327379833227,0.2511423392736662,0.2511423392736662,0.24420516102121942,0.006937178252446774
8,4.0,1.9999999999999998,0.49999999999999994,0.4582917838076434,0.1811855106537904,0.1811855106537904,0.1726037462690918,0.008581764384698598
8,4.0,2.1999999999999997,0.5499999999999999,0.5158967066009373,0.12555518688089612,0.12555518688089612,0.11517815124645636,0.010377035634439757
8,4.0,2.4,0.6,0.5635000097739844,0.08266711566902475,0.08266711566902475,0.07038052744283259,0.012286588226192163
8,4.0,2.6,0.65,0.6035702353452688,0.05136643029125788,0.05136643029125788,0.03712240331207973,0.014244026979178148
8,4.0,2.8,0.7,0.6391333941293882,0.03079002826635574,0.03079002826635574,0.014657163341885084,0.016132864924470657
8,8.0,0.2,0.025,0.005007299326541926,2.3042731587681997,0.005007299326541926,0.005008355623235254,1.056296693328039e-06
8,8.0,0.4,0.05,0.020117143675933185,1.6161969808057306,0.020117143675933185,0.020134773052408354,1.7629376475168657e-05
8,8.0,0.6,0.075,0.04559578379298279,1.2192063484137312,0.04559578379298279,0.04569165592605806,9.587213307526987e-05
8,8.0,0.8,0.1,0.08189318374681533,0.9434368570802676,0.08189318374681533,0.0822290190750554,0.00033583532824008056
8,8.0,1.0,0.125,0.12964402483348442,0.7356933406975397,0.12964402483348442,0.13058424044372266,0.0009402156102382431
8,8.0,1.2,0.15,0.1896437775024125,0.5723242301848104,0.1896437775024125,0.19196516941943767,0.0023213919170251562
8,8.0,1.4,0.175,0.2627465545529611,0.4407601648229948,0.2627465545529611,0.268085757567931,0.005339203014969929
8,8.0,1.5999999999999999,0.19999999999999998,0.34955473985529006,0.3335496281259024,0.3335496281259024,0.33218292164012964,0.0013667064857727507
8,8.0,1.7999999999999998,0.22499999999999998,0.44962931024306174,0.24594195618524503,0.24594195618524503,0.24420516102121942,0.0017367951640256118
8,8.0,1.9999999999999998,0.24999999999999997,0.559904999338058,0.1747540364647605,0.1747540364647605,0.1726037462690918,0.0021502901956687026
8,8.0,2.1999999999999997,0.27499999999999997,0.6729614527690925,0.11778153347220019,0.11778153347220019,0.11517815124645636,0.0026033822257438277
8,8.0,2.4,0.3,0.778529646171195,0.0734689243772608,0.0734689243772608,0.07038052744283259,0.0030883969344282086
8,8.0,2.6,0.325,0.8700931273515656,0.04071353214147338,0.04071353214147338,0.03712240331207973,0.00359112882939365
8,8.0,2.8,0.35,0.9482031909203629,0.018743538553687433,0.018743538553687433,0.014657163341885084,0.00408637521180235
8,16.0,0.2,0.0125,0.005008091531947959,2.304257526375642,0.005008091531947959,0.005008355623235254,2.640912872952511e-07
8,16.0,0.4,0.025,0.02013036443635938,1.6161343632881155,0.02013036443635938,0.020134773052408354,4.408616048973135e-06
8,16.0,0.6,0.0375,0.045667669361859585,1.2190651351439017,0.045667669361859585,0.04569165592605806,2.398656419847628e-05
8,16.0,0.8,0.05,0.0821449139865223,0.9431850288759889,0.0821449139865223,0.0822290190750554,8.410508853311238e-05
8,16.0,1.0,0.0625,0.1303483271620205,0.7352983564363906,0.1303483271620205,0.13058424044372266,0.00023591328170216586
8,16.0,1.2,0.075,0.1913804838871109,0.5717529775719806,0.1913804838871109,0.19196516941943767,0.0005846855323267675
8,16.0,1.4,0.0875,0.2667306040334936,0.4399790173448884,0.2667306040334936,0.268085757567931,0.0013551535344374366
8,16.0,1.5999999999999999,0.09999999999999999,0.3583384923772354,0.3325246752192518,0.3325246752192518,0.33218292164012964,0.00034175357912213933
8,16.0,1.7999999999999998,0.11249999999999999,0.468559852239623,0.24463951463716327,0.24463951463716327,0.24420516102121942,0.0004343536159438499
8,16.0,1.9999999999999998,0.12499999999999999,0.5997040641632663,0.1731416186023053,0.1731416186023053,0.1726037462690918,0.0005378723332135071
8,16.0,2.1999999999999997,0.13749999999999998,0.7521681497543656,0.11582956013832967,0.11582956013832967,0.11517815124645636,0.0006514088918733035
8,16.0,2.4,0.15,0.9195998094543526,0.07115366025160172,0.07115366025160172,0.07038052744283259,0.0007731328087691308
8,16.0,2.6,0.1625,1.0846356173997684,0.03802204506836893,0.03802204506836893,0.03712240331207973,0.0008996417562892045
8,16.0,2.8,0.175,1.2302797112118202,0.015682046793118822,0.015682046793118822,0.014657163341885084,0.0010248834512337386
