scenario,g0,g1,branch,k,real_z,imag_z
same_phase,0.4,0.8,-3,0.0,-172.69388197455345,-39.26990816987242
same_phase,0.4,0.8,-3,0.001963495408493621,-28.610067144386882,-39.26839427955256
same_phase,0.4,0.8,-3,0.003926990816987242,-25.142016682536966,-39.26385366472419
same_phase,0.4,0.8,-3,0.005890486225480863,-23.111315793825543,-39.25628949173744
same_phase,0.4,0.8,-3,0.007853981633974483,-21.668632329392594,-39.245707031038314
same_phase,0.4,0.8,-3,0.009817477042468103,-20.547858585140823,-39.232113646989255
same_phase,0.4,0.8,-3,0.011780972450961725,-19.63050139623708,-39.21551878367216
same_phase,0.4,0.8,-3,0.013744467859455347,-18.853378861639605,-39.19593394672694
same_phase,0.4,0.8,-3,0.015707963267948967,-18.178795941926758,-39.17337268129426
same_phase,0.4,0.8,-3,0.017671458676442587,-17.5824530574501,-39.147850546144724
same_phase,0.4,0.8,-3,0.019634954084936207,-17.047770129240718,-39.11938508409115
same_phase,0.4,0.8,-3,0.02159844949342983,-16.562930640739125,-39.08799578879322
same_phase,0.4,0.8,-3,0.02356194490192345,-16.119217520801502,-39.05370406807688
same_phase,0.4,0.8,-3,0.02552544031041707,-15.710017536802184,-39.016533203902085
same_phase,0.4,0.8,-3,0.027488935718910694,-15.330195783977306,-38.976508309123986
same_phase,0.4,0.8,-3,0.029452431127404314,-14.975686556690642,-38.93365628120261
same_phase,0.4,0.8,-3,0.031415926535897934,-14.643216569859046,-38.88800575302516
same_phase,0.4,0.8,-3,0.03337942194439156,-14.330112266078721,-38.839587041013765
same_phase,0.4,0.8,-3,0.035342917352885174,-14.034162305772313,-38.78843209069806
same_phase,0.4,0.8,-3,0.0373064127613788,-13.75351730207408,-38.734574419939555
same_phase,0.4,0.8,-3,0.039269908169872414,-13.486615316520538,-38.67804905999859
same_phase,0.4,0.8,-3,0.04123340357836604,-13.232125561241121,-38.61889249464007
same_phase,0.4,0.8,-3,0.04319689898685966,-12.988905217648709,-38.55714259747673
same_phase,0.4,0.8,-3,0.04516039439535328,-12.755965868023809,-38.4928385677512
same_phase,0.4,0.8,-3,0.0471238898038469,-12.53244708175717,-38.42602086475933
same_phase,0.4,0.8,-3,0.049087385212340524,-12.317595401471719,-38.35673114111736
same_phase,0.4,0.8,-3,0.05105088062083414,-12.110747456663693,-38.285012175074584
same_phase,0.4,0.8,-3,0.053014376029327764,-11.911316269073687,-38.210907802071965
same_phase,0.4,0.8,-3,0.05497787143782139,-11.718780052521558,-38.13446284574425
same_phase,0.4,0.8,-3,0.056941366846315004,-11.53267298141991,-38.05572304855958
same_phase,0.4,0.8,-3,0.05890486225480863,-11.35257752710075,-37.97473500228679
same_phase,0.4,0.8,-3,0.060868357663302244,-11.178118053203097,-37.89154607847557
same_phase,0.4,0.8,-3,0.06283185307179587,-11.008955430061482,-37.80620435912848
same_phase,0.4,0.8,-3,0.06479534848028949,-10.84478247979985,-37.71875856773851
same_phase,0.4,0.8,-3,0.06675884388878311,-10.685320103222944,-37.62925800085831
same_phase,0.4,0.8,-3,0.06872233929727672,-10.53031396984321,-37.537752460359954
same_phase,0.4,0.8,-3,0.07068583470577035,-10.379531675802134,-37.444292186536984
same_phase,0.4,0.8,-3,0.07264933011426397,-10.232760292728129,-37.348927792191276
same_phase,0.4,0.8,-3,0.0746128255227576,-10.089804244950907,-37.25171019784005
same_phase,0.4,0.8,-3,0.07657632093125122,-9.950483463879873,-37.15269056816838
same_phase,0.4,0.8,-3,0.07853981633974483,-9.814631777432412,-37.0519202498448
same_phase,0.4,0.8,-3,0.08050331174823845,-9.682095499681626,-36.94945071080753
same_phase,0.4,0.8,-3,0.08246680715673207,-9.552732191770533,-36.845333481120754
same_phase,0.4,0.8,-3,0.0844303025652257,-9.426409569910733,-36.73962009549035
same_phase,0.4,0.8,-3,0.08639379797371932,-9.30300454017492,-36.63236203751971
same_phase,0.4,0.8,-3,0.08835729338221295,-9.182402342985078,-36.52361068577759
same_phase,0.4,0.8,-3,0.09032078879070655,-9.064495792827689,-36.41341726174034
same_phase,0.4,0.8,-3,0.09228428419920018,-8.949184600904845,-36.30183277966264
same_phase,0.4,0.8,-3,0.0942477796076938,-8.836374770240022,-36.18890799842197
same_phase,0.4,0.8,-3,0.09621127501618743,-8.725978054268827,-36.074693375373954
same_phase,0.4,0.8,-3,0.09817477042468105,-8.617911471211892,-35.95923902224763
same_phase,0.4,0.8,-3,0.10013826583317466,-8.512096867593344,-35.84259466310163
same_phase,0.4,0.8,-3,0.10210176124166828,-8.408460525168625,-35.724809594355094
same_phase,0.4,0.8,-3,0.1040652566501619,-8.306932806288687,-35.60593264690024
same_phase,0.4,0.8,-3,0.10602875205865553,-8.207447833376987,-35.48601215029591
same_phase,0.4,0.8,-3,0.10799224746714915,-8.109943198749022,-35.365095899036056
same_phase,0.4,0.8,-3,0.10995574287564278,-8.014359701478842,-35.24323112088027
same_phase,0.4,0.8,-3,0.11191923828413639,-7.92064110842351,-35.120464447228336
same_phase,0.4,0.8,-3,0.11388273369263001,-7.828733936867176,-34.99684188551522
same_phase,0.4,0.8,-3,0.11584622910112363,-7.738587256549029,-34.87240879359821
same_phase,0.4,0.8,-3,0.11780972450961726,-7.650152509101303,-34.747209856103446
same_phase,0.4,0.8,-3,0.11977321991811088,-7.563383343151099,-34.621289062694764
same_phase,0.4,0.8,-3,0.12173671532660449,-7.478235463537511,-34.49468968822452
same_phase,0.4,0.8,-3,0.12370021073509811,-7.39466649326867,-34.367454274722036
same_phase,0.4,0.8,-3,0.12566370614359174,-7.312635846993866,-34.23962461517329
same_phase,0.4,0.8,-3,0.12762720155208535,-7.232104614898652,-34.11124173904165
same_phase,0.4,0.8,-3,0.12959069696057898,-7.153035456047023,-33.98234589947837
same_phase,0.4,0.8,-3,0.1315541923690726,-7.075392500297231,-33.852976562168756
same_phase,0.4,0.8,-3,0.13351768777756623,-6.999141258008006,-33.72317239575875
same_phase,0.4,0.8,-3,0.13548118318605984,-6.924248536831944,-33.59297126380519
same_phase,0.4,0.8,-3,0.13744467859455345,-6.8506823649636726,-33.462410218191714
same_phase,0.4,0.8,-3,0.1394081740030471,-6.778411920272796,-33.33152549395225
same_phase,0.4,0.8,-3,0.1413716694115407,-6.707407464808039,-33.200352505442616
