protocol,profile,g0,g1,duration,steps,momentum,excited_occupation,is_nearest_half_mode
linear_tau_2,linear,0.4,1.3,2.0,1200,0.0,1.0000000000000058,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.007853981633974483,0.9995240144697211,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.015707963267948967,0.9980993719566164,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.02356194490192345,0.9957359451492255,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.031415926535897934,0.9924499596533959,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.039269908169872414,0.988263660765355,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.0471238898038469,0.9832048664041456,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.05497787143782139,0.9773064240462973,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.06283185307179587,0.9706055924918645,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.07068583470577035,0.963143370987157,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.07853981633974483,0.9549637986252276,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.08639379797371932,0.9461132461355193,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.0942477796076938,0.9366397203379114,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.10210176124166828,0.9265921989117782,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.10995574287564278,0.9160200099805725,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.11780972450961726,0.9049722676017533,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.12566370614359174,0.89349737081955,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.13351768777756623,0.8816425706847817,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.1413716694115407,0.8694536067224571,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.1492256510455152,0.8569744118329073,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.15707963267948966,0.8442468825983301,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.16493361431346415,0.8313107104420193,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.17278759594743864,0.818203268029995,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.1806415775814131,0.8049595446681658,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.1884955592153876,0.7916121241717773,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.1963495408493621,0.778191198701373,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.20420352248333656,0.7647246123044563,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.21205750411731106,0.7512379283107392,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.21991148575128555,0.7377545152467606,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.22776546738526002,0.7242956465156614,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.2356194490192345,0.7108806096911469,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.24347343065320898,0.697526821873154,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.25132741228718347,0.6842499481245833,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.25918139392115797,0.6710640205388712,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.26703537555513246,0.6579815559689818,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.2748893571891069,0.6450136708750638,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.2827433388230814,0.6321701921190136,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.2905973204570559,0.6194597628524686,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.2984513020910304,0.6068899429115542,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.3063052837250049,0.5944673033535569,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.3141592653589793,0.5821975149501265,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.3220132469929538,0.5700854305958121,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.3298672286269283,0.5581351617026178,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.3377212102609028,0.5463501487370754,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.3455751918948773,0.5347332261195272,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.3534291735288518,0.5232866817495231,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.3612831551628262,0.5120123114512468,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.3691371367968007,0.5009114686494452,True
linear_tau_2,linear,0.4,1.3,2.0,1200,0.3769911184307752,0.4899851095944017,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.3848451000647497,0.4792338344542153,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.3926990816987242,0.46865792458718514,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.40055306333269863,0.4582573762970263,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.4084070449666731,0.44803193136094216,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.4162610266006476,0.43798110460538014,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.4241150082346221,0.42810420878835215,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.4319689898685966,0.41840037703017957,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.4398229715025711,0.4088685830175564,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.44767695313654554,0.3995076591890512,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.45553093477052004,0.390316313093655,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.46338491640449453,0.3812931420984221,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.471238898038469,0.3724366466061748,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.4790928796724435,0.36374524193010355,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.48694686130641796,0.35521726895903144,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.49480084294039245,0.3468510037346934,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.5026548245743669,0.33864466605107846,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.5105088062083414,0.33059642717526916,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.5183627878423159,0.32270441677979245,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.5262167694762904,0.3149667291674399,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.5340707511102649,0.30738142886164677,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.5419247327442394,0.29994655562809897,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.5497787143782138,0.29266012898657706,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.5576326960121883,0.2855201522661176,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.5654866776461628,0.2785246162509821,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.5733406592801373,0.27167150246007676,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.5811946409141118,0.2649587860980037,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.5890486225480862,0.25838443871194994,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.5969026041820608,0.2519464305849109,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.6047565858160352,0.2456427328926815,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.6126105674500097,0.23947131964900223,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.6204645490839842,0.23343016946065384,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.6283185307179586,0.22751726711207895,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.6361725123519332,0.221730604996864,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.6440264939859076,0.2160681844116396,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.6518804756198822,0.21052801672625707,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.6597344572538566,0.20510812444263765,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.6675884388878311,0.19980654215323657,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.6754424205218056,0.19462131740909155,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.68329640215578,0.18955051150611327,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.6911503837897546,0.18459220019753186,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.699004365423729,0.17974447433943563,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.7068583470577036,0.17500544047566177,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.714712328691678,0.17037322136760025,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.7225663103256524,0.16584595647386374,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.730420291959627,0.16142180238428122,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.7382742735936014,0.15709893321217358,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.746128255227576,0.1528755409484517,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.7539822368615504,0.14874983578072357,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.7618362184955249,0.14472004638023978,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.7696902001294994,0.1407844201592429,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.7775441817634738,0.13694122350097612,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.7853981633974484,0.13318874196446806,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.7932521450314228,0.12952528046584527,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.8011061266653973,0.12594916343795443,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.8089601082993718,0.12245873496969018,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.8168140899333463,0.1190523589264768,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.8246680715673208,0.11572841905304923,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.8325220532012952,0.11248531905975413,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.8403760348352697,0.10932148269326439,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.8482300164692442,0.10623535379276941,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.8560839981032187,0.10322539633236504,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.8639379797371932,0.10029009445049886,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.8717919613711677,0.09742795246717051,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.8796459430051422,0.094637494889517,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.8874999246391166,0.09191726640641917,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.8953539062730911,0.0892658318726925,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.9032078879070656,0.0866817762833662,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.9110618695410401,0.08416370473856331,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.9189158511750146,0.08171024239942223,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.9267698328089891,0.07932003443549542,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.9346238144429635,0.0769917459640348,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.942477796076938,0.0747240619815255,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.9503317777109125,0.07251568728785708,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.958185759344887,0.07036534640344332,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.9660397409788615,0.0682717834796325,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.9738937226128359,0.06623376220271916,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.9817477042468105,0.0642500656918395,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.9896016858807849,0.06231949639104788,False
linear_tau_2,linear,0.4,1.3,2.0,1200,0.9974556675147594,0.060440875955829816,False
linear_tau_2,linear,0.4,1.3,2.0,1200,1.0053096491487339,0.058613045134328606,False
linear_tau_2,linear,0.4,1.3,2.0,1200,1.0131636307827083,0.0568348636435141,False
linear_tau_2,linear,0.4,1.3,2.0,1200,1.0210176124166828,0.05510521004056434,False
linear_tau_2,linear,0.4,1.3,2.0,1200,1.0288715940506574,0.05342298158965746,False
linear_tau_2,linear,0.4,1.3,2.0,1200,1.0367255756846319,0.05178709412442748,False
linear_tau_2,linear,0.4,1.3,2.0,1200,1.0445795573186063,0.050196481906285784,False
linear_tau_2,linear,0.4,1.3,2.0,1200,1.0524335389525807,0.04865009747881683,False
linear_tau_2,linear,0.4,1.3,2.0,1200,1.0602875205865552,0.0471469115184621,False
linear_tau_2,linear,0.4,1.3,2.0,1200,1.0681415022205298,0.04568591268168448,False
linear_tau_2,linear,0.4,1.3,2.0,1200,1.0759954838545043,0.04426610744879316,False
linear_tau_2,linear,0.4,1.3,2.0,1200,1.0838494654884787,0.04288651996463289,False
linear_tau_2,linear,0.4,1.3,2.0,1200,1.0917034471224532,0.04154619187630472,False
linear_tau_2,linear,0.4,1.3,2.0,1200,1.0995574287564276,0.040244182168095666,False
linear_tau_2,linear,0.4,1.3,2.0,1200,1.1074114103904023,0.03897956699378887,False
linear_tau_2,linear,0.4,1.3,2.0,1200,1.1152653920243767,0.03775143950651994,False
linear_tau_2,linear,0.4,1.3,2.0,1200,1.1231193736583511,0.03655890968633393,False
linear_tau_2,linear,0.4,1.3,2.0,1200,1.1309733552923256,0.035401104165603936,False
linear_tau_2,linear,0.4,1.3,2.0,1200,1.1388273369263,0.03427716605246192,False
linear_tau_2,linear,0.4,1.3,2.0,1200,1.1466813185602747,0.03318625475239161,False
linear_tau_2,linear,0.4,1.3,2.0,1200,1.154535300194249,0.03212754578811702,False
linear_tau_2,linear,0.4,1.3,2.0,1200,1.1623892818282235,0.03110023061793437,False
linear_tau_2,linear,0.4,1.3,2.0,1200,1.170243263462198,0.030103516452625222,False
linear_tau_2,linear,0.4,1.3,2.0,1200,1.1780972450961724,0.0291366260710698,False
linear_tau_2,linear,0.4,1.3,2.0,1200,1.185951226730147,0.028198797634701643,False
linear_tau_2,linear,0.4,1.3,2.0,1200,1.1938052083641215,0.027289284500922727,False
linear_tau_2,linear,0.4,1.3,2.0,1200,1.201659189998096,0.026407355035594902,False
linear_tau_2,linear,0.4,1.3,2.0,1200,1.2095131716320704,0.025552292424731414,False
linear_tau_2,linear,0.4,1.3,2.0,1200,1.2173671532660448,0.024723394485503078,False
linear_tau_2,linear,0.4,1.3,2.0,1200,1.2252211349000195,0.0239199734766656,False
linear_tau_2,linear,0.4,1.3,2.0,1200,1.233075116533994,0.023141355908514464,False
linear_tau_2,linear,0.4,1.3,2.0,1200,1.2409290981679684,0.02238688235247595,False
linear_tau_2,linear,0.4,1.3,2.0,1200,1.2487830798019428,0.02165590725043974,False
linear_tau_2,linear,0.4,1.3,2.0,1200,1.2566370614359172,0.02094779872391343,False
linear_tau_2,linear,0.4,1.3,2.0,1200,1.264491043069892,0.020261938383115782,False
linear_tau_2,linear,0.4,1.3,2.0,1200,1.2723450247038663,0.019597721136089045,False
linear_tau_2,linear,0.4,1.3,2.0,1200,1.2801990063378408,0.01895455499792176,False
linear_tau_2,linear,0.4,1.3,2.0,1200,1.2880529879718152,0.018331860900165763,False
linear_tau_2,linear,0.4,1.3,2.0,1200,1.2959069696057899,0.017729072500541808,False
linear_tau_2,linear,0.4,1.3,2.0,1200,1.3037609512397643,0.017145635993000282,False
