scaled_time,time,work_density,rate,mean_work_density
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.01,nan,0.0
0.0,0.0,0.04,nan,0.0
0.0,0.0,0.07,nan,0.0
0.0,0.0,0.1,nan,0.0
0.0,0.0,0.13,nan,0.0
0.01,0.02341604910346909,0.0,0.0003083423316078856,0.0005964257044340464
0.01,0.02341604910346909,0.01,0.008622734370026114,0.0005964257044340464
0.01,0.02341604910346909,0.04,0.057899360200652665,0.0005964257044340464
0.01,0.02341604910346909,0.07,0.11809584876369406,0.0005964257044340464
0.01,0.02341604910346909,0.1,0.1842034130448923,0.0005964257044340464
0.01,0.02341604910346909,0.13,0.2545458001167254,0.0005964257044340464
0.02,0.04683209820693818,0.0,0.0012323751284174355,0.002379800959324208
0.02,0.04683209820693818,0.01,0.003186539298868805,0.002379800959324208
0.02,0.04683209820693818,0.04,0.034855104075954574,0.002379800959324208
0.02,0.04683209820693818,0.07,0.07790002538852045,0.002379800959324208
0.02,0.04683209820693818,0.1,0.12704975429442922,0.002379800959324208
0.02,0.04683209820693818,0.13,0.1805483796627891,0.002379800959324208
0.03,0.07024814731040727,0.0,0.0027691118772928728,0.005332490375927039
0.03,0.07024814731040727,0.01,0.0007821700544173717,0.005332490375927039
0.03,0.07024814731040727,0.04,0.021735109211800722,0.005332490375927039
0.03,0.07024814731040727,0.07,0.054422103090106234,0.005332490375927039
0.03,0.07024814731040727,0.1,0.09336945824382835,0.005332490375927039
0.03,0.07024814731040727,0.13,0.13676001130994886,0.005332490375927039
0.04,0.09366419641387635,0.0,0.004913562196593444,0.009425334654844505
0.04,0.09366419641387635,0.01,8.426501638152746e-06,0.009425334654844505
0.04,0.09366419641387635,0.04,0.013124820229957554,0.009425334654844505
0.04,0.09366419641387635,0.07,0.03828376125116574,0.009425334654844505
0.04,0.09366419641387635,0.1,0.069839785841467,0.009425334654844505
0.04,0.09366419641387635,0.13,0.10592340193204247,0.009425334654844505
0.05,0.11708024551734544,0.0,0.007658713263996322,0.014617996833074121
0.05,0.11708024551734544,0.01,0.000408847835585829,0.014617996833074121
0.05,0.11708024551734544,0.04,0.007288131196088636,0.014617996833074121
0.05,0.11708024551734544,0.07,0.026488377409708243,0.014617996833074121
0.05,0.11708024551734544,0.1,0.05221125473622473,0.014617996833074121
0.05,0.11708024551734544,0.13,0.08254032302966215,0.014617996833074121
0.06,0.14049629462081453,0.0,0.010995505263604032,0.020859440527175685
0.06,0.14049629462081453,0.01,0.0017698012213413022,0.020859440527175685
0.06,0.14049629462081453,0.04,0.003433429325116909,0.020859440527175685
0.06,0.14049629462081453,0.07,0.0176762629004862,0.020859440527175685
0.06,0.14049629462081453,0.1,0.038560151901113913,0.020859440527175685
0.06,0.14049629462081453,0.13,0.0641252939360012,0.020859440527175685
0.07,0.16391234372428362,0.0,0.014912802329845029,0.028088533782773612
0.07,0.16391234372428362,0.01,0.003968930012357959,0.028088533782773612
0.07,0.16391234372428362,0.04,0.0011261842528099142,0.028088533782773612
0.07,0.16391234372428362,0.07,0.011106692491496508,0.028088533782773612
0.07,0.16391234372428362,0.1,0.027842062563970385,0.028088533782773612
0.07,0.16391234372428362,0.13,0.049331651928212976,0.028088533782773612
0.08,0.1873283928277527,0.0,0.0193973609255611,0.03623477047434775
0.08,0.1873283928277527,0.01,0.006925437844281198,0.03623477047434775
0.08,0.1873283928277527,0.04,9.707217485841911e-05,0.03623477047434775
0.08,0.1873283928277527,0.07,0.0063257925029274395,0.03623477047434775
0.08,0.1873283928277527,0.1,0.019420278826013188,0.03623477047434775
0.08,0.1873283928277527,0.13,0.03734087524267086,0.03623477047434775
0.09,0.21074444193122177,0.0,0.02443379807233169,0.04521909964919119
0.09,0.21074444193122177,0.01,0.010579652800040763,0.04521909964919119
0.09,0.21074444193122177,0.04,0.00016343558223434274,0.04521909964919119
0.09,0.21074444193122177,0.07,0.0030307536391805893,0.04521909964919119
0.09,0.21074444193122177,0.1,0.012873105941173031,0.04521909964919119
0.09,0.21074444193122177,0.13,0.02761316390157508,0.04521909964919119
0.1,0.2341604910346909,0.0,0.030004562348415635,0.054954851797695964
0.1,0.2341604910346909,0.01,0.014883306818181279,0.054954851797695964
0.1,0.2341604910346909,0.04,0.0011920843104028037,0.054954851797695964
0.1,0.2341604910346909,0.07,0.001005590423692443,0.054954851797695964
0.1,0.2341604910346909,0.1,0.007902755048692742,0.054954851797695964
0.1,0.2341604910346909,0.13,0.01976956064654694,0.054954851797695964
0.11,0.25757654013815995,0.0,0.03608991107399207,0.06534874977883194
0.11,0.25757654013815995,0.01,0.01979440960105424,0.06534874977883194
0.11,0.25757654013815995,0.04,0.003079758667913721,0.06534874977883194
0.11,0.25757654013815995,0.07,8.743807209049548e-05,0.06534874977883194
0.11,0.25757654013815995,0.1,0.004287572744324893,0.06534874977883194
0.11,0.25757654013815995,0.13,0.013530168002822494,0.06534874977883194
0.12,0.28099258924162906,0.0,0.04266789759816273,0.07630199105247074
0.12,0.28099258924162906,0.01,0.02527433240641911,0.07630199105247074
0.12,0.28099258924162906,0.04,0.005742044960922765,0.07630199105247074
0.12,0.28099258924162906,0.07,0.00014744671994465974,0.07630199105247074
0.12,0.28099258924162906,0.1,0.0018549742926562834,0.07630199105247074
0.12,0.28099258924162906,0.13,0.008679154667295304,0.07630199105247074
0.13,0.3044086383450981,0.0,0.04971437306310448,0.08771138698406655
0.13,0.3044086383450981,0.01,0.03128605480305803,0.08771138698406655
0.13,0.3044086383450981,0.04,0.009106702035751597,0.08771138698406655
0.13,0.3044086383450981,0.07,0.0010792811031476376,0.08771138698406655
0.13,0.3044086383450981,0.1,0.0004651554440903826,0.08771138698406655
0.13,0.3044086383450981,0.13,0.005043702265236965,0.08771138698406655
0.14,0.32782468744856724,0.0,0.057203007414941,0.09947054430424757
0.14,0.32782468744856724,0.01,0.03779307180176157,0.09947054430424757
0.14,0.32782468744856724,0.04,0.01310945550073759,0.09947054430424757
