scaled_time,time,work_density,rate,mean_work_density
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.005,nan,0.0
0.0,0.0,0.01,nan,0.0
0.0,0.0,0.015,nan,0.0
0.0,0.0,0.02,nan,0.0
0.0,0.0,0.025,nan,0.0
0.0,0.0,0.03,nan,0.0
0.0,0.0,0.035,nan,0.0
0.0,0.0,0.04,nan,0.0
0.0,0.0,0.045,nan,0.0
0.0,0.0,0.05,nan,0.0
0.0,0.0,0.055,nan,0.0
0.0,0.0,0.06,nan,0.0
0.0,0.0,0.065,nan,0.0
0.0,0.0,0.07,nan,0.0
0.0,0.0,0.075,nan,0.0
0.0,0.0,0.08,nan,0.0
0.0,0.0,0.085,nan,0.0
0.0,0.0,0.09,nan,0.0
0.0,0.0,0.095,nan,0.0
0.0,0.0,0.1,nan,0.0
0.0,0.0,0.105,nan,0.0
0.0,0.0,0.11,nan,0.0
0.0,0.0,0.115,nan,0.0
0.0,0.0,0.12,nan,0.0
0.0,0.0,0.125,nan,0.0
0.0,0.0,0.13,nan,0.0
0.0,0.0,0.135,nan,0.0
0.0,0.0,0.14,nan,0.0
0.0,0.0,0.145,nan,0.0
0.0,0.0,0.15,nan,0.0
0.0,0.0,0.155,nan,0.0
0.0,0.0,0.16,nan,0.0
0.0,0.0,0.165,nan,0.0
0.0,0.0,0.17,nan,0.0
0.0,0.0,0.17500000000000002,nan,0.0
0.0,0.0,0.18,nan,0.0
0.0,0.0,0.185,nan,0.0
0.0,0.0,0.19,nan,0.0
0.0,0.0,0.195,nan,0.0
0.0,0.0,0.2,nan,0.0
0.0,0.0,0.20500000000000002,nan,0.0
0.0,0.0,0.21,nan,0.0
0.0,0.0,0.215,nan,0.0
0.0,0.0,0.22,nan,0.0
0.0,0.0,0.225,nan,0.0
0.0,0.0,0.23,nan,0.0
0.0,0.0,0.23500000000000001,nan,0.0
0.0,0.0,0.24,nan,0.0
0.0,0.0,0.245,nan,0.0
0.0,0.0,0.25,nan,0.0
0.0,0.0,0.255,nan,0.0
0.0,0.0,0.26,nan,0.0
0.0,0.0,0.265,nan,0.0
0.0,0.0,0.27,nan,0.0
0.0,0.0,0.275,nan,0.0
0.0,0.0,0.28,nan,0.0
0.0,0.0,0.28500000000000003,nan,0.0
0.0,0.0,0.29,nan,0.0
0.0,0.0,0.295,nan,0.0
0.0,0.0,0.3,nan,0.0
0.0125,0.02927006137933636,0.0,0.0004817120993828613,0.0009314824797385379
0.0125,0.02927006137933636,0.005,0.002033106154539315,0.0009314824797385379
0.0125,0.02927006137933636,0.01,0.006793935570430532,0.0009314824797385379
