chi_over_J,state,alpha,k_over_k1,probability
1.0,ground,0,-1.6925,2.916261594672967e-07
1.0,ground,0,-1.69,9.760019671585053e-09
1.0,ground,0,-1.6875,6.77223464052119e-08
1.0,ground,0,-1.685,9.521144802556993e-09
1.0,ground,0,-1.6825,1.6651501718029147e-08
1.0,ground,0,-1.68,6.609788661660997e-09
1.0,ground,0,-1.6775,3.656926679659531e-09
1.0,ground,0,-1.675,3.772197218366424e-09
1.0,ground,0,-1.6724999999999999,7.479739748571796e-10
1.0,ground,0,-1.67,1.7658933869679163e-09
1.0,ground,0,-1.6675,5.002902831458216e-10
1.0,ground,0,-1.665,6.616427999729324e-10
1.0,ground,0,-1.6625,7.227523942344631e-10
1.0,ground,0,-1.66,3.0422419719770193e-10
1.0,ground,0,-1.6575,8.057173044508972e-10
1.0,ground,0,-1.655,4.806252237300169e-10
1.0,ground,0,-1.6524999999999999,6.641905812235274e-10
1.0,ground,0,-1.65,1.0066722246162882e-09
1.0,ground,0,-1.6475,3.7703870448544904e-10
1.0,ground,0,-1.645,2.1113333255261264e-09
1.0,ground,0,-1.6425,2.420098478779936e-10
1.0,ground,0,-1.6400000000000001,6.396713419446755e-10
1.0,ground,0,-1.6375,1.2571065504635489e-09
1.0,ground,0,-1.635,4.177336310363797e-09
1.0,ground,0,-1.6325,1.719425585850612e-10
1.0,ground,0,-1.63,2.549343190046312e-09
1.0,ground,0,-1.6275,4.894449173063213e-10
1.0,ground,0,-1.625,2.2275266088443076e-09
1.0,ground,0,-1.6225,1.0905244806003919e-09
1.0,ground,0,-1.62,1.7901709324135902e-09
1.0,ground,0,-1.6175,1.924280938524676e-09
1.0,ground,0,-1.615,1.234937275060891e-09
1.0,ground,0,-1.6125,2.9144666745396946e-09
1.0,ground,0,-1.6099999999999999,6.591302760961066e-10
1.0,ground,0,-1.6075,3.935806702438026e-09
1.0,ground,0,-1.605,2.0863447593927608e-10
1.0,ground,0,-1.6025,4.610548188870494e-09
1.0,ground,0,-1.6,7.359634214151375e-11
1.0,ground,0,-1.5975,8.134575640288163e-09
1.0,ground,0,-1.595,1.0984978332487342e-09
1.0,ground,0,-1.5925,5.537157994044721e-09
1.0,ground,0,-1.5899999999999999,1.6003704777329765e-09
1.0,ground,0,-1.5875,6.519118331491999e-09
1.0,ground,0,-1.585,4.187926762474979e-09
1.0,ground,0,-1.5825,6.107007042833872e-09
1.0,ground,0,-1.58,8.604799751730968e-09
1.0,ground,0,-1.5775000000000001,4.935778662288197e-09
1.0,ground,0,-1.575,1.5803957657242814e-08
1.0,ground,0,-1.5725,3.083122129648881e-09
1.0,ground,0,-1.57,2.7327135980941005e-08
1.0,ground,0,-1.5675,9.83749400239704e-10
1.0,ground,0,-1.565,4.5935250964335596e-08
1.0,ground,0,-1.5625,2.8403010566862555e-10
1.0,ground,0,-1.56,7.708804034852372e-08
1.0,ground,0,-1.5575,6.613311637387679e-09
1.0,ground,0,-1.555,1.3282574886777026e-07
1.0,ground,0,-1.5525,4.0285702850658055e-08
1.0,ground,0,-1.55,2.4409867500219125e-07
1.0,ground,0,-1.5474999999999999,1.8686141597475593e-07
1.0,ground,0,-1.545,5.104368696568276e-07
1.0,ground,0,-1.5425,9.267631408938228e-07
1.0,ground,0,-1.54,1.39819826406612e-06
1.0,ground,0,-1.5375,7.0133752204370994e-06
1.0,ground,0,-1.535,7.901991786670974e-06
1.0,ground,0,-1.5325,0.0002905284853999286
1.0,ground,0,-1.53,0.0010570231878484402
1.0,ground,0,-1.5274999999999999,0.0014207287352268935
1.0,ground,0,-1.525,0.0008052958979655812
1.0,ground,0,-1.5225,0.00014529597710693915
1.0,ground,0,-1.52,3.193700019167847e-08
1.0,ground,0,-1.5175,6.654644467762106e-06
1.0,ground,0,-1.5150000000000001,1.0695009255658187e-07
1.0,ground,0,-1.5125,1.1823027749936654e-06
1.0,ground,0,-1.51,8.476979926808492e-08
1.0,ground,0,-1.5075,3.279005900729462e-07
1.0,ground,0,-1.505,5.985165142410613e-08
1.0,ground,0,-1.5025,1.1229251268358775e-07
1.0,ground,0,-1.5,4.176954946219996e-08
1.0,ground,0,-1.4975,4.2871386138606014e-08
1.0,ground,0,-1.495,2.9360786471592964e-08
1.0,ground,0,-1.4925,1.720106169656906e-08
1.0,ground,0,-1.49,2.0866900559826083e-08
1.0,ground,0,-1.4875,6.9353384489332365e-09
1.0,ground,0,-1.4849999999999999,1.501762867384343e-08
1.0,ground,0,-1.4825,2.6689191330157657e-09
1.0,ground,0,-1.48,1.0934217622891003e-08
1.0,ground,0,-1.4775,9.063681191205516e-10
1.0,ground,0,-1.475,8.068886357050946e-09
1.0,ground,0,-1.4725000000000001,2.2201884986388063e-10
1.0,ground,0,-1.47,6.029270606595451e-09
1.0,ground,0,-1.4675,1.5676646944278527e-11
1.0,ground,0,-1.4649999999999999,4.546667016598926e-09
