method,update_rule,error_exponent_in_M,query_complexity,postprocessing_complexity
Classical,m_k=0 for all k,-1/2,O(epsilon^-2),O(epsilon^-2)
LIS,"m_0=0, m_1=1, ..., m_M=M",-3/2,O(epsilon^-4/3),O(epsilon^-5/3)
EIS,"m_0=0, m_1=2^0, ..., m_M=2^(M-1)",-1,O(epsilon^-1),O(epsilon^-1 log(epsilon^-1))
