panel_id,target_probability,method,M,N_shot,N_q,repetitions,error,cr_bound
FIG002_A,0.6666666666666666,classical,41,100,4200,1000,0.007244111691229737,0.00727392967453308
FIG002_A,0.6666666666666666,classical,42,100,4300,1000,0.00721612996687395,0.0071888515468958945
FIG002_A,0.6666666666666666,classical,43,100,4400,1000,0.007007581900079209,0.007106690545187015
FIG002_A,0.6666666666666666,classical,44,100,4500,1000,0.007335696588903093,0.0070272836892630655
FIG002_A,0.6666666666666666,classical,45,100,4600,1000,0.007096344290508669,0.006950480468569159
FIG002_A,0.6666666666666666,classical,46,100,4700,1000,0.006948286347354341,0.00687614164172529
FIG002_A,0.6666666666666666,classical,47,100,4800,1000,0.006528047792878904,0.006804138174397717
FIG002_A,0.6666666666666666,classical,48,100,4900,1000,0.0067388941069731175,0.006734350297014738
FIG002_A,0.6666666666666666,classical,49,100,5000,1000,0.006685183949933199,0.006666666666666667
FIG002_A,0.6666666666666666,classical,50,100,5100,1000,0.006591312889950353,0.0066009836198444955
FIG002_A,0.6666666666666666,classical,51,100,5200,1000,0.006290816752291698,0.006537204504606134
FIG002_A,0.6666666666666666,classical,52,100,5300,1000,0.006774323581710248,0.006475239082381762
FIG002_A,0.6666666666666666,classical,53,100,5400,1000,0.006305839717314925,0.006415002990995842
FIG002_A,0.6666666666666666,classical,54,100,5500,1000,0.006432252867489859,0.006356417261637282
FIG002_A,0.6666666666666666,classical,55,100,5600,1000,0.006193885279257901,0.00629940788348712
FIG002_A,0.6666666666666666,classical,56,100,5700,1000,0.00622866070835135,0.006243905410544626
FIG002_A,0.6666666666666666,classical,57,100,5800,1000,0.00630226646198029,0.006189844605901729
FIG002_A,0.6666666666666666,classical,58,100,5900,1000,0.006054670755049956,0.006137164119322156
FIG002_A,0.6666666666666666,classical,59,100,6000,1000,0.006200640647904411,0.006085806194501846
FIG002_A,0.6666666666666666,classical,60,100,6100,1000,0.006189204054425451,0.006035716402834569
FIG002_A,0.6666666666666666,classical,61,100,6200,1000,0.0060557692106810584,0.005986843400892497
FIG002_A,0.6666666666666666,classical,62,100,6300,1000,0.0061031900839896925,0.005939138709164986
FIG002_A,0.6666666666666666,classical,63,100,6400,1000,0.00594951726128777,0.005892556509887896
FIG002_A,0.6666666666666666,classical,64,100,6500,1000,0.005869122446379723,0.005847053462046861
FIG002_A,0.6666666666666666,classical,65,100,6600,1000,0.0058430969058259116,0.005802588531856595
FIG002_A,0.6666666666666666,classical,66,100,6700,1000,0.005643111228657602,0.005759122837209068
FIG002_A,0.6666666666666666,classical,67,100,6800,1000,0.005838868892702984,0.0057166195047502946
FIG002_A,0.6666666666666666,classical,68,100,6900,1000,0.005632580308577693,0.005675043538391658
FIG002_A,0.6666666666666666,classical,69,100,7000,1000,0.0055749508605462735,0.005634361698190111
FIG002_A,0.6666666666666666,classical,70,100,7100,1000,0.005712215081116272,0.005594542388644594
FIG002_A,0.6666666666666666,classical,71,100,7200,1000,0.005740696311058655,0.005555555555555556
FIG002_A,0.6666666666666666,classical,72,100,7300,1000,0.0055832023251668845,0.005517372590682453
FIG002_A,0.6666666666666666,classical,73,100,7400,1000,0.00548885158123902,0.00547996624351191
FIG002_A,0.6666666666666666,classical,74,100,7500,1000,0.0052873988564006305,0.005443310539518174
FIG002_A,0.6666666666666666,classical,75,100,7600,1000,0.00548358128805346,0.005407380704358752
FIG002_A,0.6666666666666666,classical,76,100,7700,1000,0.005470083688407261,0.005372153093502536
FIG002_A,0.6666666666666666,classical,77,100,7800,1000,0.005113483677383663,0.005337605126836238
FIG002_A,0.6666666666666666,classical,78,100,7900,1000,0.005495646718001482,0.0053037152278382
FIG002_A,0.6666666666666666,classical,79,100,8000,1000,0.005221083227592188,0.005270462766947299
FIG002_A,0.6666666666666666,classical,80,100,8100,1000,0.005524841021491677,0.005237828008789241
FIG002_A,0.6666666666666666,classical,81,100,8200,1000,0.005100402470449347,0.0052057920629535355
FIG002_A,0.6666666666666666,classical,82,100,8300,1000,0.005194923720709718,0.00517433683804222
FIG002_A,0.6666666666666666,classical,83,100,8400,1000,0.00503903554777109,0.005143444998736397
FIG002_A,0.6666666666666666,classical,84,100,8500,1000,0.005438525621719617,0.005113099925649137
FIG002_A,0.6666666666666666,classical,85,100,8600,1000,0.005080602945565354,0.0050832856777534895
FIG002_A,0.6666666666666666,classical,86,100,8700,1000,0.004893349284647644,0.00505398695719269
FIG002_A,0.6666666666666666,classical,87,100,8800,1000,0.0049767868230601855,0.005025189076296061
FIG002_A,0.6666666666666666,classical,88,100,8900,1000,0.005004551786363091,0.0049968779266390765
FIG002_A,0.6666666666666666,classical,89,100,9000,1000,0.0049463604277773235,0.004969039949999533
FIG002_A,0.6666666666666666,classical,90,100,9100,1000,0.004790424177670484,0.004941662111074008
FIG002_A,0.6666666666666666,classical,91,100,9200,1000,0.004900583924373908,0.004914731871829905
FIG002_A,0.6666666666666666,classical,92,100,9300,1000,0.004786147004101757,0.004888237167378443
FIG002_A,0.6666666666666666,classical,93,100,9400,1000,0.004695296590197045,0.004862166383263152
FIG002_A,0.6666666666666666,classical,94,100,9500,1000,0.004740752901518207,0.0048365083340667445
FIG002_A,0.6666666666666666,classical,95,100,9600,1000,0.004726056705030811,0.004811252243246881
FIG002_A,0.6666666666666666,classical,96,100,9700,1000,0.0047408070860821315,0.0047863877241182545
FIG002_A,0.6666666666666666,classical,97,100,9800,1000,0.0049091949971848785,0.004761904761904762
FIG002_A,0.6666666666666666,classical,98,100,9900,1000,0.005023784872733443,0.004737793696791343
FIG002_A,0.6666666666666666,classical,99,100,10000,1000,0.00469798479255852,0.004714045207910317
FIG002_A,0.6666666666666666,classical,199,100,20000,1000,0.003304568092471054,0.0033333333333333335
FIG002_A,0.6666666666666666,classical,299,100,30000,1000,0.0026284706157341333,0.002721655269759087
FIG002_A,0.6666666666666666,classical,399,100,40000,1000,0.0023454138908611515,0.0023570226039551583
FIG002_A,0.6666666666666666,classical,499,100,50000,1000,0.0021018652457070407,0.0021081851067789197
FIG002_A,0.6666666666666666,classical,599,100,60000,1000,0.0019420184945909606,0.0019245008972987527
FIG002_A,0.6666666666666666,classical,699,100,70000,1000,0.0017471718319704125,0.001781741612749496
FIG002_A,0.6666666666666666,classical,799,100,80000,1000,0.00165765805451379,0.0016666666666666668
FIG002_A,0.6666666666666666,classical,899,100,90000,1000,0.0015557937516042619,0.0015713484026367722
FIG002_A,0.6666666666666666,classical,999,100,100000,1000,0.0016054507812795467,0.00149071198499986
FIG002_A,0.6666666666666666,lis,0,100,100,1000,0.04893680732445784,0.047140452079103175
FIG002_A,0.6666666666666666,lis,1,100,400,1000,0.030742421438801452,0.0149071198499986
FIG002_A,0.6666666666666666,lis,2,100,900,1000,0.011754518260163242,0.007968190728895957
FIG002_A,0.6666666666666666,lis,3,100,1600,1000,0.0055679633147015396,0.005143444998736397
FIG002_A,0.6666666666666666,lis,4,100,2500,1000,0.0037092683929955943,0.0036698792170878685
FIG002_A,0.6666666666666666,lis,5,100,3600,1000,0.0028665143573541334,0.0027874733666903026
FIG002_A,0.6666666666666666,lis,6,100,4900,1000,0.0023325097929020352,0.00220997848043932
FIG002_A,0.6666666666666666,lis,7,100,6400,1000,0.001841105171370318,0.0018077538151554684
FIG002_A,0.6666666666666666,lis,8,100,8100,1000,0.0015513517554414376,0.0015143695014141823
FIG002_A,0.6666666666666666,lis,9,100,10000,1000,0.0013018878679195679,0.0012926112238824687
FIG002_A,0.6666666666666666,lis,10,100,12100,1000,0.0011444240239584832,0.0011201713545165826
FIG002_A,0.6666666666666666,lis,11,100,14400,1000,0.001039988887087516,0.0009829463743659809
FIG002_A,0.6666666666666666,lis,12,100,16900,1000,0.0009239800454689631,0.0008716272672808178
FIG002_A,0.6666666666666666,lis,13,100,19600,1000,0.0008328927149528211,0.0007798471181595515
FIG002_A,0.6666666666666666,lis,14,100,22500,1000,0.0007396893733983087,0.0007031190992144491
FIG002_A,0.6666666666666666,lis,15,100,25600,1000,0.0006680906872873489,0.0006381996508895697
FIG002_A,0.6666666666666666,lis,16,100,28900,1000,0.0006178249638055739,0.0005826918150227075
FIG002_A,0.6666666666666666,lis,17,100,32400,1000,0.0005595626977785924,0.0005347899456798772
FIG002_A,0.6666666666666666,lis,18,100,36100,1000,0.0005199006218457239,0.000493110675097366
FIG002_A,0.6666666666666666,lis,19,100,40000,1000,0.0004817519641779716,0.00045657816756582815
FIG002_A,0.6666666666666666,lis,20,100,44100,1000,0.00044085231753202204,0.0004243444896133128
FIG002_A,0.6666666666666666,lis,21,100,48400,1000,0.0004179839956482244,0.00039573325330024824
FIG002_A,0.6666666666666666,lis,22,100,52900,1000,0.0003926398915944691,0.00037019902158934184
FIG002_A,0.6666666666666666,lis,23,100,57600,1000,0.00036335131713666717,0.00034729759880451085
FIG002_A,0.6666666666666666,lis,24,100,62500,1000,0.00033681018564828363,0.0003266639717000168
FIG002_A,0.6666666666666666,lis,25,100,67600,1000,0.00032658038541232774,0.00030799571445424596
FIG002_A,0.6666666666666666,lis,26,100,72900,1000,0.0003003595716369151,0.00029104035325055956
FIG002_A,0.6666666666666666,lis,27,100,78400,1000,0.0002813111602530708,0.0002755856389010447
FIG002_A,0.6666666666666666,lis,28,100,84100,1000,0.000264467214278998,0.00026145198164651196
FIG002_A,0.6666666666666666,lis,29,100,90000,1000,0.00024767991374032505,0.00024848651191252075
FIG002_A,0.6666666666666666,lis,30,100,96100,1000,0.0002334307404056006,0.00023655837669463932
FIG002_A,0.6666666666666666,lis,31,100,102400,1000,0.0002248999691605334,0.0002255549841503195
FIG002_A,0.6666666666666666,eis,0,100,100,1000,0.04941704609185421,0.047140452079103175
FIG002_A,0.6666666666666666,eis,1,100,400,1000,0.030648077841445766,0.0149071198499986
FIG002_A,0.6666666666666666,eis,2,100,900,1000,0.011813078128845174,0.007968190728895957
FIG002_A,0.6666666666666666,eis,3,100,1800,1000,0.004831996029118157,0.004376881095324085
FIG002_A,0.6666666666666666,eis,4,100,3500,1000,0.0023717054302728933,0.002342427896421022
FIG002_A,0.6666666666666666,eis,5,100,6800,1000,0.0022552216924072,0.0012196028887743373
FIG002_A,0.6666666666666666,eis,6,100,13300,1000,0.0006065579390958281,0.0006233524845742322
FIG002_A,0.6666666666666666,eis,7,100,26200,1000,0.0003035050364170101,0.0003152519949406393
FIG002_A,0.6666666666666666,eis,8,100,51900,1000,0.00015519898431458478,0.00015854242765821138
FIG002_A,0.6666666666666666,eis,9,100,103200,1000,6.776962302591257e-05,7.950288662234229e-05
FIG002_C,0.3333333333333333,classical,0,100,100,1000,0.04646157313068271,0.04714045207910317
FIG002_C,0.3333333333333333,classical,1,100,200,1000,0.03296302642524062,0.03333333333333333
FIG002_C,0.3333333333333333,classical,2,100,300,1000,0.028301550801639434,0.02721655269759087
FIG002_C,0.3333333333333333,classical,3,100,400,1000,0.024223367391380122,0.023570226039551584
FIG002_C,0.3333333333333333,classical,4,100,500,1000,0.0212864067214528,0.021081851067789197
FIG002_C,0.3333333333333333,classical,5,100,600,1000,0.019607609067230337,0.019245008972987525
FIG002_C,0.3333333333333333,classical,6,100,700,1000,0.017674250714584637,0.017817416127494958
FIG002_C,0.3333333333333333,classical,7,100,800,1000,0.01642941552351892,0.016666666666666666
FIG002_C,0.3333333333333333,classical,8,100,900,1000,0.01551848758062858,0.015713484026367724
FIG002_C,0.3333333333333333,classical,9,100,1000,1000,0.014613023111062417,0.014907119849998597
FIG002_C,0.3333333333333333,classical,10,100,1100,1000,0.014504937255121893,0.01421338109037403
FIG002_C,0.3333333333333333,classical,11,100,1200,1000,0.013374286066096306,0.013608276348795434
FIG002_C,0.3333333333333333,classical,12,100,1300,1000,0.012969470549638316,0.013074409009212268
FIG002_C,0.3333333333333333,classical,13,100,1400,1000,0.012441730399297286,0.01259881576697424
FIG002_C,0.3333333333333333,classical,14,100,1500,1000,0.012201147487019408,0.012171612389003692
FIG002_C,0.3333333333333333,classical,15,100,1600,1000,0.011668602889925501,0.011785113019775792
FIG002_C,0.3333333333333333,classical,16,100,1700,1000,0.011180393188492465,0.011433239009500589
FIG002_C,0.3333333333333333,classical,17,100,1800,1000,0.010963913872673727,0.011111111111111112
FIG002_C,0.3333333333333333,classical,18,100,1900,1000,0.010958910638202856,0.010814761408717503
FIG002_C,0.3333333333333333,classical,19,100,2000,1000,0.010685271535051307,0.010540925533894598
FIG002_C,0.3333333333333333,classical,20,100,2100,1000,0.010250225372225037,0.010286889997472794
FIG002_C,0.3333333333333333,classical,21,100,2200,1000,0.00968133564501519,0.010050378152592122
FIG002_C,0.3333333333333333,classical,22,100,2300,1000,0.00942484059535476,0.00982946374365981
FIG002_C,0.3333333333333333,classical,23,100,2400,1000,0.00964290362275688,0.009622504486493762
FIG002_C,0.3333333333333333,classical,24,100,2500,1000,0.009159811739938278,0.009428090415820633
FIG002_C,0.3333333333333333,classical,25,100,2600,1000,0.00927029553766691,0.009245003270420485
FIG002_C,0.3333333333333333,classical,26,100,2700,1000,0.008977788473285403,0.009072184232530289
FIG002_C,0.3333333333333333,classical,27,100,2800,1000,0.00866937915427829,0.008908708063747479
FIG002_C,0.3333333333333333,classical,28,100,2900,1000,0.008726044345184328,0.00875376219064817
FIG002_C,0.3333333333333333,classical,29,100,3000,1000,0.008843233445848739,0.008606629658238704
FIG002_C,0.3333333333333333,classical,30,100,3100,1000,0.008212091314076008,0.008466675133346034
FIG002_C,0.3333333333333333,classical,31,100,3200,1000,0.00856354033623231,0.008333333333333333
FIG002_C,0.3333333333333333,classical,32,100,3300,1000,0.008431869231242999,0.008206099398622184
FIG002_C,0.3333333333333333,classical,33,100,3400,1000,0.00798120509421122,0.008084520834544433
FIG002_C,0.3333333333333333,classical,34,100,3500,1000,0.008015078194131975,0.007968190728895957
FIG002_C,0.3333333333333333,classical,35,100,3600,1000,0.007520614673132003,0.007856742013183862
FIG002_C,0.3333333333333333,classical,36,100,3700,1000,0.00796057569274701,0.007749842582921286
FIG002_C,0.3333333333333333,classical,37,100,3800,1000,0.0073434387478817035,0.007647191129018726
FIG002_C,0.3333333333333333,classical,38,100,3900,1000,0.0074155867617941235,0.007548513560963972
FIG002_C,0.3333333333333333,classical,39,100,4000,1000,0.0077072548795130555,0.007453559924999299
FIG002_C,0.3333333333333333,classical,40,100,4100,1000,0.007536783133844956,0.007362101738323103
FIG002_C,0.3333333333333333,classical,41,100,4200,1000,0.007267374988881814,0.00727392967453308
FIG002_C,0.3333333333333333,classical,42,100,4300,1000,0.0073068868553643525,0.0071888515468958945
FIG002_C,0.3333333333333333,classical,43,100,4400,1000,0.006958859739907549,0.007106690545187015
FIG002_C,0.3333333333333333,classical,44,100,4500,1000,0.00702655632775832,0.0070272836892630655
FIG002_C,0.3333333333333333,classical,45,100,4600,1000,0.006851363628860989,0.006950480468569159
FIG002_C,0.3333333333333333,classical,46,100,4700,1000,0.006872148662688434,0.00687614164172529
FIG002_C,0.3333333333333333,classical,47,100,4800,1000,0.006784937233599798,0.006804138174397717
FIG002_C,0.3333333333333333,classical,48,100,4900,1000,0.006892430595857971,0.006734350297014738
FIG002_C,0.3333333333333333,classical,49,100,5000,1000,0.006812144384194386,0.006666666666666667
FIG002_C,0.3333333333333333,classical,50,100,5100,1000,0.006533473387854572,0.0066009836198444955
FIG002_C,0.3333333333333333,classical,51,100,5200,1000,0.006123777031765587,0.006537204504606134
FIG002_C,0.3333333333333333,classical,52,100,5300,1000,0.006663445881537433,0.006475239082381762
FIG002_C,0.3333333333333333,classical,53,100,5400,1000,0.006255387252960391,0.006415002990995842
FIG002_C,0.3333333333333333,classical,54,100,5500,1000,0.00666733936000067,0.006356417261637282
FIG002_C,0.3333333333333333,classical,55,100,5600,1000,0.006554194479703649,0.00629940788348712
FIG002_C,0.3333333333333333,classical,56,100,5700,1000,0.0063368241339528735,0.006243905410544626
FIG002_C,0.3333333333333333,classical,57,100,5800,1000,0.006175028609866739,0.006189844605901729
FIG002_C,0.3333333333333333,classical,58,100,5900,1000,0.006131361756316236,0.006137164119322156
FIG002_C,0.3333333333333333,classical,59,100,6000,1000,0.005991809224080637,0.006085806194501846
FIG002_C,0.3333333333333333,classical,60,100,6100,1000,0.006021651886233542,0.006035716402834569
FIG002_C,0.3333333333333333,classical,61,100,6200,1000,0.0059169740702681144,0.005986843400892497
FIG002_C,0.3333333333333333,classical,62,100,6300,1000,0.005838165583010949,0.005939138709164986
FIG002_C,0.3333333333333333,classical,63,100,6400,1000,0.005911508580917137,0.005892556509887896
FIG002_C,0.3333333333333333,classical,64,100,6500,1000,0.005991420120128807,0.005847053462046861
FIG002_C,0.3333333333333333,classical,65,100,6600,1000,0.005825151680672928,0.005802588531856595
FIG002_C,0.3333333333333333,classical,66,100,6700,1000,0.005668959390118937,0.005759122837209068
FIG002_C,0.3333333333333333,classical,67,100,6800,1000,0.00557242172585773,0.0057166195047502946
FIG002_C,0.3333333333333333,classical,68,100,6900,1000,0.005427951262164376,0.005675043538391658
FIG002_C,0.3333333333333333,classical,69,100,7000,1000,0.005739128340114761,0.005634361698190111
FIG002_C,0.3333333333333333,classical,70,100,7100,1000,0.005752162413816437,0.005594542388644594
FIG002_C,0.3333333333333333,classical,71,100,7200,1000,0.005361506893853584,0.005555555555555556
FIG002_C,0.3333333333333333,classical,72,100,7300,1000,0.0054800909064414175,0.005517372590682453
FIG002_C,0.3333333333333333,classical,73,100,7400,1000,0.00550257058225903,0.00547996624351191
FIG002_C,0.3333333333333333,classical,74,100,7500,1000,0.005395313192433266,0.005443310539518174
FIG002_C,0.3333333333333333,classical,75,100,7600,1000,0.005409451121351174,0.005407380704358752
FIG002_C,0.3333333333333333,classical,76,100,7700,1000,0.005138356361348693,0.005372153093502536
FIG002_C,0.3333333333333333,classical,77,100,7800,1000,0.00527283705901174,0.005337605126836238
FIG002_C,0.3333333333333333,classical,78,100,7900,1000,0.005389907670997883,0.0053037152278382
FIG002_C,0.3333333333333333,classical,79,100,8000,1000,0.005343255743874183,0.005270462766947299
FIG002_C,0.3333333333333333,classical,80,100,8100,1000,0.005310390180134078,0.005237828008789241
FIG002_C,0.3333333333333333,classical,81,100,8200,1000,0.00514862120224652,0.0052057920629535355
FIG002_C,0.3333333333333333,classical,82,100,8300,1000,0.005189498653614482,0.00517433683804222
FIG002_C,0.3333333333333333,classical,83,100,8400,1000,0.005191168313400165,0.005143444998736397
FIG002_C,0.3333333333333333,classical,84,100,8500,1000,0.0052433127986217555,0.005113099925649137
FIG002_C,0.3333333333333333,classical,85,100,8600,1000,0.00486617016786693,0.0050832856777534895
FIG002_C,0.3333333333333333,classical,86,100,8700,1000,0.0049823443065761756,0.00505398695719269
FIG002_C,0.3333333333333333,classical,87,100,8800,1000,0.0051357368941391335,0.005025189076296061
FIG002_C,0.3333333333333333,classical,88,100,8900,1000,0.005209023314142079,0.0049968779266390765
FIG002_C,0.3333333333333333,classical,89,100,9000,1000,0.004965628775472697,0.004969039949999533
FIG002_C,0.3333333333333333,classical,90,100,9100,1000,0.004859189950882754,0.004941662111074008
FIG002_C,0.3333333333333333,classical,91,100,9200,1000,0.004930874295604242,0.004914731871829905
FIG002_C,0.3333333333333333,classical,92,100,9300,1000,0.004893537636759505,0.004888237167378443
FIG002_C,0.3333333333333333,classical,93,100,9400,1000,0.004998205251047923,0.004862166383263152
FIG002_C,0.3333333333333333,classical,94,100,9500,1000,0.004563178467074909,0.0048365083340667445
FIG002_C,0.3333333333333333,classical,95,100,9600,1000,0.004805023277562417,0.004811252243246881
FIG002_C,0.3333333333333333,classical,96,100,9700,1000,0.0049003523180135575,0.0047863877241182545
FIG002_C,0.3333333333333333,classical,97,100,9800,1000,0.00484850255236851,0.004761904761904762
FIG002_C,0.3333333333333333,classical,98,100,9900,1000,0.004500305514008619,0.004737793696791343
FIG002_C,0.3333333333333333,classical,99,100,10000,1000,0.004822853350916284,0.004714045207910317
FIG002_C,0.3333333333333333,classical,199,100,20000,1000,0.003325979721993373,0.0033333333333333335
FIG002_C,0.3333333333333333,classical,299,100,30000,1000,0.0028108110731404363,0.002721655269759087
FIG002_C,0.3333333333333333,classical,399,100,40000,1000,0.0023723538914148363,0.0023570226039551583
FIG002_C,0.3333333333333333,classical,499,100,50000,1000,0.0020840968094383507,0.0021081851067789197
FIG002_C,0.3333333333333333,classical,599,100,60000,1000,0.001874148769738174,0.0019245008972987527
FIG002_C,0.3333333333333333,classical,699,100,70000,1000,0.0017798967587068996,0.001781741612749496
FIG002_C,0.3333333333333333,classical,799,100,80000,1000,0.0016614526985275408,0.0016666666666666668
FIG002_C,0.3333333333333333,classical,899,100,90000,1000,0.0016171395261119494,0.0015713484026367722
FIG002_C,0.3333333333333333,classical,999,100,100000,1000,0.0014809074957981391,0.00149071198499986
FIG002_C,0.3333333333333333,lis,0,100,100,1000,0.04697777252181196,0.047140452079103175
FIG002_C,0.3333333333333333,lis,1,100,400,1000,0.030314881008169793,0.0149071198499986
FIG002_C,0.3333333333333333,lis,2,100,900,1000,0.012169039613665776,0.007968190728895957
FIG002_C,0.3333333333333333,lis,3,100,1600,1000,0.005955468184120856,0.005143444998736397
FIG002_C,0.3333333333333333,lis,4,100,2500,1000,0.003726145718337071,0.0036698792170878685
FIG002_C,0.3333333333333333,lis,5,100,3600,1000,0.002896005043142945,0.0027874733666903026
FIG002_C,0.3333333333333333,lis,6,100,4900,1000,0.0022696677632389026,0.00220997848043932
FIG002_C,0.3333333333333333,lis,7,100,6400,1000,0.0018481247707222122,0.0018077538151554684
FIG002_C,0.3333333333333333,lis,8,100,8100,1000,0.0015072758784726648,0.0015143695014141823
FIG002_C,0.3333333333333333,lis,9,100,10000,1000,0.001319306740028542,0.0012926112238824687
FIG002_C,0.3333333333333333,lis,10,100,12100,1000,0.0011475872429882147,0.0011201713545165826
FIG002_C,0.3333333333333333,lis,11,100,14400,1000,0.001040666550740447,0.0009829463743659809
FIG002_C,0.3333333333333333,lis,12,100,16900,1000,0.0009218197617327227,0.0008716272672808178
FIG002_C,0.3333333333333333,lis,13,100,19600,1000,0.0008172921349532208,0.0007798471181595515
FIG002_C,0.3333333333333333,lis,14,100,22500,1000,0.0007370990476294011,0.0007031190992144491
FIG002_C,0.3333333333333333,lis,15,100,25600,1000,0.0006617223584503873,0.0006381996508895697
FIG002_C,0.3333333333333333,lis,16,100,28900,1000,0.0005985501380615781,0.0005826918150227075
FIG002_C,0.3333333333333333,lis,17,100,32400,1000,0.0005469582488521706,0.0005347899456798772
FIG002_C,0.3333333333333333,lis,18,100,36100,1000,0.0005090110148899659,0.000493110675097366
FIG002_C,0.3333333333333333,lis,19,100,40000,1000,0.00046871486245365706,0.00045657816756582815
FIG002_C,0.3333333333333333,lis,20,100,44100,1000,0.00043616309531178585,0.0004243444896133128
FIG002_C,0.3333333333333333,lis,21,100,48400,1000,0.00039424960269517594,0.00039573325330024824
FIG002_C,0.3333333333333333,lis,22,100,52900,1000,0.00036785007470683986,0.00037019902158934184
FIG002_C,0.3333333333333333,lis,23,100,57600,1000,0.0003396877723290922,0.00034729759880451085
FIG002_C,0.3333333333333333,lis,24,100,62500,1000,0.0003184851768609374,0.0003266639717000168
FIG002_C,0.3333333333333333,lis,25,100,67600,1000,0.0003098398960720308,0.00030799571445424596
FIG002_C,0.3333333333333333,lis,26,100,72900,1000,0.0002937093796246242,0.00029104035325055956
FIG002_C,0.3333333333333333,lis,27,100,78400,1000,0.0002719076963550521,0.0002755856389010447
FIG002_C,0.3333333333333333,lis,28,100,84100,1000,0.00026589305316843673,0.00026145198164651196
FIG002_C,0.3333333333333333,lis,29,100,90000,1000,0.0002521969695805976,0.00024848651191252075
FIG002_C,0.3333333333333333,lis,30,100,96100,1000,0.00023495203855652348,0.00023655837669463932
FIG002_C,0.3333333333333333,lis,31,100,102400,1000,0.0002282093976543233,0.0002255549841503195
FIG002_C,0.3333333333333333,eis,0,100,100,1000,0.04734178328331585,0.047140452079103175
