panel_id,target_probability,method,M,N_shot,N_q,repetitions,error,cr_bound
FIG002_A,0.6666666666666666,classical,0,100,100,1000,0.0475199373362849,0.04714045207910317
FIG002_A,0.6666666666666666,classical,1,100,200,1000,0.03358649695603543,0.03333333333333333
FIG002_A,0.6666666666666666,classical,2,100,300,1000,0.027623259120611462,0.02721655269759087
FIG002_A,0.6666666666666666,classical,3,100,400,1000,0.023037801062119143,0.023570226039551584
FIG002_A,0.6666666666666666,classical,4,100,500,1000,0.020204663928025234,0.021081851067789197
FIG002_A,0.6666666666666666,classical,5,100,600,1000,0.018936883469978783,0.019245008972987525
FIG002_A,0.6666666666666666,classical,6,100,700,1000,0.017217799154065846,0.017817416127494958
FIG002_A,0.6666666666666666,classical,7,100,800,1000,0.01622599723009686,0.016666666666666666
FIG002_A,0.6666666666666666,classical,8,100,900,1000,0.015523260125961674,0.015713484026367724
FIG002_A,0.6666666666666666,classical,9,100,1000,1000,0.014837905662338077,0.014907119849998597
FIG002_A,0.6666666666666666,classical,10,100,1100,1000,0.013803673936362528,0.01421338109037403
FIG002_A,0.6666666666666666,classical,11,100,1200,1000,0.012873287372609135,0.013608276348795434
FIG002_A,0.6666666666666666,classical,12,100,1300,1000,0.012632441044090125,0.013074409009212268
FIG002_A,0.6666666666666666,classical,13,100,1400,1000,0.013017017468075104,0.01259881576697424
FIG002_A,0.6666666666666666,classical,14,100,1500,1000,0.01193359403812057,0.012171612389003692
FIG002_A,0.6666666666666666,classical,15,100,1600,1000,0.011754921029202102,0.011785113019775792
FIG002_A,0.6666666666666666,classical,16,100,1700,1000,0.011547521458140732,0.011433239009500589
FIG002_A,0.6666666666666666,classical,17,100,1800,1000,0.010880793475967949,0.011111111111111112
FIG002_A,0.6666666666666666,classical,18,100,1900,1000,0.011067889774326123,0.010814761408717503
FIG002_A,0.6666666666666666,classical,19,100,2000,1000,0.010775540718580105,0.010540925533894598
FIG002_A,0.6666666666666666,classical,20,100,2100,1000,0.010100560142523965,0.010286889997472794
FIG002_A,0.6666666666666666,classical,21,100,2200,1000,0.010014188740226797,0.010050378152592122
FIG002_A,0.6666666666666666,classical,22,100,2300,1000,0.009801512599254993,0.00982946374365981
FIG002_A,0.6666666666666666,classical,23,100,2400,1000,0.009419293512667381,0.009622504486493762
FIG002_A,0.6666666666666666,classical,24,100,2500,1000,0.009795836757407597,0.009428090415820633
FIG002_A,0.6666666666666666,classical,25,100,2600,1000,0.009406532659446907,0.009245003270420485
FIG002_A,0.6666666666666666,classical,26,100,2700,1000,0.009008203851241068,0.009072184232530289
FIG002_A,0.6666666666666666,classical,27,100,2800,1000,0.00871022137199775,0.008908708063747479
FIG002_A,0.6666666666666666,classical,28,100,2900,1000,0.00824471950138351,0.00875376219064817
FIG002_A,0.6666666666666666,classical,29,100,3000,1000,0.008351254064177702,0.008606629658238704
FIG002_A,0.6666666666666666,classical,30,100,3100,1000,0.008371060627518998,0.008466675133346034
FIG002_A,0.6666666666666666,classical,31,100,3200,1000,0.008282592920463442,0.008333333333333333
FIG002_A,0.6666666666666666,classical,32,100,3300,1000,0.008252344742904236,0.008206099398622184
FIG002_A,0.6666666666666666,classical,33,100,3400,1000,0.008240553875891395,0.008084520834544433
FIG002_A,0.6666666666666666,classical,34,100,3500,1000,0.007789531320043654,0.007968190728895957
FIG002_A,0.6666666666666666,classical,35,100,3600,1000,0.007755175492120104,0.007856742013183862
FIG002_A,0.6666666666666666,classical,36,100,3700,1000,0.007601497829753175,0.007749842582921286
FIG002_A,0.6666666666666666,classical,37,100,3800,1000,0.00781159928633568,0.007647191129018726
FIG002_A,0.6666666666666666,classical,38,100,3900,1000,0.007673468383219601,0.007548513560963972
FIG002_A,0.6666666666666666,classical,39,100,4000,1000,0.007356494202026161,0.007453559924999299
FIG002_A,0.6666666666666666,classical,40,100,4100,1000,0.007297303011251475,0.007362101738323103
