Q_label,Q_power,Q_exponent,conventional_cnot,conventional_qubits,proposed_cnot,proposed_qubits,proposed_direct_sum,conventional_direct_sum
0,0,,,,4,3,4,
2^0,1,0,135,7,18,3,18,135
2^1,2,1,399,8,32,3,32,399
2^2,4,2,927,9,60,3,60,927
2^3,8,3,1981,10,116,3,116,1981
2^4,16,4,4085,11,228,3,228,4085
2^5,32,5,8287,12,452,3,452,8287
2^6,64,6,16683,13,900,3,900,16683
2^7,128,7,33465,14,1796,3,1796,33465
2^8,256,8,67017,15,3588,3,3588,67017
