target_id,panel,a,series_id,schedule,stage_M,n_query,error,evidence_kind
T_FIG2,a=2/3,0.6666666666666666,CLASSICAL_SIM,Classical,23,57600,0.002000433980692968,independent_numerics
T_FIG2,a=2/3,0.6666666666666666,CLASSICAL_CRB,Classical,23,57600,0.001964185503295965,analytic_reference
T_FIG2,a=2/3,0.6666666666666666,CLASSICAL_SIM,Classical,24,62500,0.00190747956191177,independent_numerics
T_FIG2,a=2/3,0.6666666666666666,CLASSICAL_CRB,Classical,24,62500,0.001885618083164127,analytic_reference
T_FIG2,a=2/3,0.6666666666666666,CLASSICAL_SIM,Classical,25,67600,0.001765359566470195,independent_numerics
T_FIG2,a=2/3,0.6666666666666666,CLASSICAL_CRB,Classical,25,67600,0.001813094310734737,analytic_reference
T_FIG2,a=2/3,0.6666666666666666,CLASSICAL_SIM,Classical,26,72900,0.001814053768658764,independent_numerics
T_FIG2,a=2/3,0.6666666666666666,CLASSICAL_CRB,Classical,26,72900,0.001745942669596414,analytic_reference
T_FIG2,a=2/3,0.6666666666666666,CLASSICAL_SIM,Classical,27,78400,0.001640799429591068,independent_numerics
T_FIG2,a=2/3,0.6666666666666666,CLASSICAL_CRB,Classical,27,78400,0.001683587574253685,analytic_reference
T_FIG2,a=2/3,0.6666666666666666,CLASSICAL_SIM,Classical,28,84100,0.001666877559597382,independent_numerics
T_FIG2,a=2/3,0.6666666666666666,CLASSICAL_CRB,Classical,28,84100,0.001625532830313902,analytic_reference
T_FIG2,a=2/3,0.6666666666666666,CLASSICAL_SIM,Classical,29,90000,0.001496233501615982,independent_numerics
T_FIG2,a=2/3,0.6666666666666666,CLASSICAL_CRB,Classical,29,90000,0.001571348402636772,analytic_reference
T_FIG2,a=2/3,0.6666666666666666,CLASSICAL_SIM,Classical,30,96100,0.001532759156352327,independent_numerics
T_FIG2,a=2/3,0.6666666666666666,CLASSICAL_CRB,Classical,30,96100,0.001520659744487199,analytic_reference
T_FIG2,a=2/3,0.6666666666666666,CLASSICAL_SIM,Classical,31,102400,0.001467346325087877,independent_numerics
T_FIG2,a=2/3,0.6666666666666666,CLASSICAL_CRB,Classical,31,102400,0.001473139127471974,analytic_reference
T_FIG2,a=2/3,0.6666666666666666,LIS_SIM,LIS,0,100,0.04577857328811274,independent_numerics
T_FIG2,a=2/3,0.6666666666666666,LIS_CRB,LIS,0,100,0.04714045207910317,analytic_reference
T_FIG2,a=2/3,0.6666666666666666,LIS_SIM,LIS,1,400,0.02860221212906439,independent_numerics
T_FIG2,a=2/3,0.6666666666666666,LIS_CRB,LIS,1,400,0.0149071198499986,analytic_reference
T_FIG2,a=2/3,0.6666666666666666,LIS_SIM,LIS,2,900,0.01150906602134158,independent_numerics
T_FIG2,a=2/3,0.6666666666666666,LIS_CRB,LIS,2,900,0.007968190728895957,analytic_reference
T_FIG2,a=2/3,0.6666666666666666,LIS_SIM,LIS,3,1600,0.005873299708368252,independent_numerics
T_FIG2,a=2/3,0.6666666666666666,LIS_CRB,LIS,3,1600,0.005143444998736397,analytic_reference
T_FIG2,a=2/3,0.6666666666666666,LIS_SIM,LIS,4,2500,0.003920924810856795,independent_numerics
T_FIG2,a=2/3,0.6666666666666666,LIS_CRB,LIS,4,2500,0.003669879217087869,analytic_reference
T_FIG2,a=2/3,0.6666666666666666,LIS_SIM,LIS,5,3600,0.002894188649707361,independent_numerics
T_FIG2,a=2/3,0.6666666666666666,LIS_CRB,LIS,5,3600,0.002787473366690303,analytic_reference
T_FIG2,a=2/3,0.6666666666666666,LIS_SIM,LIS,6,4900,0.002360887093209969,independent_numerics
T_FIG2,a=2/3,0.6666666666666666,LIS_CRB,LIS,6,4900,0.00220997848043932,analytic_reference
T_FIG2,a=2/3,0.6666666666666666,LIS_SIM,LIS,7,6400,0.001816284353977725,independent_numerics
T_FIG2,a=2/3,0.6666666666666666,LIS_CRB,LIS,7,6400,0.001807753815155468,analytic_reference
T_FIG2,a=2/3,0.6666666666666666,LIS_SIM,LIS,8,8100,0.001500293491129925,independent_numerics
T_FIG2,a=2/3,0.6666666666666666,LIS_CRB,LIS,8,8100,0.001514369501414182,analytic_reference
T_FIG2,a=2/3,0.6666666666666666,LIS_SIM,LIS,9,10000,0.00128462842568601,independent_numerics
T_FIG2,a=2/3,0.6666666666666666,LIS_CRB,LIS,9,10000,0.001292611223882469,analytic_reference
T_FIG2,a=2/3,0.6666666666666666,LIS_SIM,LIS,10,12100,0.001142544577274624,independent_numerics
T_FIG2,a=2/3,0.6666666666666666,LIS_CRB,LIS,10,12100,0.001120171354516583,analytic_reference
T_FIG2,a=2/3,0.6666666666666666,LIS_SIM,LIS,11,14400,0.001035178226704794,independent_numerics
T_FIG2,a=2/3,0.6666666666666666,LIS_CRB,LIS,11,14400,0.0009829463743659809,analytic_reference
T_FIG2,a=2/3,0.6666666666666666,LIS_SIM,LIS,12,16900,0.0008931183219610176,independent_numerics
T_FIG2,a=2/3,0.6666666666666666,LIS_CRB,LIS,12,16900,0.0008716272672808178,analytic_reference
T_FIG2,a=2/3,0.6666666666666666,LIS_SIM,LIS,13,19600,0.0007878281180397865,independent_numerics
T_FIG2,a=2/3,0.6666666666666666,LIS_CRB,LIS,13,19600,0.0007798471181595515,analytic_reference
T_FIG2,a=2/3,0.6666666666666666,LIS_SIM,LIS,14,22500,0.0007010119085058608,independent_numerics
T_FIG2,a=2/3,0.6666666666666666,LIS_CRB,LIS,14,22500,0.0007031190992144491,analytic_reference
T_FIG2,a=2/3,0.6666666666666666,LIS_SIM,LIS,15,25600,0.0006397130454823542,independent_numerics
T_FIG2,a=2/3,0.6666666666666666,LIS_CRB,LIS,15,25600,0.0006381996508895697,analytic_reference
T_FIG2,a=2/3,0.6666666666666666,LIS_SIM,LIS,16,28900,0.0005731665763538297,independent_numerics
T_FIG2,a=2/3,0.6666666666666666,LIS_CRB,LIS,16,28900,0.0005826918150227075,analytic_reference
T_FIG2,a=2/3,0.6666666666666666,LIS_SIM,LIS,17,32400,0.0005168166281114971,independent_numerics
T_FIG2,a=2/3,0.6666666666666666,LIS_CRB,LIS,17,32400,0.0005347899456798772,analytic_reference
T_FIG2,a=2/3,0.6666666666666666,LIS_SIM,LIS,18,36100,0.0004803025146576297,independent_numerics
T_FIG2,a=2/3,0.6666666666666666,LIS_CRB,LIS,18,36100,0.000493110675097366,analytic_reference
T_FIG2,a=2/3,0.6666666666666666,LIS_SIM,LIS,19,40000,0.0004581842583899984,independent_numerics
T_FIG2,a=2/3,0.6666666666666666,LIS_CRB,LIS,19,40000,0.0004565781675658281,analytic_reference
T_FIG2,a=2/3,0.6666666666666666,LIS_SIM,LIS,20,44100,0.0004248297081197904,independent_numerics
T_FIG2,a=2/3,0.6666666666666666,LIS_CRB,LIS,20,44100,0.0004243444896133128,analytic_reference
T_FIG2,a=2/3,0.6666666666666666,LIS_SIM,LIS,21,48400,0.0003971157409193477,independent_numerics
T_FIG2,a=2/3,0.6666666666666666,LIS_CRB,LIS,21,48400,0.0003957332533002482,analytic_reference
T_FIG2,a=2/3,0.6666666666666666,LIS_SIM,LIS,22,52900,0.0003711294720745633,independent_numerics
T_FIG2,a=2/3,0.6666666666666666,LIS_CRB,LIS,22,52900,0.0003701990215893418,analytic_reference
T_FIG2,a=2/3,0.6666666666666666,LIS_SIM,LIS,23,57600,0.0003514508174239713,independent_numerics
T_FIG2,a=2/3,0.6666666666666666,LIS_CRB,LIS,23,57600,0.0003472975988045109,analytic_reference
T_FIG2,a=2/3,0.6666666666666666,LIS_SIM,LIS,24,62500,0.0003279553029083003,independent_numerics
T_FIG2,a=2/3,0.6666666666666666,LIS_CRB,LIS,24,62500,0.0003266639717000168,analytic_reference
T_FIG2,a=2/3,0.6666666666666666,LIS_SIM,LIS,25,67600,0.0003178874572229614,independent_numerics
T_FIG2,a=2/3,0.6666666666666666,LIS_CRB,LIS,25,67600,0.000307995714454246,analytic_reference
T_FIG2,a=2/3,0.6666666666666666,LIS_SIM,LIS,26,72900,0.0002972345490893716,independent_numerics
T_FIG2,a=2/3,0.6666666666666666,LIS_CRB,LIS,26,72900,0.0002910403532505596,analytic_reference
T_FIG2,a=2/3,0.6666666666666666,LIS_SIM,LIS,27,78400,0.0002837715498264258,independent_numerics
T_FIG2,a=2/3,0.6666666666666666,LIS_CRB,LIS,27,78400,0.0002755856389010447,analytic_reference
T_FIG2,a=2/3,0.6666666666666666,LIS_SIM,LIS,28,84100,0.0002679833223549556,independent_numerics
T_FIG2,a=2/3,0.6666666666666666,LIS_CRB,LIS,28,84100,0.000261451981646512,analytic_reference
T_FIG2,a=2/3,0.6666666666666666,LIS_SIM,LIS,29,90000,0.0002588924802950908,independent_numerics
T_FIG2,a=2/3,0.6666666666666666,LIS_CRB,LIS,29,90000,0.0002484865119125207,analytic_reference
T_FIG2,a=2/3,0.6666666666666666,LIS_SIM,LIS,30,96100,0.000245315918914282,independent_numerics
T_FIG2,a=2/3,0.6666666666666666,LIS_CRB,LIS,30,96100,0.0002365583766946393,analytic_reference
T_FIG2,a=2/3,0.6666666666666666,LIS_SIM,LIS,31,102400,0.0002355691297112445,independent_numerics
T_FIG2,a=2/3,0.6666666666666666,LIS_CRB,LIS,31,102400,0.0002255549841503195,analytic_reference
T_FIG2,a=2/3,0.6666666666666666,EIS_SIM,EIS,0,100,0.04858406230263127,independent_numerics
T_FIG2,a=2/3,0.6666666666666666,EIS_CRB,EIS,0,100,0.04714045207910317,analytic_reference
T_FIG2,a=2/3,0.6666666666666666,EIS_SIM,EIS,1,400,0.03033175923003564,independent_numerics
T_FIG2,a=2/3,0.6666666666666666,EIS_CRB,EIS,1,400,0.0149071198499986,analytic_reference
T_FIG2,a=2/3,0.6666666666666666,EIS_SIM,EIS,2,900,0.01224799286935571,independent_numerics
T_FIG2,a=2/3,0.6666666666666666,EIS_CRB,EIS,2,900,0.007968190728895957,analytic_reference
T_FIG2,a=2/3,0.6666666666666666,EIS_SIM,EIS,3,1800,0.004730758138369508,independent_numerics
T_FIG2,a=2/3,0.6666666666666666,EIS_CRB,EIS,3,1800,0.004376881095324085,analytic_reference
T_FIG2,a=2/3,0.6666666666666666,EIS_SIM,EIS,4,3500,0.002401921192618679,independent_numerics
T_FIG2,a=2/3,0.6666666666666666,EIS_CRB,EIS,4,3500,0.002342427896421022,analytic_reference
T_FIG2,a=2/3,0.6666666666666666,EIS_SIM,EIS,5,6800,0.002245153495079364,independent_numerics
T_FIG2,a=2/3,0.6666666666666666,EIS_CRB,EIS,5,6800,0.001219602888774337,analytic_reference
T_FIG2,a=2/3,0.6666666666666666,EIS_SIM,EIS,6,13300,0.0006260219980788753,independent_numerics
T_FIG2,a=2/3,0.6666666666666666,EIS_CRB,EIS,6,13300,0.0006233524845742322,analytic_reference
T_FIG2,a=2/3,0.6666666666666666,EIS_SIM,EIS,7,26200,0.0003135062676255123,independent_numerics
T_FIG2,a=2/3,0.6666666666666666,EIS_CRB,EIS,7,26200,0.0003152519949406393,analytic_reference
T_FIG2,a=2/3,0.6666666666666666,EIS_SIM,EIS,8,51900,0.0001667084792273184,independent_numerics
T_FIG2,a=2/3,0.6666666666666666,EIS_CRB,EIS,8,51900,0.0001585424276582114,analytic_reference
T_FIG2,a=2/3,0.6666666666666666,EIS_SIM,EIS,9,103200,6.992897842946445e-05,independent_numerics
T_FIG2,a=2/3,0.6666666666666666,EIS_CRB,EIS,9,103200,7.950288662234229e-05,analytic_reference
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_SIM,Classical,0,100,0.04771279818991034,independent_numerics
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_CRB,Classical,0,100,0.04714045207910317,analytic_reference
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_SIM,Classical,1,400,0.02368039507928681,independent_numerics
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_CRB,Classical,1,400,0.02357022603955158,analytic_reference
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_SIM,Classical,2,900,0.01624340321940412,independent_numerics
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_CRB,Classical,2,900,0.01571348402636772,analytic_reference
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_SIM,Classical,3,1600,0.01179742939278629,independent_numerics
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_CRB,Classical,3,1600,0.01178511301977579,analytic_reference
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_SIM,Classical,4,2500,0.009860507987815728,independent_numerics
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_CRB,Classical,4,2500,0.009428090415820633,analytic_reference
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_SIM,Classical,5,3600,0.0078199008155751,independent_numerics
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_CRB,Classical,5,3600,0.007856742013183862,analytic_reference
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_SIM,Classical,6,4900,0.006867287132522361,independent_numerics
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_CRB,Classical,6,4900,0.006734350297014738,analytic_reference
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_SIM,Classical,7,6400,0.005627028231943598,independent_numerics
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_CRB,Classical,7,6400,0.005892556509887896,analytic_reference
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_SIM,Classical,8,8100,0.005097188349050014,independent_numerics
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_CRB,Classical,8,8100,0.005237828008789241,analytic_reference
T_FIG2,a=1/3,0.3333333333333333,CLASSICAL_SIM,Classical,9,10000,0.004626120164649615,independent_numerics
