h,real_E,imag_E
0,2.122661792127609,3.757198042324988e-17
0,2.125413774817974,-2.184125286944174e-16
0,2.12541657568058,4.816491511401774e-16
0,2.127979074178006,1.720668787929383e-17
0,2.127981825442211,-1.339769401497107e-16
0,2.130356968450827,2.547471883059685e-16
0,2.130359688194938,-1.306828533663943e-16
0,2.132546819873907,-2.051368225124519e-16
0,2.13254952446968,-8.864339471341421e-17
0,2.134548080799142,-1.655320943348351e-16
0,2.134550737580802,-1.865909002442871e-16
0,2.136360209276065,1.244860100860922e-16
0,2.13636285952716,-3.717558688081627e-16
0,2.137982772619784,1.614623239685109e-16
0,2.13798541154119,4.835119086660371e-16
0,2.139415367959927,-9.404080117704961e-17
0,2.139417996588478,3.275698393032539e-16
0,2.144102496161894,1.591702410013454e-16
0,2.140657645616503,4.324545671251293e-16
0,2.140660265510653,-5.015271971325667e-16
0,2.14400544160588,1.137809123317087e-16
0,2.144008020802922,-4.115865607852626e-17
0,2.143718294269339,1.636072608887427e-16
0,2.143720889249793,8.602668161709896e-17
0,2.143239811120039,1.331781688678378e-16
0,2.143242411895301,1.461505250571251e-15
0,2.141709305575458,-2.809776985539997e-16
0,2.141711917986843,-4.688886547684321e-16
0,2.142570095682689,2.999205526825915e-16
0,2.142572701848349,-3.426892267310484e-16
0,-2.122669371949722,5.085793225683538e-16
0,-2.122664566034647,-4.727322330371702e-16
0,-2.125421319315496,-4.311124530258334e-16
0,-2.125416466801145,8.813189903101518e-16
0,-2.127986597204429,-4.570851978704997e-16
0,-2.127981727475771,4.456391869988039e-17
0,-2.130364476526747,-6.709028235629962e-16
0,-2.130359600094661,-3.865498382578249e-16
0,-2.132554325598398,4.309208062919502e-16
0,-2.13254943711641,-7.10994537668056e-16
0,-2.134555536882374,-4.202554727624479e-16
0,-2.134550694423077,-5.417559190911501e-16
0,-2.136367665788732,-8.246515904151956e-17
0,-2.136362816148151,-1.989620735409385e-16
0,-2.137990221249338,-7.041846415058274e-17
0,-2.137985375708595,4.279500213311739e-16
0,-2.144106358705546,3.76260723441694e-16
0,-2.144012887649934,3.855969963149107e-16
0,-2.144008020209048,7.125026743313668e-17
0,-2.143725715829526,-6.396318615484499e-17
0,-2.14372088687808,2.162420749527475e-16
0,-2.143247231205077,-3.100640698056208e-17
0,-2.14324240657363,-4.922971880338031e-16
0,-2.142577518423919,2.551331202869264e-16
0,-2.142572692426758,1.755440480325652e-16
0,-2.141716732960492,1.210407243193816e-16
0,-2.141711903352225,-8.986336187503267e-16
0,-2.140665079085332,-1.358392704067818e-16
0,-2.140660244597299,-1.068646918993476e-15
0,-2.139422808554567,1.49488311658575e-16
0,-2.139417968589508,4.780900212698667e-16
0,2.116676986609987,-1.060139391331744e-16
0,2.122664685323372,5.906412677253205e-17
0,2.11972404465865,-4.440934679157226e-16
0,2.116526110449416,-8.41254921736447e-17
0,2.119727201573568,-4.456928229340452e-16
0,-2.116684484417131,5.425921164472316e-17
0,-2.116525973156193,3.035564113198972e-16
0,-2.119727074218626,2.578509344056308e-16
0,-2.119731717572271,5.065662699846332e-16
0,2.113292216808878,-2.418497604586852e-16
0,-2.11329952386997,-1.734656802545889e-18
0,2.1132943464633,-1.929408800653515e-15
0,2.109802006199396,-1.735327097804288e-17
0,2.109804384891451,-4.445968915794879e-16
0,-2.113294202333001,-5.325346505886354e-16
0,-2.109809385380219,-5.074050049606898e-17
0,-2.109804246308344,-9.29839301164443e-16
0,2.106129640744386,1.368848366947871e-16
0,2.106132088358331,8.193597537323373e-16
0,-2.106137018481341,1.123330275494405e-15
0,-2.106131965377033,-8.350358307472897e-16
0,2.089655167335512,-1.509854381373912e-16
0,2.102276678718818,9.351942535035332e-17
0,2.098244871088669,-2.984751392837925e-17
0,2.094036520305694,-2.624663865092359e-16
0,-2.102284017287286,9.568664055749837e-16
0,-2.098252126976924,6.532613881908783e-16
0,-2.094043625007947,2.538272659794226e-16
0,-2.089661993512257,5.652289810825941e-20
0,2.102279136931792,-1.27293368573958e-15
0,2.098247295755859,1.755654309595606e-16
0,2.094038855644153,-4.439044876614316e-16
0,-2.085114090207271,-8.396880142301108e-16
0,-2.085110355862027,-1.134858353669183e-21
0,-2.102279047450598,-2.04660205531579e-16
0,-2.098247270272794,-6.283154212603089e-16
0,-2.094038948603865,-6.281757026762125e-16
0,-2.089657633439884,-2.754585506794415e-16
0,2.089657315910306,-6.672912461844177e-16
0,2.085107824568903,-2.624827315416417e-16
0,2.011001109115952,-6.273231089426816e-17
0,2.075738562356623,2.118254556518613e-16
0,2.085109573631661,-2.332511945625406e-16
0,2.075734599671642,-6.759492261937066e-16
0,2.069911280303078,2.427681906225703e-16
0,2.080415820456985,-1.243012049630217e-15
0,2.069922869993203,-1.515415347449286e-16
0,2.080416540820696,8.340498470626925e-16
0,2.064896532424362,-1.838280834131822e-17
0,2.064903420001845,-1.110238167357828e-16
0,-2.080420691633118,-1.029352677907683e-17
0,-2.075737213238601,-2.117328685717316e-16
0,2.059530249134693,-1.292311588668941e-16
0,2.017484877345324,-1.154031192622771e-15
0,2.059536162968826,-1.156665440045814e-16
0,-2.075741911363697,-1.30896858989802e-15
0,-2.080418505261247,-1.013854986962742e-15
0,-2.069930442382558,2.151232846377898e-16
0,-2.069912432202984,-5.429620754378889e-19
0,2.0174918766021,2.205282810921772e-16
0,2.053973357194327,1.237992045737639e-17
0,2.023885041376115,7.215804879049015e-17
0,2.053978963483733,-2.509656012966317e-16
0,2.023891527295766,1.441280277257795e-15
0,-1.997982616632861,-2.507906602477263e-16
0,-1.997971061546567,3.638914244772156e-17
0,-2.059541762547392,-5.741561562606644e-16
0,-2.064909400538989,7.973767152980436e-17
0,-2.064898358595358,1.801616480855514e-16
0,-2.059532223281476,-2.179751554525288e-15
0,2.030176414592586,-1.942900938893857e-16
0,-2.053984382603478,-4.008465278332101e-16
0,-2.053975387045581,-3.346602071452026e-16
0,2.030182516332198,2.775839726932498e-16
0,-2.004486153281863,-6.780261273201952e-16
0,2.036341716323655,6.649172522667978e-16
0,-2.00447542001382,3.384462415005314e-16
0,-2.048260464796082,4.372907047716924e-16
0,-2.048251668820762,1.185103092595871e-18
0,2.04236961811932,3.733198539504077e-16
0,2.048249615278892,4.625496013270059e-16
0,-2.042380451753566,-7.144020495066754e-16
0,-2.042371679683902,-1.621893359975733e-20
0,2.048255163706052,-4.409101962121053e-16
0,-2.036352640878607,-8.092268734841556e-16
0,-2.017496596736866,1.017524680384742e-16
0,-2.011003101477408,8.926538549143107e-16
0,-2.023896404629821,-4.352683452065669e-16
0,-2.030187516609884,-2.02249841090666e-16
0,-2.011013302065945,6.69804051440833e-16
0,2.042375246391667,-2.128790101653914e-16
0,2.036348143564383,9.751623494050492e-16
0,-2.017486945716103,-1.109147458627953e-16
0,-2.023887109780194,-1.075896890484546e-19
0,-2.036344394754504,-6.206665297711131e-16
0,-2.030178486173206,-5.231893455398644e-16
0,1.991611107351211,4.709985502466318e-16
0,1.997968939385492,1.064106601609603e-16
0,1.997978794275236,2.146350055554822e-16
0,2.011008709021776,1.332205198834064e-15
0,2.004473329538325,1.486165017060402e-16
0,2.004481928627021,6.417825526753057e-16
0,-1.977446569303903,3.362653937940479e-16
0,-1.991625963855282,2.219463725294224e-16
0,-1.991613288526315,-3.826471761023177e-16
0,-1.980587516348504,2.907055346905626e-16
0,-1.985661166196025,-4.450964087286448e-16
0,-1.98060374002012,3.867337779134377e-16
0,-1.98564694789397,-1.302404835919799e-17
0,-1.927084104559185,-9.575673806579427e-16
0,-1.977464779886496,6.891442775082094e-17
0,1.991622723058992,2.189970772995698e-16
0,-1.942911068512962,2.393961373668494e-16
0,-1.939493977216542,-6.958286014051749e-16
0,1.985644665182659,-3.191749905117026e-16
0,-1.942914631727578,-2.383497140517837e-16
0,-1.93949570362444,8.890611520631942e-16
0,1.93388028549107,-1.175233159077084e-15
0,1.985658770261128,-6.234247481182462e-16
0,1.980585078472211,-3.537804352383865e-16
0,1.977443928469734,-4.681306496186414e-16
0,1.93948030510417,4.440784524091092e-16
0,1.942914607064972,3.989124610340096e-17
0,1.942896500969169,1.752090772613201e-16
0,1.933868310128819,-1.829480519961487e-16
0,1.980602486321515,8.415992205430914e-16
0,1.977464597109277,-3.923285284187589e-17
0,1.939495541214092,-7.077295975336246e-16
0,-1.911738960571752,-3.169265534345351e-16
0,1.919617430235529,1.961447927825455e-16
0,-1.919620961091836,2.389724981550424e-16
0,-1.91961778337023,-8.877950736106987e-16
0,-1.911734817122779,4.09363499828567e-16
0,1.919609654292939,5.669619312618725e-16
0,-1.927082159122118,-2.168495412908473e-16
0,1.927081811592104,-1.895159283976236e-16
0,1.9270723002095,-2.219697821659061e-16
0,-1.933880895928598,1.18468500732328e-16
0,-1.933880570551642,9.035301576231644e-17
0,-1.89516966708972,2.910216859878227e-16
0,-1.895164054514698,2.889093689016222e-16
0,1.911734498879436,-6.261990439142805e-17
0,1.911727951301249,-3.957689870161718e-16
0,-1.886598731570073,7.124302237253355e-17
0,-1.903564703007294,-7.760527628882975e-17
0,-1.903559764365516,-3.683784771595481e-16
0,-1.886592531609458,-2.207414334976796e-16
0,1.903559513037384,-4.098922604788818e-16
0,1.903553850314322,-7.260352270903689e-16
0,1.895163883736357,1.317350683324955e-15
0,-1.869010467822558,2.468997264428085e-16
0,-1.869078281164889,2.875313155463728e-16
0,-1.877883305859545,-4.976082484889547e-16
0,1.895158881023048,9.905219546815377e-16
0,-1.877876656129996,-3.76848436706086e-16
0,1.869003316308497,-3.615356643725913e-16
0,1.869074615671747,-8.190216917244707e-16
0,1.877876591101185,4.417140563234224e-16
0,1.877872559075495,4.050050126997129e-16
0,1.88658795102685,5.912177059944816e-16
0,1.886592447219207,4.178244737454767e-16
0,-1.851102807665556,2.596516336278597e-16
0,-1.860114530349171,1.705283171704778e-16
0,-1.860106074510221,-6.668919385326998e-16
0,-1.8510938966249,2.218791798762907e-16
0,-1.842034399257198,2.75589407081577e-16
0,-1.823824973415609,-7.82998510240797e-17
0,-1.832932734285578,8.410736875916619e-17
