modulation_depth,bandwidth,saturated_gain,total_intensity,residual_growth
0.1,0.3109092125404158,0.06785568704971202,7.400180217502035,-3.751300795759689e-17
0.105,0.3315820812044299,0.06968587768377145,7.179562616497581,-2.103061485717811e-16
0.11,0.3531879513822194,0.07160534163381442,6.960299985927684,-1.074838963341287e-16
0.115,0.3758221399977508,0.07361407780106599,6.743084163064064,7.406217288464834e-17
0.12,0.3995910220508757,0.07571208483468927,6.528520727497402,-1.759553845274842e-16
0.125,0.4246140198540193,0.07789936108793552,6.317133183628606,9.184966779702079e-17
0.13,0.4510259738452187,0.0801759045804754,6.109367870341528,-4.499045539672079e-16
0.135,0.4789799655945989,0.08254171297730498,5.905599356251822,2.209850215936809e-16
0.14,0.508650681594556,0.08499678360098543,5.706136113053947,3.222828261144525e-16
0.145,0.5402384304942234,0.08754111350351124,5.511226293427687,-2.413546509592596e-16
0.15,0.5739739587921662,0.09017469963806857,5.321063472213287,3.587745334037231e-16
0.155,0.6101242538599307,0.0928975391912991,5.135792239084271,2.635777042021544e-16
0.16,0.6489995833198152,0.09570963016597164,4.955513557115973,-4.019062539566049e-15
0.165,0.6909621032835324,0.09861097234562206,4.780289824160787,-6.953952791747257e-14
0.17,0.7364364848870575,0.1016015688316547,4.610149592713888,-3.601068180845685e-13
0.175,0.785923172952823,0.1046814284254312,4.44509191910802,-1.211022097079831e-12
0.18,0.8400151210397098,0.1078505692410934,4.285090324612007,-3.259110652715855e-12
0.185,0.8994191667720822,0.1111090240891025,4.130096359616077,-7.656940446490042e-12
0.19,0.9649836468941145,0.1144568483770569,3.980042767928051,-1.645584312970543e-11
0.195,1.037734430426861,0.1178941316006048,3.834846249438558,2.263732852622693e-11
0.2,1.118922293600405,0.1214210134549942,3.694409837151255,-3.68128989327745e-16
0.205,1.210085482266094,0.1250377071669897,3.558624857370076,2.600570986869689e-16
0.21,1.313132393897855,0.1287445309653301,3.427372531680562,-4.509064839523701e-17
0.215,1.430450513791124,0.1325419511064804,3.300525194035195,-6.956637658136759e-17
0.22,1.565048960830649,0.1364306376428387,3.177947196085099,-1.675238110656844e-16
0.225,1.720743059642563,0.1404115322675193,3.059495618308663,-1.137422333334912e-16
0.23,1.902389909403834,0.1444859196154866,2.945021089369216,-4.143704694907969e-16
0.235,2.116183125877423,0.1486554734131942,2.834369410776157,-1.420859997355353e-15
0.24,2.370010460192373,0.1529222006585456,2.727385543402766,-4.704677014408711e-15
0.245,2.67386317291355,0.1572880958495593,2.623923329488238,-1.391482240088183e-14
0.25,3.040242510707276,0.1617540714854791,2.523868022395774,-3.600150369651423e-14
0.255,3.484389700057874,0.1663172220738484,2.427185669003705,-4.994738588554749e-14
0.26,4.023868908961077,0.1709645704447785,2.334024111060541,1.070729305122783e-14
0.265,4.676408018864088,0.1756604599325818,2.244896433829019,6.697743658021125e-13
0.27,9.149855449722136,0.1792658820462876,2.179634593563221,1.420299186560398e-11
0.275,9.384857085128479,0.182522127091301,2.12290903620072,-2.767901952798079e-11
0.28,9.668315484329014,0.1856181280317544,2.070820754654351,-6.161904415479526e-12
0.285,10.00794234638546,0.1885716168183582,2.022724255204604,-2.136618104137751e-11
0.29,4.797513492871156,0.1910670624590617,1.983245739291821,1.622882007675901e-16
0.295,4.950961678288717,0.19135966026834,1.97868421798356,2.125862115195162e-17
0.3,5.085160867750376,0.1916172908585536,1.97467935928996,-6.818809979553921e-17
0.305,5.199857635219583,0.1918390305142753,1.971241037196466,-1.665334536937735e-16
0.31,5.296335838794147,0.1920264970952514,1.968340352098707,-1.110223024625157e-16
0.315,5.376891304862194,0.1921832041024406,1.965919954670802,9.929338910181793e-17
0.32,5.444207355189677,0.1923136005111865,1.963908940838764,1.040834085586084e-16
0.325,5.500877421644864,0.1924222332930885,1.962235653568176,-2.326575823502032e-16
0.33,5.549153235452168,0.1925132349663246,1.960835394510446,9.685606483511577e-12
0.335,5.59087105754627,0.1925901120922799,1.959653503534405,2.317995795309002e-11
0.34,5.627476317837476,0.1926557240920473,1.958645546018994,-2.583233627007075e-11
0.345,5.660086394001061,0.1927123526942392,1.957776146837727,-1.837155427786286e-11
0.35,5.689558799223283,0.1927617992447066,1.957017428937766,-1.304109758215495e-11
