h,max_abs_imag_E,min_ipr,max_ipr,winding_numeric,winding_analytic
0,2.179751554525288e-15,0.0019703351792139,0.005209693860959322,9.174103258567337e-201,0
0.03,9.218369471478052e-07,0.001970912001492224,0.005199398343170959,8.131162544381072e-193,0
0.06,3.092852061922286e-06,0.001972652085308953,0.005169198688896057,7.206786588258523e-185,0
0.09,6.41265431559274e-06,0.001975584703293199,0.005124579361725124,6.387496578161109e-177,0
0.12,9.575589062212907e-06,0.001979760085229194,0.005080372869210955,5.661346015503283e-169,0
0.15,1.299994323562304e-05,0.0019852517209288,0.005026764269382018,5.017746516974569e-161,0
0.18,1.687543936957615e-05,0.00199215988424827,0.004964530054967511,4.447313419752812e-153,0
0.21,2.136729363271608e-05,0.002000616739634983,0.004895563948413671,3.94172893879771e-145,0
0.24,2.664870396636837e-05,0.002010793594444897,0.004823075727869503,3.49362088085565e-137,0
0.27,3.291134586789037e-05,0.002022911178885035,0.004748142215149299,3.096455146627295e-129,0
0.3,4.232227496668757e-05,0.002037254347262514,0.004672741381284342,2.744440453632117e-121,0
0.33,5.652601762820294e-05,0.00202291676539768,0.004598881658138776,2.432443890471525e-113,0
0.36,7.221793466344141e-05,0.002073681821656804,0.004528623839315923,2.155916071147354e-105,0
0.39,8.988770013028426e-05,0.002097976296738297,0.004478083021917848,1.910824798071941e-97,0
0.42,0.0001099262420733358,0.002126371315549113,0.004448904302034145,1.693596266474005e-89,0
0.45,0.0001326327578563044,0.002160671624551756,0.004433161027219475,1.501062952871884e-81,0
0.48,0.0001582412810653756,0.002131171078391421,0.004432807348863591,1.330417427747151e-73,0
0.51,0.0002030022973751996,0.002120120077724535,0.004565437376911294,1.179171418938095e-65,0
0.54,0.0002695360868921029,0.002151282194368752,0.004726836708935569,1.045119528834627e-57,0
0.57,0.0003625427551858191,0.002222254220465475,0.004913920673928605,9.263070763155893e-50,0
0.6,0.0004979866624971574,0.002336683817183171,0.005228580775581445,8.210015945153725e-42,0
0.63,0.0007084036901573957,0.002540179672506407,0.0054920633541902,7.276675688129416e-34,0
0.66,0.001038208818191581,0.002766851667073808,0.006487277425840542,6.449440456185846e-26,0
0.69,0.001134919514415178,0.004304506654127512,0.01106126944792095,4.985219358599725e-18,0
0.72,0.03567588221759772,0.06316237359505793,0.08822432680425038,-1,-1
0.75,0.07600143987327013,0.1150200289654307,0.1579329591748257,-1,-1
0.78,0.1172433570671688,0.1600554233747409,0.2170874441728108,-1,-1
0.81,0.1597472307379913,0.1952267641728948,0.2694524951316431,-1,-1
0.84,0.2038447647164214,0.2242525409812767,0.3166421474985655,-1,-1
0.87,0.2498342762260161,0.2498349159657873,0.3594973914251721,-1,-1
0.9,0.2979590487034555,0.2729929402076108,0.398662404072252,-1,-1
0.93,0.34839328533004,0.2947793559478328,0.4346352585748993,-1,-1
0.96,0.4012360341364854,0.3184526547353963,0.4678423322617489,-1,-1
0.99,0.4565125599994243,0.3563907690648811,0.498579238203181,-1,-1
1.02,0.5141825568014932,0.3926805774687314,0.5271132273105611,-1,-1
1.05,0.5741537758455514,0.4271259820785497,0.5536742615909149,-1,-1
1.08,0.6362987663481902,0.4597093460480668,0.5784576359822542,-1,-1
1.11,0.7004720692083113,0.4904654757708529,0.6016307108556573,-1,-1
1.14,0.7665255478689122,0.5194527331160907,0.6233381927371514,-1,-1
1.17,0.8343203765063418,0.5467475394437405,0.6437062691521188,-1,-1
1.2,0.9037351667716863,0.5724356859755909,0.6628458322089916,-1,-1
1.23,0.9746704893765586,0.5966071884283948,0.6808549885537711,-1,-1
1.26,1.047050497061403,0.6193524102842914,0.6978210220471847,-1,-1
1.29,1.120822499162154,0.6408067444750953,0.7138219445890456,-1,-1
1.32,1.195955273848075,0.6612483253156687,0.7289277410289763,-1,-1
1.35,1.272436739907346,0.6807046896659981,0.743201387970443,-1,-1
1.38,1.35027142500604,0.6991813056247147,0.7566997046471503,-1,-1
1.41,1.429478005223831,0.7166939238977709,0.7694740771614954,-1,-1
1.44,1.510087067385602,0.7332662878347171,0.7815710848176273,-1,-1
1.47,1.592139161169324,0.7489280887685201,0.7930330483310526,-1,-1
1.5,1.675683155072742,0.7637132191502297,0.8038985135501437,-1,-1
