h,left_edge_states,right_edge_states
0,0,3
0.03,0,3
0.06,0,3
0.09,0,3
0.12,0,3
0.15,0,3
0.18,0,3
0.21,0,3
0.24,0,3
0.27,0,3
0.3,0,3
0.33,0,3
0.36,0,3
0.39,0,3
0.42,0,3
0.45,0,3
0.48,0,3
0.51,0,4
0.54,0,5
0.57,0,5
0.6,0,5
0.63,0,5
0.66,1,5
0.69,4,7
