h,max_abs_imag_E,min_ipr,max_ipr
0,8.974891228047278e-16,0.003326944106354114,0.2087741592475723
0.03,0.005173305317369865,0.003312627064122627,0.2086947247180943
0.06,0.01033840124178862,0.003328382632493571,0.208457758411123
0.09,0.01548742458066966,0.003330313509698734,0.2080673874111152
0.12,0.02061323642209231,0.003333264106775725,0.2075308809756614
0.15,0.02570986671728537,0.003337480695726912,0.2068592601360447
0.18,0.03077306554528548,0.003343277640507051,0.2060681981924105
0.21,0.03580100955726737,0.003351034280743312,0.205179258128755
0.24,0.04079522241942123,0.003361189173846389,0.2042215197349191
0.27,0.04576177761523149,0.003374229994260093,0.2032336394605384
0.3,0.05071285319795292,0.00339067674601262,0.2022663365038011
0.33,0.05566868401929556,0.003404178329947524,0.2013851666916675
0.36,0.06065987542073822,0.003410211331459986,0.2006731678854367
0.39,0.06572985576848998,0.003421595600621904,0.2002324790367228
0.42,0.07138496886743172,0.003420765800405365,0.2020437374593853
0.45,0.07880742188317094,0.003418183634880974,0.2168330501705468
0.48,0.08682626138125743,0.003431488487256554,0.2332241032194822
0.51,0.09552620246328511,0.003475284791000568,0.2512329685865878
0.54,0.1050008926117743,0.003532106767164174,0.2708124145714836
0.57,0.1153505559194831,0.003534393965795446,0.2918310832966694
0.6,0.1266772616520599,0.003551922813181185,0.3140593080493728
0.63,0.1390779469480141,0.004011933138076743,0.3371715336499927
0.66,0.1526366047121256,0.004279636672038117,0.360773832031173
0.69,0.1674181265021835,0.006151068184215591,0.3844552931370456
0.72,0.1834659955462872,0.03559802369579158,0.4078477015653397
0.75,0.2008041687598469,0.08235675833661713,0.430670766440581
0.78,0.2194415167651559,0.1330482439241629,0.452748299201145
0.81,0.2393766473987062,0.1655617475125744,0.4739972636065145
0.84,0.2606017674865767,0.1983172570017991,0.4944027084407449
0.87,0.2831053040709355,0.2457074985440296,0.513991700426688
0.9,0.3068735541334596,0.273013978679664,0.5328132365165885
0.93,0.3483932853300407,0.2948257541718241,0.5509252544300325
0.96,0.4012360341364881,0.3186467097900397,0.568387019447759
0.99,0.4565125599994224,0.3563907690662929,0.5926166043864377
1.02,0.5141825568014944,0.3926805774687334,0.6172496964266873
1.05,0.5741537758455427,0.4271260059415235,0.6401077294176689
1.08,0.6362987663481895,0.4585541380164528,0.6615344107519859
1.11,0.7004720692083174,0.4854659728726013,0.6818365079283764
1.14,0.7665255478689134,0.5114473779965841,0.7048638916949748
1.17,0.8343203765063424,0.5370656044732699,0.731357505192083
1.2,0.9037351667716851,0.5620902756527115,0.7544794872764327
1.23,0.974670489376559,0.5863437261426154,0.7747866874678965
1.26,1.047050497061401,0.6096982527667739,0.7927298181960007
1.29,1.120822499162156,0.6320695116139404,0.8086752236134922
1.32,1.195955273848074,0.6534086643930984,0.8229227393883797
1.35,1.272436739907335,0.6736947490991417,0.8357193107129447
1.38,1.350271425006045,0.6929279634863265,0.847269313533131
1.41,1.429478005223848,0.7111240821415308,0.8577425294825299
1.44,1.51008706738561,0.7283099844781191,0.867280453408157
1.47,1.592139161169328,0.7445201636452752,0.8760013729855763
1.5,1.675683155072715,0.7597940533954383,0.8840045042304464
