label,real_energy,imag_energy,L,fit_min_length,fit_included,realizations,finite_potential,lyapunov_potential,delta_phi,paper_exponent_L,paper_intercept
skin,-0.6,0.0,100,400,False,3200,0.24386882956585926,0.25135384020939966,0.007485010643540402,-1.104,0.617
skin,-0.6,0.0,125,400,False,3200,0.24538115708861244,0.25135384020939966,0.00597268312078722,-1.104,0.617
skin,-0.6,0.0,150,400,False,3200,0.24647106248225853,0.25135384020939966,0.00488277772714113,-1.104,0.617
skin,-0.6,0.0,200,400,False,3200,0.24757974214651365,0.25135384020939966,0.0037740980628860055,-1.104,0.617
skin,-0.6,0.0,250,400,False,3200,0.24831624978170738,0.25135384020939966,0.003037590427692277,-1.104,0.617
skin,-0.6,0.0,300,400,False,3200,0.24899187911047424,0.25135384020939966,0.002361961098925419,-1.104,0.617
skin,-0.6,0.0,400,400,True,3200,0.24950995335487136,0.25135384020939966,0.0018438868545282983,-1.104,0.617
skin,-0.6,0.0,500,400,True,3200,0.24996131317133066,0.25135384020939966,0.001392527038068997,-1.104,0.617
skin,-0.6,0.0,700,400,True,3200,0.2503181217689535,0.25135384020939966,0.0010357184404461428,-1.104,0.617
skin,-0.6,0.0,1000,400,True,3200,0.25066817734817276,0.25135384020939966,0.0006856628612268989,-1.104,0.617
alm,-1.05,0.32,100,400,False,3200,0.1967260977745405,0.20120204054253044,0.004475942767989932,-1.008,-0.635
alm,-1.05,0.32,125,400,False,3200,0.19773106372213736,0.20120204054253044,0.0034709768203930735,-1.008,-0.635
alm,-1.05,0.32,150,400,False,3200,0.19808032228265682,0.20120204054253044,0.003121718259873618,-1.008,-0.635
alm,-1.05,0.32,200,400,False,3200,0.1991728433880294,0.20120204054253044,0.0020291971545010334,-1.008,-0.635
alm,-1.05,0.32,250,400,False,3200,0.19961823621779437,0.20120204054253044,0.0015838043247360656,-1.008,-0.635
alm,-1.05,0.32,300,400,False,3200,0.19993738201587402,0.20120204054253044,0.0012646585266564148,-1.008,-0.635
alm,-1.05,0.32,400,400,True,3200,0.20031023904656386,0.20120204054253044,0.000891801495966571,-1.008,-0.635
alm,-1.05,0.32,500,400,True,3200,0.20056969035225358,0.20120204054253044,0.0006323501902768536,-1.008,-0.635
alm,-1.05,0.32,700,400,True,3200,0.2007514376300133,0.20120204054253044,0.0004506029125171396,-1.008,-0.635
alm,-1.05,0.32,1000,400,True,3200,0.20086545937088637,0.20120204054253044,0.00033658117164406254,-1.008,-0.635
