lifecycle_length,loss_only_threshold_percent,generated_data_provenance,parameter_match,source
9.0,3.365248997383953,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
9.1,3.3528766467300586,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
9.200000000000001,3.3406842603369746,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
9.3,3.3286673066315284,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
9.4,3.3168214153110016,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
9.5,3.305142369960784,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
9.6,3.2936261010836003,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
9.700000000000001,3.282268679513344,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
9.8,3.2710663101885897,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
9.9,3.260015326262668,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
10.0,3.249112183528945,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
10.1,3.238353455141461,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
10.200000000000001,3.2277358266125193,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
10.3,3.2172560910701606,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
10.4,3.206911144759627,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
10.5,3.19669798277406,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
10.600000000000001,3.186613695000694,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
10.700000000000001,3.1766554622697427,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
10.8,3.166820552694058,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
10.9,3.1571063181884464,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
11.0,3.147510191158265,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
11.100000000000001,3.1380296813475974,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
11.200000000000001,3.1286623728379865,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
11.3,3.119405921189228,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
11.4,3.1102580507143274,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
11.5,3.1012165518812136,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
11.600000000000001,3.092279278834253,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
11.700000000000001,3.0834441470290734,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
11.8,3.0747091309745933,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
11.9,3.0660722620765335,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
12.0,3.0575316265770462,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
12.100000000000001,3.0490853635854083,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
12.200000000000001,3.0407316631950447,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
12.3,3.032468764682423,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
12.4,3.024294954783622,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
12.5,3.0162085660446376,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
12.600000000000001,3.0082079752416955,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
12.700000000000001,3.0002916018680885,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
12.8,2.9924579066842196,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
12.9,2.984705390327753,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
13.0,2.9770325919809313,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
13.100000000000001,2.9694380880922875,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
13.200000000000001,2.9619204911501402,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
13.3,2.9544784485053928,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
13.4,2.9471106412413066,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
13.5,2.939815783088038,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
13.600000000000001,2.9325926193798386,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
13.700000000000001,2.925439926052969,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
13.8,2.9183565086824133,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
13.9,2.9113412015556617,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
14.0,2.9043928667818526,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
14.100000000000001,2.8975103934346933,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
14.200000000000001,2.890692696727653,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
14.3,2.883938717219983,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
14.4,2.8772474200522153,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
14.5,2.870617794209849,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
14.600000000000001,2.864048851813992,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
14.700000000000001,2.8575396274377987,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
14.8,2.8510891774475984,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
14.9,2.8446965793676586,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
15.0,2.8383609312675873,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
15.100000000000001,2.8320813511714173,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
15.200000000000001,2.8258569764874766,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
15.3,2.8196869634581665,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
15.4,2.813570486628846,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
15.5,2.8075067383350247,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
15.600000000000001,2.8014949282071306,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
15.700000000000001,2.795534282692131,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
15.8,2.78962404459134,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
15.9,2.783763472613761,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
16.0,2.777951840944349,analytic_reference,paper_exact,Appendix H.2: 7/(lifecycle length)^(1/3)
