gamma_final_prime,lambda_zero_over_gamma_real,lambda_x_over_gamma_real,lambda_plus_over_gamma_real,lambda_minus_over_gamma_real,lambda_plus_over_gamma_imag,lambda_minus_over_gamma_imag,provenance
0.05,0.0,-1.0,-1.5,-1.5,-19.993749023132203,19.993749023132203,independent_characteristic_polynomial
0.05995,0.0,-1.0,-1.5,-1.5,-16.673071705241327,16.673071705241327,independent_characteristic_polynomial
0.0699,0.0,-1.0,-1.5,-1.5,-14.297411475357052,14.297411475357052,independent_characteristic_polynomial
0.07985,0.0,-1.0,-1.5,-1.5,-12.51349629714931,12.51349629714931,independent_characteristic_polynomial
0.08979999999999999,0.0,-1.0,-1.5,-1.5,-11.124626797886526,11.124626797886526,independent_characteristic_polynomial
0.09975,0.0,-1.0,-1.5,-1.5,-10.012586142929809,10.012586142929809,independent_characteristic_polynomial
0.10969999999999999,0.0,-1.0,-1.5,-1.5,-9.102047453454114,9.102047453454114,independent_characteristic_polynomial
0.11964999999999999,0.0,-1.0,-1.5,-1.5,-8.342740331242851,8.342740331242851,independent_characteristic_polynomial
0.1296,0.0,-1.0,-1.5,-1.5,-7.699832340805398,7.699832340805398,independent_characteristic_polynomial
0.13955,0.0,-1.0,-1.5,-1.5,-7.148425328591488,7.148425328591488,independent_characteristic_polynomial
0.1495,0.0,-1.0,-1.5,-1.5,-6.670249533123133,6.670249533123133,independent_characteristic_polynomial
0.15944999999999998,0.0,-1.0,-1.5,-1.5,-6.251595460096082,6.251595460096082,independent_characteristic_polynomial
0.1694,0.0,-1.0,-1.5,-1.5,-5.88197460668848,5.88197460668848,independent_characteristic_polynomial
0.17935,0.0,-1.0,-1.5,-1.5,-5.553225988813622,5.553225988813622,independent_characteristic_polynomial
0.18929999999999997,0.0,-1.0,-1.5,-1.5,-5.258904445035405,5.258904445035405,independent_characteristic_polynomial
0.19924999999999998,0.0,-1.0,-1.5,-1.5,-4.993852219055793,4.993852219055793,independent_characteristic_polynomial
0.2092,0.0,-1.0,-1.5,-1.5,-4.753892800924659,4.753892800924659,independent_characteristic_polynomial
0.21914999999999996,0.0,-1.0,-1.5,-1.5,-4.535608170845899,4.535608170845899,independent_characteristic_polynomial
0.22909999999999997,0.0,-1.0,-1.5,-1.5,-4.336174089879961,4.336174089879961,independent_characteristic_polynomial
0.23904999999999998,0.0,-1.0,-1.5,-1.5,-4.153236524903809,4.153236524903809,independent_characteristic_polynomial
0.249,0.0,-1.0,-1.5,-1.5,-3.9848177018000164,3.9848177018000164,independent_characteristic_polynomial
0.25894999999999996,0.0,-1.0,-1.5,-1.5,-3.829243817745149,3.829243817745149,independent_characteristic_polynomial
0.2689,0.0,-1.0,-1.5,-1.5,-3.6850888024959767,3.6850888024959767,independent_characteristic_polynomial
0.27885,0.0,-1.0,-1.5,-1.5,-3.5511301200211496,3.5511301200211496,independent_characteristic_polynomial
