series,alpha,tau_gamma_f_t,d_cold,d_hot,d_cold_minus_hot,provenance
alpha_0.94,0.94,0.0,0.9838897119145367,0.7741947263940987,0.20969498552043797,independent_matrix_exponential
alpha_0.94,0.94,0.01,0.9657537658599294,0.7640560359303368,0.20169772992959267,independent_matrix_exponential
alpha_0.94,0.94,0.02,0.9479536727848458,0.7540727781882235,0.19388089459662228,independent_matrix_exponential
alpha_0.94,0.94,0.03,0.9304832038363087,0.7442422236457475,0.18624098019056112,independent_matrix_exponential
alpha_0.94,0.94,0.04,0.9133362457640964,0.7345616941606805,0.17877455160341593,independent_matrix_exponential
alpha_0.94,0.94,0.05,0.8965067987744133,0.7250285620025273,0.171478236771886,independent_matrix_exponential
alpha_0.94,0.94,0.06,0.8799889744234164,0.7156402489019806,0.16434872552143576,independent_matrix_exponential
alpha_0.94,0.94,0.07,0.8637769935498614,0.7063942251175719,0.1573827684322895,independent_matrix_exponential
alpha_0.94,0.94,0.08,0.8478651842461378,0.6972880085192155,0.1505771757269223,independent_matrix_exponential
alpha_0.94,0.94,0.09,0.8322479798669821,0.6883191636883533,0.14392881617862874,independent_matrix_exponential
alpha_0.94,0.94,0.1,0.816919917075171,0.6794853010344043,0.13743461604076668,independent_matrix_exponential
alpha_0.94,0.94,0.11,0.8018756339235027,0.670784075927241,0.1310915579962617,independent_matrix_exponential
alpha_0.94,0.94,0.12,0.7871098679723979,0.6622131878454068,0.12489668012699107,independent_matrix_exponential
alpha_0.94,0.94,0.13,0.7726174544424557,0.6537703795398035,0.11884707490265212,independent_matrix_exponential
alpha_0.94,0.94,0.14,0.7583933244013162,0.6454534362125787,0.11293988818873757,independent_matrix_exponential
alpha_0.94,0.94,0.15,0.744432502984193,0.6372601847109483,0.1071723182732447,independent_matrix_exponential
alpha_0.94,0.94,0.16,0.730730107647448,0.6291884927356965,0.1015416149117514,independent_matrix_exponential
alpha_0.94,0.94,0.17,0.7172813464546006,0.6212362680640959,0.09604507839050469,independent_matrix_exponential
alpha_0.94,0.94,0.18,0.7040815163941598,0.6134014577869995,0.09068005860716033,independent_matrix_exponential
alpha_0.94,0.94,0.19,0.6911260017286983,0.605682047559859,0.08544395416883932,independent_matrix_exponential
alpha_0.94,0.94,0.2,0.67841027237458,0.598076060867427,0.08033421150715292,independent_matrix_exponential
alpha_0.94,0.94,0.21,0.6659298823117769,0.5905815583019094,0.07534832400986746,independent_matrix_exponential
alpha_0.94,0.94,0.22,0.6536804680232142,0.5831966368543307,0.07048383116888357,independent_matrix_exponential
alpha_0.94,0.94,0.23,0.6416577469630963,0.575919429218889,0.06573831774420735,independent_matrix_exponential
alpha_0.94,0.94,0.24,0.6298575160536733,0.5687481031100734,0.06110941294359995,independent_matrix_exponential
alpha_0.94,0.94,0.25,0.6182756502099246,0.5616808605923238,0.05659478961760078,independent_matrix_exponential
alpha_0.94,0.94,0.26,0.6069081008916335,0.5547159374220176,0.05219216346961586,independent_matrix_exponential
