series,alpha,tau_gamma_f_t,d_cold,d_hot,d_cold_minus_hot,provenance
alpha_0.94,0.94,0.27,0.5957508946823535,0.54785160240157,0.04789929228078349,independent_matrix_exponential
alpha_0.94,0.94,0.28,0.584800131894759,0.5410861567454394,0.04371397514931963,independent_matrix_exponential
alpha_0.94,0.94,0.29,0.574051985201893,0.534417933457832,0.039634051744061094,independent_matrix_exponential
alpha_0.94,0.94,0.3,0.5635026982938334,0.5278452967219047,0.03565740157192865,independent_matrix_exponential
alpha_0.94,0.94,0.31,0.5531485845593016,0.5213666413002673,0.03178194325903427,independent_matrix_exponential
alpha_0.94,0.94,0.32,0.5429860257917544,0.5149803919465896,0.028005633845164746,independent_matrix_exponential
alpha_0.94,0.94,0.33,0.5330114709194993,0.5086850028281213,0.02432646809137795,independent_matrix_exponential
alpha_0.94,0.94,0.34,0.5232214347593935,0.5024789569589379,0.020742477800455683,independent_matrix_exponential
alpha_0.94,0.94,0.35000000000000003,0.5136124967936829,0.49636076564372367,0.01725173114995926,independent_matrix_exponential
alpha_0.94,0.94,0.36,0.5041812999695534,0.49032896793191677,0.013852332037636639,independent_matrix_exponential
alpha_0.94,0.94,0.37,0.4949245495209757,0.48438213008202896,0.010542419438946737,independent_matrix_exponential
alpha_0.94,0.94,0.38,0.48583901181242384,0.4785188450359706,0.007320166776453252,independent_matrix_exponential
alpha_0.94,0.94,0.39,0.47692151320406545,0.4727377319032046,0.004183781300860834,independent_matrix_exponential
alpha_0.94,0.94,0.4,0.4681689389380245,0.46703743545456133,0.001131503483463192,independent_matrix_exponential
alpha_0.94,0.94,0.41000000000000003,0.45957823204532317,0.46141662562554403,-0.001838393580220865,independent_matrix_exponential
alpha_0.94,0.94,0.42,0.4511463922731206,0.45587399702896303,-0.0047276047558424406,independent_matrix_exponential
alpha_0.94,0.94,0.43,0.4428704750318713,0.45040826847673704,-0.007537793444865715,independent_matrix_exponential
alpha_0.94,0.94,0.44,0.43474759036203287,0.4450181825106984,-0.010270592148665547,independent_matrix_exponential
alpha_0.94,0.94,0.45,0.42677490191996037,0.439702504942251,-0.012927603022290624,independent_matrix_exponential
alpha_0.94,0.94,0.46,0.4189496259826303,0.4344600244007227,-0.015510398418092375,independent_matrix_exponential
alpha_0.94,0.94,0.47000000000000003,0.41126903047084523,0.42928955189026213,-0.0180205214194169,independent_matrix_exponential
alpha_0.94,0.94,0.48,0.4037304339905766,0.42418992035513153,-0.020459486364554913,independent_matrix_exponential
alpha_0.94,0.94,0.49,0.39633120489210644,0.419159984253247,-0.022828779361140583,independent_matrix_exponential
alpha_0.94,0.94,0.5,0.3890687603466393,0.41419861913782297,-0.02512985879118368,independent_matrix_exponential
alpha_0.94,0.94,0.51,0.38194056544006083,0.4093047212469795,-0.027364155806918644,independent_matrix_exponential
alpha_0.94,0.94,0.52,0.3749441322835218,0.4044772071011707,-0.029533074817648886,independent_matrix_exponential
alpha_0.94,0.94,0.53,0.36807701914053725,0.3997150131082979,-0.031637993967760625,independent_matrix_exponential
alpha_0.94,0.94,0.54,0.3613368295702932,0.3950170951763725,-0.033680265606079285,independent_matrix_exponential
alpha_0.94,0.94,0.55,0.3547212115868615,0.3903824283335951,-0.035661216746733615,independent_matrix_exponential
alpha_0.94,0.94,0.56,0.34822785683402324,0.3858100063557177,-0.037582149521694475,independent_matrix_exponential
alpha_0.94,0.94,0.5700000000000001,0.3418544997754171,0.38129884140056464,-0.03944434162514754,independent_matrix_exponential
alpha_0.94,0.94,0.58,0.33559891689972216,0.37684796364958006,-0.04124904674985791,independent_matrix_exponential
alpha_0.94,0.94,0.59,0.32945892594059895,0.37245642095628034,-0.0429974950156814,independent_matrix_exponential
alpha_0.94,0.94,0.6,0.3234323851111155,0.368123278501488,-0.04469089339037252,independent_matrix_exponential
alpha_0.94,0.94,0.61,0.31751719235238596,0.3638476184552249,-0.04633042610283894,independent_matrix_exponential
alpha_0.94,0.94,0.62,0.31171128459616193,0.35962853964514657,-0.04791725504898464,independent_matrix_exponential
alpha_0.94,0.94,0.63,0.3060126370411135,0.35546515723140015,-0.049452520190286675,independent_matrix_exponential
alpha_0.94,0.94,0.64,0.30041926244254974,0.351356602387792,-0.050937339945242244,independent_matrix_exponential
alpha_0.94,0.94,0.65,0.2949292104153254,0.3473020219891472,-0.05237281157382184,independent_matrix_exponential
alpha_0.94,0.94,0.66,0.28954056674969125,0.343300578304756,-0.05376001155506477,independent_matrix_exponential
alpha_0.94,0.94,0.67,0.2842514527398467,0.33935144869779005,-0.05509999595794335,independent_matrix_exponential
alpha_0.94,0.94,0.68,0.27906002452495965,0.33545382533058615,-0.056393800805626504,independent_matrix_exponential
alpha_0.94,0.94,0.6900000000000001,0.27396447244242067,0.3316069148756866,-0.05764244243326594,independent_matrix_exponential
alpha_0.94,0.94,0.7000000000000001,0.2689630203931063,0.3278099382325352,-0.05884691783942886,independent_matrix_exponential
alpha_0.94,0.94,0.71,0.2640539252184258,0.3240621302497219,-0.060008205031296113,independent_matrix_exponential
alpha_0.94,0.94,0.72,0.2592354760889357,0.3203627394526783,-0.06112726336374258,independent_matrix_exponential
alpha_0.94,0.94,0.73,0.2545059939043044,0.31671102777672144,-0.06220503387241705,independent_matrix_exponential
alpha_0.94,0.94,0.74,0.24986383070441798,0.3131062703053492,-0.06324243960093123,independent_matrix_exponential
alpha_0.94,0.94,0.75,0.2453073690914194,0.30954775501368975,-0.06424038592227035,independent_matrix_exponential
alpha_0.94,0.94,0.76,0.24083502166247867,0.30603478251701083,-0.06519976085453216,independent_matrix_exponential
alpha_0.94,0.94,0.77,0.23644523045309385,0.30256666582419406,-0.06612143537110021,independent_matrix_exponential
alpha_0.94,0.94,0.78,0.23213646639072827,0.29914273009608383,-0.06700626370535556,independent_matrix_exponential
alpha_0.94,0.94,0.79,0.22790722875859182,0.29576231240861844,-0.06785508365002663,independent_matrix_exponential
alpha_0.94,0.94,0.8,0.22375604466937662,0.2924247615206556,-0.06866871685127898,independent_matrix_exponential
alpha_0.94,0.94,0.81,0.219681468548765,0.28912943764640453,-0.06944796909763953,independent_matrix_exponential
alpha_0.94,0.94,0.8200000000000001,0.21568208162852534,0.28587571223237773,-0.07019363060385239,independent_matrix_exponential
alpha_0.94,0.94,0.8300000000000001,0.21175649144901923,0.282662967738778,-0.0709064762897588,independent_matrix_exponential
alpha_0.94,0.94,0.84,0.20790333137094605,0.2794905974252383,-0.07158726605429225,independent_matrix_exponential
alpha_0.94,0.94,0.85,0.20412126009615056,0.2763580051408298,-0.07223674504467925,independent_matrix_exponential
alpha_0.94,0.94,0.86,0.20040896119732865,0.2732646051182607,-0.07285564392093202,independent_matrix_exponential
alpha_0.94,0.94,0.87,0.19676514265646386,0.27020982177218356,-0.0734446791157197,independent_matrix_exponential
alpha_0.94,0.94,0.88,0.1931885364118327,0.2671930895015356,-0.07400455308970288,independent_matrix_exponential
alpha_0.94,0.94,0.89,0.1896778979134204,0.26421385249583257,-0.07453595458241216,independent_matrix_exponential
alpha_0.94,0.94,0.9,0.18623200568659062,0.26127156454534306,-0.07503955885875244,independent_matrix_exponential
alpha_0.94,0.94,0.91,0.1828496609038556,0.25836568885506844,-0.07551602795121284,independent_matrix_exponential
alpha_0.94,0.94,0.92,0.17952968696459679,0.25549569786245385,-0.07596601089785707,independent_matrix_exponential
alpha_0.94,0.94,0.93,0.17627092908258726,0.2526610730587614,-0.07639014397617414,independent_matrix_exponential
alpha_0.94,0.94,0.9400000000000001,0.173072253881173,0.24986130481403265,-0.07678905093285965,independent_matrix_exponential
alpha_0.94,0.94,0.9500000000000001,0.1699325489959691,0.2470958922055721,-0.077163343209603,independent_matrix_exponential
alpha_0.94,0.94,0.96,0.16685072268493134,0.2443643428498834,-0.07751362016495206,independent_matrix_exponential
alpha_0.94,0.94,0.97,0.16382570344566774,0.24166617273799168,-0.07784046929232394,independent_matrix_exponential
alpha_0.94,0.94,0.98,0.16085643963985452,0.23900090607408556,-0.07814446643423104,independent_matrix_exponential
alpha_0.94,0.94,0.99,0.15794189912462372,0.2363680751174146,-0.07842617599279086,independent_matrix_exponential
alpha_0.94,0.94,1.0,0.15508106889079554,0.2337672200273787,-0.07868615113658317,independent_matrix_exponential
alpha_0.94,0.94,1.01,0.15227295470782531,0.2311978887117465,-0.0789249340039212,independent_matrix_exponential
alpha_0.94,0.94,1.02,0.14951658077534297,0.22865963667794184,-0.07914305590259887,independent_matrix_exponential
alpha_0.94,0.94,1.03,0.14681098938116108,0.2261520268873386,-0.07934103750617752,independent_matrix_exponential
alpha_0.94,0.94,1.04,0.1441552405656318,0.2236746296125027,-0.07951938904687089,independent_matrix_exponential
alpha_0.94,0.94,1.05,0.1415484117922345,0.22122702229732613,-0.07967861050509162,independent_matrix_exponential
alpha_0.94,0.94,1.06,0.13898959762428004,0.21880878941999246,-0.07981919179571242,independent_matrix_exponential
alpha_0.94,0.94,1.07,0.13647790940761464,0.2164195223587207,-0.07994161295110605,independent_matrix_exponential
alpha_0.94,0.94,1.08,0.1340124749592163,0.2140588192602301,-0.08004634430101379,independent_matrix_exponential
alpha_0.94,0.94,1.09,0.1315924382615705,0.2117262849108738,-0.08013384664930331,independent_matrix_exponential
alpha_0.94,0.94,1.1,0.12921695916272102,0.20942153061038576,-0.08020457144766474,independent_matrix_exponential
alpha_0.94,0.94,1.11,0.1268852130818874,0.2071441740481912,-0.08025896096630378,independent_matrix_exponential
alpha_0.94,0.94,1.12,0.12459639072054886,0.20489383918222762,-0.08029744846167876,independent_matrix_exponential
alpha_0.94,0.94,1.1300000000000001,0.12234969777889058,0.20267015612022676,-0.08032045834133618,independent_matrix_exponential
alpha_0.94,0.94,1.1400000000000001,0.12014435467751398,0.20047276100340786,-0.08032840632589387,independent_matrix_exponential
alpha_0.94,0.94,1.1500000000000001,0.11797959628431441,0.19830129589253376,-0.08032169960821935,independent_matrix_exponential
alpha_0.94,0.94,1.16,0.11585467164642653,0.1961554086562825,-0.08030073700985597,independent_matrix_exponential
alpha_0.94,0.94,1.17,0.11376884372714839,0.19403475286188662,-0.08026590913473823,independent_matrix_exponential
alpha_0.94,0.94,1.18,0.11172138914774733,0.1919389876679965,-0.08021759852024916,independent_matrix_exponential
alpha_0.94,0.94,1.19,0.10971159793406009,0.18986777771971977,-0.08015617978565968,independent_matrix_exponential
alpha_0.94,0.94,1.2,0.10773877326779602,0.18782079304579483,-0.08008201977799881,independent_matrix_exponential
alpha_0.94,0.94,1.21,0.10580223124245752,0.18579770895785452,-0.079995477715397,independent_matrix_exponential
alpha_0.94,0.94,1.22,0.10390130062379137,0.18379820595173715,-0.07989690532794579,independent_matrix_exponential
alpha_0.94,0.94,1.23,0.10203532261468704,0.18182196961080271,-0.07978664699611568,independent_matrix_exponential
alpha_0.94,0.94,1.24,0.10020365062443871,0.1798686905112147,-0.07966503988677599,independent_matrix_exponential
alpha_0.94,0.94,1.25,0.0984056500422915,0.17793806412914595,-0.07953241408685445,independent_matrix_exponential
alpha_0.94,0.94,1.26,0.09664069801519061,0.17602979074987,-0.07938909273467938,independent_matrix_exponential
alpha_0.94,0.94,1.27,0.09490818322965645,0.17414357537869846,-0.079235392149042,independent_matrix_exponential
alpha_0.94,0.94,1.28,0.09320750569770933,0.1722791276537272,-0.07907162195601786,independent_matrix_exponential
alpha_0.94,0.94,1.29,0.09153807654676749,0.17043616176035412,-0.07889808521358663,independent_matrix_exponential
alpha_0.94,0.94,1.3,0.08989931781344537,0.16861439634753161,-0.07871507853408624,independent_matrix_exponential
alpha_0.94,0.94,1.31,0.08829066224118048,0.16681355444571774,-0.07852289220453726,independent_matrix_exponential
alpha_0.94,0.94,1.32,0.08671155308161543,0.1650333633864919,-0.07832181030487648,independent_matrix_exponential
alpha_0.94,0.94,1.33,0.08516144389966866,0.16327355472380012,-0.07811211082413146,independent_matrix_exponential
alpha_0.94,0.94,1.34,0.08363979838222214,0.1615338641567955,-0.07789406577457335,independent_matrix_exponential
alpha_0.94,0.94,1.35,0.082146090150362,0.1598140314542426,-0.0776679413038806,independent_matrix_exponential
alpha_0.94,0.94,1.36,0.08067980257510322,0.15811380038045125,-0.07743399780534803,independent_matrix_exponential
alpha_0.94,0.94,1.37,0.07924042859653574,0.1564329186227089,-0.07719249002617315,independent_matrix_exponential
alpha_0.94,0.94,1.3800000000000001,0.07782747054632766,0.15477113772018142,-0.07694366717385376,independent_matrix_exponential
alpha_0.94,0.94,1.3900000000000001,0.07644043997352347,0.1531282129942495,-0.07668777302072603,independent_matrix_exponential
alpha_0.94,0.94,1.4000000000000001,0.07507885747357614,0.15150390348025278,-0.07642504600667664,independent_matrix_exponential
alpha_0.94,0.94,1.41,0.07374225252055204,0.14989797186061143,-0.0761557193400594,independent_matrix_exponential
alpha_0.94,0.94,1.42,0.07243016330245258,0.14831018439929622,-0.07588002109684364,independent_matrix_exponential
alpha_0.94,0.94,1.43,0.07114213655959045,0.14674031087761968,-0.07559817431802923,independent_matrix_exponential
alpha_0.94,0.94,1.44,0.06987772742596815,0.14518812453132013,-0.07531039710535198,independent_matrix_exponential
alpha_0.94,0.94,1.45,0.06863649927360012,0.14365340198891174,-0.07501690271531163,independent_matrix_exponential
alpha_0.94,0.94,1.46,0.06741802355972489,0.14213592321127383,-0.07471789965154894,independent_matrix_exponential
alpha_0.94,0.94,1.47,0.06622187967685368,0.14063547143245375,-0.07441359175560007,independent_matrix_exponential
alpha_0.94,0.94,1.48,0.06504765480560246,0.13915183310165827,-0.07410417829605581,independent_matrix_exponential
alpha_0.94,0.94,1.49,0.0638949437702564,0.13768479782640708,-0.07378985405615068,independent_matrix_exponential
alpha_0.94,0.94,1.5,0.06276334889701475,0.1362341583168261,-0.07347080941981134,independent_matrix_exponential
alpha_0.94,0.94,1.51,0.06165247987486854,0.13479971033105437,-0.07314723045618582,independent_matrix_exponential
alpha_0.94,0.94,1.52,0.060561953619059326,0.1333812526217435,-0.07281929900268416,independent_matrix_exponential
alpha_0.94,0.94,1.53,0.05949139413707411,0.13197858688362396,-0.07248719274654986,independent_matrix_exponential
alpha_0.94,0.94,1.54,0.0584404323971274,0.13059151770211885,-0.07215108530499145,independent_matrix_exponential
alpha_0.94,0.94,1.55,0.05740870619908432,0.12921985250298018,-0.07181114630389586,independent_matrix_exponential
alpha_0.94,0.94,1.56,0.05639586004778097,0.127863401502928,-0.07146754145514703,independent_matrix_exponential
alpha_0.94,0.94,1.57,0.055401545028695376,0.1265219776612706,-0.07112043263257523,independent_matrix_exponential
alpha_0.94,0.94,1.58,0.05442541868592777,0.1251953966324852,-0.07076997794655743,independent_matrix_exponential
alpha_0.94,0.94,1.59,0.053467144902444974,0.12388347671973857,-0.07041633181729359,independent_matrix_exponential
alpha_0.94,0.94,1.6,0.05252639378254882,0.12258603882932836,-0.07005964504677954,independent_matrix_exponential
alpha_0.94,0.94,1.61,0.05160284153652637,0.12130290642602509,-0.06970006488949873,independent_matrix_exponential
alpha_0.94,0.94,1.62,0.05069617036744137,0.12003390548929603,-0.06933773512185466,independent_matrix_exponential
alpha_0.94,0.94,1.6300000000000001,0.04980606836002777,0.11877886447039279,-0.06897279611036503,independent_matrix_exponential
alpha_0.94,0.94,1.6400000000000001,0.04893222937164581,0.11753761425028335,-0.06860538487863754,independent_matrix_exponential
alpha_0.94,0.94,1.6500000000000001,0.04807435292526267,0.11630998809841175,-0.06823563517314908,independent_matrix_exponential
alpha_0.94,0.94,1.6600000000000001,0.04723214410441996,0.11509582163226739,-0.06786367752784743,independent_matrix_exponential
alpha_0.94,0.94,1.67,0.046405313450151656,0.11389495277774721,-0.06748963932759555,independent_matrix_exponential
alpha_0.94,0.94,1.68,0.04559357685981485,0.1127072217302931,-0.06711364487047825,independent_matrix_exponential
alpha_0.94,0.94,1.69,0.04479665548780018,0.11153247091678968,-0.0667358154289895,independent_matrix_exponential
alpha_0.94,0.94,1.7,0.04401427564808495,0.110370544958205,-0.06635626931012005,independent_matrix_exponential
alpha_0.94,0.94,1.71,0.04324616871859555,0.10922129063295924,-0.0659751219143637,independent_matrix_exponential
alpha_0.94,0.94,1.72,0.042492071047346265,0.10808455684100572,-0.06559248579365945,independent_matrix_exponential
alpha_0.94,0.94,1.73,0.041751723860319785,0.1069601945686093,-0.0652084707082895,independent_matrix_exponential
alpha_0.94,0.94,1.74,0.04102487317105891,0.10584805685380747,-0.06482318368274856,independent_matrix_exponential
alpha_0.94,0.94,1.75,0.04031126969193728,0.10474799875253976,-0.06443672906060248,independent_matrix_exponential
alpha_0.94,0.94,1.76,0.03961066874707662,0.10365987730543097,-0.06404920855835436,independent_matrix_exponential
alpha_0.94,0.94,1.77,0.03892283018688177,0.10258355150521511,-0.06366072131833334,independent_matrix_exponential
alpha_0.94,0.94,1.78,0.0382475183041628,0.10151888226478607,-0.06327136396062327,independent_matrix_exponential
alpha_0.94,0.94,1.79,0.037584501751814006,0.10046573238586179,-0.06288123063404778,independent_matrix_exponential
alpha_0.94,0.94,1.8,0.036933553462021804,0.09942396652824931,-0.062490413066227504,independent_matrix_exponential
alpha_0.94,0.94,1.81,0.03629445056697385,0.09839345117969779,-0.06209900061272394,independent_matrix_exponential
alpha_0.94,0.94,1.82,0.03566697432103892,0.09737405462632719,-0.061707080305288264,independent_matrix_exponential
alpha_0.94,0.94,1.83,0.03505091002439344,0.09636564692362037,-0.06131473689922693,independent_matrix_exponential
alpha_0.94,0.94,1.84,0.03444604694806564,0.09536809986796739,-0.06092205291990175,independent_matrix_exponential
alpha_0.94,0.94,1.85,0.03385217826037171,0.09438128696874935,-0.060529108708377646,independent_matrix_exponential
alpha_0.94,0.94,1.86,0.03326910095471853,0.0934050834209511,-0.060135982466232564,independent_matrix_exponential
alpha_0.94,0.94,1.87,0.032696615778746725,0.09243936607829212,-0.05974275029954539,independent_matrix_exponential
alpha_0.94,0.94,1.8800000000000001,0.03213452716479044,0.09148401342686338,-0.05934948626207294,independent_matrix_exponential
alpha_0.94,0.94,1.8900000000000001,0.0315826431616279,0.09053890555926125,-0.05895626239763335,independent_matrix_exponential
alpha_0.94,0.94,1.9000000000000001,0.03104077536749968,0.08960392414920626,-0.058563148781706584,independent_matrix_exponential
alpha_0.94,0.94,1.9100000000000001,0.030508738864372064,0.08867895242663847,-0.0581702135622664,independent_matrix_exponential
alpha_0.94,0.94,1.92,0.029986352153419642,0.08776387515327769,-0.05777752299985804,independent_matrix_exponential
alpha_0.94,0.94,1.93,0.029473437091707945,0.08685857859864002,-0.05738514150693207,independent_matrix_exponential
alpha_0.94,0.94,1.94,0.02896981883005114,0.08596295051650062,-0.056993131686449476,independent_matrix_exponential
alpha_0.94,0.94,1.95,0.028475325752024532,0.08507688012179393,-0.056601554369769394,independent_matrix_exponential
alpha_0.94,0.94,1.96,0.02798978941410939,0.08420025806794135,-0.05621046865383196,independent_matrix_exponential
alpha_0.94,0.94,1.97,0.02751304448695041,0.08333297642459822,-0.05581993193764781,independent_matrix_exponential
alpha_0.94,0.94,1.98,0.027044928697703717,0.08247492865581148,-0.05542999995810776,independent_matrix_exponential
alpha_0.94,0.94,1.99,0.02658528277345622,0.08162600959857849,-0.055040726825122274,independent_matrix_exponential
alpha_0.94,0.94,2.0,0.02613395038569587,0.08078611544179976,-0.05465216505610389,independent_matrix_exponential
alpha_0.94,0.94,2.0100000000000002,0.025690778095813518,0.07995514370561706,-0.054264365609803536,independent_matrix_exponential
alpha_0.94,0.94,2.02,0.025255615301617573,0.07913299322112843,-0.05387737791951086,independent_matrix_exponential
alpha_0.94,0.94,2.0300000000000002,0.024828314184841483,0.0783195641104732,-0.053491249925631715,independent_matrix_exponential
alpha_0.94,0.94,2.04,0.02440872965962754,0.07751475776727852,-0.053106028107650985,independent_matrix_exponential
alpha_0.94,0.94,2.05,0.02399671932196691,0.07671847683746044,-0.05272175751549353,independent_matrix_exponential
alpha_0.94,0.94,2.06,0.023592143400079403,0.07593062520037201,-0.05233848180029261,independent_matrix_exponential
alpha_0.94,0.94,2.07,0.023194864705715256,0.07515110795029156,-0.0519562432445763,independent_matrix_exponential
alpha_0.94,0.94,2.08,0.022804748586361206,0.07437983137824362,-0.051575082791882415,independent_matrix_exponential
alpha_0.94,0.94,2.09,0.02242166287833502,0.0736167029541461,-0.05119504007581108,independent_matrix_exponential
alpha_0.94,0.94,2.1,0.022045477860751776,0.07286163130927699,-0.05081615344852521,independent_matrix_exponential
alpha_0.94,0.94,2.11,0.021676066210344375,0.07211452621905357,-0.05043846000870919,independent_matrix_exponential
alpha_0.94,0.94,2.12,0.021313302957125045,0.07137529858611855,-0.0500619956289935,independent_matrix_exponential
alpha_0.94,0.94,2.13,0.020957065440869033,0.07064386042372628,-0.049686794982857246,independent_matrix_exponential
alpha_0.94,0.94,2.14,0.020607233268408638,0.06992012483942273,-0.04931289157101409,independent_matrix_exponential
alpha_0.94,0.94,2.15,0.020263688271718837,0.06920400601901396,-0.04894031774729512,independent_matrix_exponential
alpha_0.94,0.94,2.16,0.019926314466783446,0.06849541921081667,-0.048569104744033226,independent_matrix_exponential
alpha_0.94,0.94,2.17,0.019594998013224656,0.06779428071018537,-0.04819928269696071,independent_matrix_exponential
alpha_0.94,0.94,2.18,0.019269627174682443,0.0671005078443101,-0.04783088066962765,independent_matrix_exponential
alpha_0.94,0.94,2.19,0.018950092279931358,0.06641401895727983,-0.04746392667734847,independent_matrix_exponential
alpha_0.94,0.94,2.2,0.0186362856847183,0.06573473339540613,-0.04709844771068783,independent_matrix_exponential
alpha_0.94,0.94,2.21,0.018328101734310525,0.06506257149280112,-0.04673446975849059,independent_matrix_exponential
alpha_0.94,0.94,2.22,0.01802543672673904,0.06439745455720547,-0.04637201783046643,independent_matrix_exponential
alpha_0.94,0.94,2.23,0.01772818887672488,0.06373930485606069,-0.04601111597933581,independent_matrix_exponential
alpha_0.94,0.94,2.24,0.017436258280275792,0.0630880456028218,-0.04565178732254601,independent_matrix_exponential
alpha_0.94,0.94,2.25,0.017149546879940584,0.062443600943504075,-0.04529405406356349,independent_matrix_exponential
alpha_0.94,0.94,2.2600000000000002,0.01686795843070926,0.06180589594346068,-0.04493793751275142,independent_matrix_exponential
alpha_0.94,0.94,2.27,0.016591398466546035,0.06117485657438573,-0.0445834581078397,independent_matrix_exponential
alpha_0.94,0.94,2.2800000000000002,0.016319774267545183,0.060550409701538306,-0.044230635433993123,independent_matrix_exponential
alpha_0.94,0.94,2.29,0.01605299482769572,0.05993248307118351,-0.043879488243487794,independent_matrix_exponential
alpha_0.94,0.94,2.3000000000000003,0.01579097082324582,0.05932100529824556,-0.04353003447499974,independent_matrix_exponential
alpha_0.94,0.94,2.31,0.015533614581654809,0.058715905854169775,-0.04318229127251497,independent_matrix_exponential
alpha_0.94,0.94,2.32,0.01528084005112132,0.058117115054987754,-0.042836275003866435,independent_matrix_exponential
alpha_0.94,0.94,2.33,0.015032562770677755,0.05752456404958335,-0.042492001278905595,independent_matrix_exponential
alpha_0.94,0.94,2.34,0.014788699840840367,0.056938184808154664,-0.0421494849673143,independent_matrix_exponential
alpha_0.94,0.94,2.35,0.014549169894804006,0.05635791011086789,-0.041808740216063886,independent_matrix_exponential
alpha_0.94,0.94,2.36,0.014313893070172124,0.05578367353670014,-0.041469780466528015,independent_matrix_exponential
alpha_0.94,0.94,2.37,0.014082790981211115,0.055215409452466835,-0.04113261847125572,independent_matrix_exponential
alpha_0.94,0.94,2.38,0.013855786691620527,0.054653053002030494,-0.04079726631040997,independent_matrix_exponential
alpha_0.94,0.94,2.39,0.013632804687808246,0.05409654009568679,-0.040463735407878544,independent_matrix_exponential
alpha_0.94,0.94,2.4,0.013413770852662323,0.05354580739972554,-0.04013203654706322,independent_matrix_exponential
alpha_0.94,0.94,2.41,0.013198612439808743,0.05300079232616149,-0.03980217988635275,independent_matrix_exponential
alpha_0.94,0.94,2.42,0.012987258048347694,0.05246143302263385,-0.03947417497428615,independent_matrix_exponential
alpha_0.94,0.94,2.43,0.012779637598058667,0.05192766836246891,-0.039148030764410244,independent_matrix_exponential
alpha_0.94,0.94,2.44,0.012575682305064938,0.05139943793490483,-0.0388237556298399,independent_matrix_exponential
alpha_0.94,0.94,2.45,0.01237532465795013,0.05087668203547355,-0.038501357377523415,independent_matrix_exponential
alpha_0.94,0.94,2.46,0.012178498394317614,0.05035934165653847,-0.038180843262220855,independent_matrix_exponential
alpha_0.94,0.94,2.47,0.011985138477784587,0.049847358477983474,-0.037862220000198885,independent_matrix_exponential
alpha_0.94,0.94,2.48,0.011795181075402603,0.0493406748580516,-0.037545493782649,independent_matrix_exponential
alpha_0.94,0.94,2.49,0.011608563535497317,0.04883923382432956,-0.03723067028883224,independent_matrix_exponential
alpha_0.94,0.94,2.5,0.011425224365918052,0.04834297906487616,-0.03691775469895811,independent_matrix_exponential
