series_kind,chord_id,endpoint,gamma_final_prime,gamma_initial_prime,y,z,provenance
locus,-1,locus,,0.001,0.001999996000008,-1.9999960000079996e-06,independent_steady_state_formula
locus,-1,locus,,0.001010362272981164,0.0020207204203305045,-2.0416596769445816e-06,independent_steady_state_formula
locus,-1,locus,,0.001020831922663664,0.002041659590109335,-2.084191284796021e-06,independent_steady_state_formula
locus,-1,locus,,0.0010314100617141914,0.0020628157345539207,-2.1276089040812646e-06,independent_steady_state_formula
locus,-1,locus,,0.0010420978143291931,0.002084191101929307,-2.1719309919648834e-06,independent_steady_state_formula
locus,-1,locus,,0.0010528963163543466,0.0021057879637949857,-2.2171763901030604e-06,independent_steady_state_formula
locus,-1,locus,,0.0010638067154052722,0.0021276086152461917,-2.2633643326530107e-06,independent_steady_state_formula
locus,-1,locus,,0.001074830170989497,0.0021496553751577017,-2.3105144544492433e-06,independent_steady_state_formula
locus,-1,locus,,0.0010859678546296814,0.002171930586430154,-2.3586467993501403e-06,independent_steady_state_formula
locus,-1,locus,,0.0010972209499881232,0.0021944366162389155,-2.4077818287583852e-06,independent_steady_state_formula
locus,-1,locus,,0.0011085906529925522,0.002217175856285531,-2.4579404303188974e-06,independent_steady_state_formula
locus,-1,locus,,0.0011200781719632278,0.0022401507230517697,-2.5091439267979293e-06,independent_steady_state_formula
locus,-1,locus,,0.001131684727741354,0.0022633636580563048,-2.561414085147124e-06,independent_steady_state_formula
locus,-1,locus,,0.0011434115538188241,0.0022868171281140433,-2.614773125756379e-06,independent_steady_state_formula
locus,-1,locus,,0.0011552598964693116,0.0023105136255981485,-2.669243731899451e-06,independent_steady_state_formula
locus,-1,locus,,0.0011672310148807179,0.0023344556687047695,-2.7248490593763134e-06,independent_steady_state_formula
locus,-1,locus,,0.001179326181288993,0.0023586458017205102,-2.7816127463563646e-06,independent_steady_state_formula
locus,-1,locus,,0.0011915466811133432,0.0023830865952926645,-2.8395589234266713e-06,independent_steady_state_formula
locus,-1,locus,,0.0012038938130928395,0.0024077806467022547,-2.89871222384952e-06,independent_steady_state_formula
locus,-1,locus,,0.0012163688894244419,0.002432730580139889,-2.959097794033635e-06,independent_steady_state_formula
locus,-1,locus,,0.0012289732359024533,0.002457939046984476,-3.0207413042235037e-06,independent_steady_state_formula
locus,-1,locus,,0.001241708192059419,0.002483408726084821,-3.0836689594113683e-06,independent_steady_state_formula
locus,-1,locus,,0.0012545751113084863,0.002509142324044142,-3.147907510476513e-06,independent_steady_state_formula
locus,-1,locus,,0.0012675753610872388,0.002535142575507521,-3.2134842655565792e-06,independent_steady_state_formula
locus,-1,locus,,0.0012807103230030223,0.002561412243452339,-3.2804271016557406e-06,independent_steady_state_formula
locus,-1,locus,,0.0012939813929797744,0.002587954119481705,-3.348764476494682e-06,independent_steady_state_formula
locus,-1,locus,,0.0013073899814063776,0.0026147710241209306,-3.4185254406073984e-06,independent_steady_state_formula
locus,-1,locus,,0.0013209375132865494,0.002641865807117069,-3.4897396496899845e-06,independent_steady_state_formula
locus,-1,locus,,0.0013346254283902845,0.0026692413477415475,-3.562437377206623e-06,independent_steady_state_formula
locus,-1,locus,,0.0013484551814068675,0.002696900555095939,-3.6366495272581763e-06,independent_steady_state_formula
locus,-1,locus,,0.0013624282420994706,0.00272484636842089,-3.7124076477188e-06,independent_steady_state_formula
locus,-1,locus,,0.0013765460954613526,0.002753081757408248,-3.789743943646203e-06,independent_steady_state_formula
locus,-1,locus,,0.0013908102418736786,0.002781609722516417,-3.868691290971234e-06,independent_steady_state_formula
locus,-1,locus,,0.0014052221972649724,0.0028104332952889714,-3.949283250472605e-06,independent_steady_state_formula
locus,-1,locus,,0.001419783493272223,0.00283955553867657,-4.03155408204271e-06,independent_steady_state_formula
locus,-1,locus,,0.0014344956774036603,0.0028689795473622,-4.1155387592505866e-06,independent_steady_state_formula
locus,-1,locus,,0.0014493603132032168,0.0028987084480897774,-4.20127298420821e-06,independent_steady_state_formula
locus,-1,locus,,0.001464378980416694,0.002928745399996153,-4.288793202746449e-06,independent_steady_state_formula
locus,-1,locus,,0.0014795532751596503,0.0029590935949465502,-4.378136619907112e-06,independent_steady_state_formula
locus,-1,locus,,0.0014948848100870297,0.00298975625787347,-4.469341215757691e-06,independent_steady_state_formula
