series_kind,branch,alpha,gamma_prime,y,z,provenance
locus,not_applicable,0.1,0.001,0.00019999996000000803,-1.9999996000000803e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0010099526893744635,0.00020199049666865226,-2.0400084533858895e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0010200044347747116,0.00020400084450607748,-2.0808176609398542e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0010301562220745985,0.00020603120068595765,-2.1224432332813957e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0010404090469600777,0.00020808176434435337,-2.1649015013128017e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.001050763915026853,0.00021015273659924136,-2.208209122626259e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0010612218418790103,0.00021224432057023948,-2.2523830880390867e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0010717838532286281,0.00021435672139852815,-2.2974407282597004e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0010824509849963783,0.00021649014626696898,-2.3433997206869056e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.001093224283413128,0.00021864480442042444,-2.3902780963452205e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0011041048051225594,0.0002208209071862804,-2.4380942469589494e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0011150936172847968,0.00022301866799517053,-2.4868669321677183e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0011261917976810793,0.00022523830240190926,-2.5366152868864074e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0011374004348194678,0.00022748002810663243,-2.5873588288122845e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0011487206280416044,0.00022974406497614744,-2.6391174660823124e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0011601534876305411,0.00023203063506549784,-2.6919115050836666e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0011717001349196283,0.00023433996263973956,-2.745761658420435e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0011833617024025005,0.0002366722741959368,-2.8006890530397513e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.001195139333844149,0.00023902779848537485,-2.856715238520444e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0012070341843931028,0.00024140676653599502,-2.9138621955275095e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0012190474206947252,0.00024380941167505206,-2.972152344435706e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0012311802210056406,0.00024623596955199834,-3.031608554125675e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.001243433775309293,0.00024868667816159353,-3.092254150955974e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0012558092854326628,0.0002511617778672465,-3.1541129279146406e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.001268307965164141,0.0002536615114245883,-3.2172091539538014e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0012809310403725765,0.00025618612400527967,-3.2815675835110086e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0012936797491275131,0.00025873586322105714,-3.3472134662210767e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.001306555341820613,0.00026131097914801484,-3.414172556822136e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0013195590812882995,0.00026391172435113195,-3.4824711252599064e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0013326922429356145,0.0002665383539090419,-3.552135966994077e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0013459561148613083,0.0002691911254390482,-3.623194413510844e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0013593519979841827,0.00027187029912239044,-3.6956743430457886e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0013728812061706754,0.0002745761377297601,-3.769604191521186e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.001386545066363731,0.00027730890664707115,-3.845012963702169e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.001400344918712944,0.000280068873901487,-3.921930244576036e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0014142821167060023,0.0002828563101877069,-4.000386210959196e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0014283580273014343,0.00028567148889451237,-4.0804116433362937e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.001442574031062687,0.00028851468613158045,-4.162037937936199e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0014569315222935217,0.0002913861807565604,-4.2452971190495085e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0014714319091747733,0.0002942862544024225,-4.3302218515924964e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0014860766139024636,0.000297215191505078,-4.416845453922386e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0015008670728272893,0.00030017327933127376,-4.505201910908971e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.001515804736595498,0.00030316080800676476,-4.595325887267724e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0015308910702911734,0.00030617807054476745,-4.6872527411596537e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0015461275535799215,0.00030922536287469437,-4.781018538063147e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0015615156808540017,0.00031230298387117716,-4.876660064923375e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0015770569613788954,0.0003154112353833762,-4.974214844584708e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0015927529194413332,0.0003185504222645831,-5.073721150511842e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0016086050944988026,0.000321720852402119,-5.175218021805459e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0016246150413305287,0.00032492283674752614,-5.27874527851815e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0016407843301899728,0.00032815668934706453,-5.384343537276822e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0016571145469588405,0.000331422727372509,-5.492054227217586e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.001673607293302625,0.00033472127115225485,-5.601919606239392e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0016902641868277027,0.0003380526442027315,-5.713982777582847e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0017070868612399789,0.00034141717326012847,-5.828287706740588e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0017240769665051283,0.0003448151883124384,-5.944879238706033e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.001741236169010421,0.0003482470226318181,-6.063803115567124e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0017585661517281626,0.00035171301280727165,-6.185105994452017e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.001776068614380757,0.0003552134987776581,-6.308835465833759e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0017937452736074223,0.0003587488238650302,-6.435040072201195e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.001811597863132549,0.0003623193348083001,-6.56376932710323e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0018296281339357492,0.0003659253817972446,-6.695073734574194e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.001847837854423591,0.00036956731850684634,-6.829004808947708e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.001866228810603042,0.00037324550213197697,-6.965615095066946e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0018848028062566488,0.0003769602934224271,-7.104958188899203e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0019035616631194383,0.00038071205671828107,-7.247088758562729e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0019225072210576032,0.0003845011599856474,-7.392062565774318e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0019416413382489525,0.00038832797485274307,-7.539936487725857e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.001960965891365162,0.0003921928766463367,-7.690768539398508e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0019804827757558354,0.00039609624442855457,-7.844617896323256e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.002000193905634408,0.00040003846103405405,-8.001544917796826e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0020201012142658827,0.00040401991310756377,-8.16161117056186e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0020402066541564475,0.00040804099114180044,-8.324879452960935e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.00206051219724498,0.00041210208951576103,-8.491413819573682e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0020810198350964502,0.00041620360653339694,-8.661279606346776e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0021017315790972627,0.00042034594446267314,-8.834543456226644e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.002122649460652518,0.0004245295095750136,-9.011273345304805e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0021437755313852653,0.0004287547121851417,-9.191538609486385e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.002165111863337718,0.0004330219666913166,-9.375409971691998e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0021866605491744824,0.000437331691615968,-9.562959569603778e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0022084237023878095,0.00044168430964673883,-9.754260983966545e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.002230403457504878,0.00044608024767793113,-9.9493892674549e-07,independent_steady_state_formula
locus,not_applicable,0.1,0.0022526019702971533,0.00045051993685236904,-1.0148420974117956e-06,independent_steady_state_formula
locus,not_applicable,0.1,0.0022750214179918255,0.0004550038126036753,-1.0351434189413003e-06,independent_steady_state_formula
locus,not_applicable,0.1,0.0022976639994853497,0.00045953231469896975,-1.0558508560839951e-06,independent_steady_state_formula
locus,not_applicable,0.1,0.002320531935559112,0.00046410588728199113,-1.076972532918858e-06,independent_steady_state_formula
locus,not_applicable,0.1,0.0023436274690972546,0.00046872497891665136,-1.0985167360410956e-06,independent_steady_state_formula
locus,not_applicable,0.1,0.00236695286530664,0.0004733900426310169,-1.1204919178131179e-06,independent_steady_state_formula
locus,not_applicable,0.1,0.002390510411939033,0.0004781015359617335,-1.142906699680568e-06,independent_steady_state_formula
locus,not_applicable,0.1,0.0024143024195154832,0.0004828599209988904,-1.1657698755546764e-06,independent_steady_state_formula
locus,not_applicable,0.1,0.0024383312215529363,0.0004876656644313303,-1.18909041526227e-06,independent_steady_state_formula
locus,not_applicable,0.1,0.0024625991747931064,0.000492519237592411,-1.2128774680648013e-06,independent_steady_state_formula
locus,not_applicable,0.1,0.0024871086594336323,0.000497421116506223,-1.2371403662477729e-06,independent_steady_state_formula
locus,not_applicable,0.1,0.0025118620793615136,0.0005023717819342637,-1.2618886287819484e-06,independent_steady_state_formula
locus,not_applicable,0.1,0.0025368618623888926,0.0005073717194225797,-1.2871319650578205e-06,independent_steady_state_formula
locus,not_applicable,0.1,0.0025621104604911724,0.0005124214193493754,-1.3128802786947682e-06,independent_steady_state_formula
locus,not_applicable,0.1,0.002587610350047502,0.0005175213769730956,-1.339143671426417e-06,independent_steady_state_formula
locus,not_applicable,0.1,0.002613364032083671,0.0005226720924809888,-1.3659324470637263e-06,independent_steady_state_formula
locus,not_applicable,0.1,0.0026393740325173958,0.0005278740710381488,-1.3932571155373332e-06,independent_steady_state_formula
locus,not_applicable,0.1,0.0026656429024060663,0.0005331278228370483,-1.4211283970207765e-06,independent_steady_state_formula
locus,not_applicable,0.1,0.0026921732181969574,0.000538433863147563,-1.4495572261361948e-06,independent_steady_state_formula
locus,not_applicable,0.1,0.0027189675819799183,0.0005437927123674935,-1.4785547562441453e-06,independent_steady_state_formula
locus,not_applicable,0.1,0.0027460286217426007,0.0005492048960735929,-1.5081323638192566e-06,independent_steady_state_formula
locus,not_applicable,0.1,0.002773358991628191,0.0005546709450730941,-1.538301652913372e-06,independent_steady_state_formula
locus,not_applicable,0.1,0.0028009613721957415,0.000560191395455758,-1.569074459708007e-06,independent_steady_state_formula
locus,not_applicable,0.1,0.002828838470683077,0.0005657667886464351,-1.600462857157857e-06,independent_steady_state_formula
locus,not_applicable,0.1,0.002856993021272315,0.0005713976714581498,-1.6324791597271847e-06,independent_steady_state_formula
locus,not_applicable,0.1,0.0028854277853580484,0.000577084596145715,-1.665135928220974e-06,independent_steady_state_formula
locus,not_applicable,0.1,0.002914145551818163,0.0005828281204598762,-1.6984459747126889e-06,independent_steady_state_formula
locus,not_applicable,0.1,0.0029431491372873837,0.0005886288077019974,-1.7324223675706351e-06,independent_steady_state_formula
locus,not_applicable,0.1,0.0029724413864335255,0.0005944872267792896,-1.767078436584853e-06,independent_steady_state_formula
locus,not_applicable,0.1,0.003002025172236498,0.0006004039522605874,-1.8024277781965638e-06,independent_steady_state_formula
locus,not_applicable,0.1,0.0030319033962700878,0.0006063795644326828,-1.8384842608322274e-06,independent_steady_state_formula
locus,not_applicable,0.1,0.0030620789889865417,0.0006124146493572159,-1.8752620303442911e-06,independent_steady_state_formula
locus,not_applicable,0.1,0.003092554910003996,0.0006185097989281368,-1.9127755155607938e-06,independent_steady_state_formula
locus,not_applicable,0.1,0.003123334148396738,0.0006246656109297298,-1.9510394339459357e-06,independent_steady_state_formula
locus,not_applicable,0.1,0.003154419722988385,0.0006308826890952242,-1.9900687973739244e-06,independent_steady_state_formula
locus,not_applicable,0.1,0.0031858146826479698,0.0006371616431659818,-2.029878918018291e-06,independent_steady_state_formula
locus,not_applicable,0.1,0.0032175221065889664,0.0006435030889512749,-2.070485414359013e-06,independent_steady_state_formula
locus,not_applicable,0.1,0.003249545104671316,0.0006499076483886609,-2.1119042173098205e-06,independent_steady_state_formula
locus,not_applicable,0.1,0.003281886817706418,0.0006563759496049513,-2.154151576468022e-06,independent_steady_state_formula
locus,not_applicable,0.1,0.0033145504177651964,0.0006629086269777917,-2.1972440664893922e-06,independent_steady_state_formula
locus,not_applicable,0.1,0.0033475391084892116,0.000669506321197854,-2.2411985935905557e-06,independent_steady_state_formula
locus,not_applicable,0.1,0.00338085612540487,0.000676169679331644,-2.2860324021814355e-06,independent_steady_state_formula
