alpha,gamma_prime,y,z,provenance
0.21,0.1,0.041824337781318464,-0.004182433778131847,independent_analytic_formula
0.21,0.1008869633083624,0.042192160052919404,-0.004256638903159434,independent_analytic_formula
0.21,0.10178179365582861,0.042563160849008,-0.004332154854873575,independent_analytic_formula
0.21,0.10268456082014894,0.04293736613073444,-0.0044090045839084045,independent_analytic_formula
0.21,0.10359533519797676,0.04331480203059366,-0.004487211435393355,independent_analytic_formula
0.21,0.10451418781035784,0.04369549485240692,-0.004566799155470981,independent_analytic_formula
0.21,0.10544119030826869,0.04407947107126399,-0.0046477918979129715,independent_analytic_formula
0.21,0.1063764149782036,0.044466757333424346,-0.004730214230835427,independent_analytic_formula
0.21,0.1073199347478116,0.04485738045617623,-0.004814091143514591,independent_analytic_formula
0.21,0.10827182319158316,0.04525136742765217,-0.004899448053304121,independent_analytic_formula
0.21,0.10923215453658751,0.04564874540659949,-0.004986310812655015,independent_analytic_formula
0.21,0.11020100366826074,0.046049541722104244,-0.005074705716239336,independent_analytic_formula
0.21,0.11117844613624535,0.04645378387326736,-0.005164659508178838,independent_analytic_formula
0.21,0.1121645581602813,0.04686149952883107,-0.005256199389379566,independent_analytic_formula
0.21,0.1131594166361498,0.04727271652675444,-0.005349353024973609,independent_analytic_formula
0.21,0.11416309914166939,0.04768746287373616,-0.0054441485518690194,independent_analytic_formula
0.21,0.11517568394274538,0.04810576674468288,-0.0055406145864090265,independent_analytic_formula
0.21,0.11619724999947298,0.048527656482121616,-0.005638780232141632,independent_analytic_formula
0.21,0.11722787697229443,0.048953160595554386,-0.005738675087700622,independent_analytic_formula
0.21,0.1182676452282109,0.04938230776075312,-0.005840329254799075,independent_analytic_formula
0.21,0.11931663584704937,0.0498151268189934,-0.005943773346336418,independent_analytic_formula
0.21,0.12037493062778508,0.05025164677622476,-0.006049038494620016,independent_analytic_formula
0.21,0.12144261209492023,0.05069189680217596,-0.006156156359702381,independent_analytic_formula
0.21,0.12251976350491904,0.051135906229392944,-0.006265159137834941,independent_analytic_formula
0.21,0.12360646885270006,0.05158370455220793,-0.006376079570039371,independent_analytic_formula
0.21,0.12470281287818591,0.052035321425637014,-0.00648895095079747,independent_analytic_formula
0.21,0.12580888107291127,0.05249078666420465,-0.006603807136860479,independent_analytic_formula
0.21,0.1269247596866893,0.05295013024069262,-0.006720682556178809,independent_analytic_formula
0.21,0.12805053573433736,0.053413382284811385,-0.006839612216953062,independent_analytic_formula
0.21,0.12918629700246242,0.05388057308179149,-0.006960631716807197,independent_analytic_formula
0.21,0.13033213205630634,0.05435173307089267,-0.007083777252084697,independent_analytic_formula
0.21,0.1314881302466522,0.05482689284382855,-0.007209085627268573,independent_analytic_formula
0.21,0.13265438171679175,0.05530608314310412,-0.007336594264525956,independent_analytic_formula
0.21,0.1338309774095547,0.05578933486026393,-0.007466341213378065,independent_analytic_formula
0.21,0.13501800907440023,0.056276679034048094,-0.007598365160496215,independent_analytic_formula
0.21,0.1362155692745716,0.056768146848453827,-0.007732705439624615,independent_analytic_formula
0.21,0.13742375139431404,0.05726376963069969,-0.007869402041630546,independent_analytic_formula
0.21,0.13864264964615675,0.05776357884908987,-0.008008495624682518,independent_analytic_formula
0.21,0.1398723590782596,0.05826760611077576,-0.008150027524557022,independent_analytic_formula
0.21,0.14111297558182467,0.05877588315941205,-0.008294039765074293,independent_analytic_formula
0.21,0.14236459589857384,0.05928844187270422,-0.00844057506866362,independent_analytic_formula
0.21,0.14362731762829262,0.05980531425984494,-0.008589676867058608,independent_analytic_formula
0.21,0.1449012392364407,0.060326532458835694,-0.008741389312122655,independent_analytic_formula
0.21,0.14618646006183034,0.060852128733691294,-0.00889575728680512,independent_analytic_formula
0.21,0.14748308032437263,0.06138213547152348,-0.009052826416228218,independent_analytic_formula
0.21,0.14879120113289246,0.06191658517950089,-0.009212643078904985,independent_analytic_formula
0.21,0.15011092449301291,0.06245551048168173,-0.009375254418088301,independent_analytic_formula
0.21,0.15144235331510952,0.06299894411571602,-0.009540708353251106,independent_analytic_formula
0.21,0.1527855914223351,0.0635469189294141,-0.009709053591697716,independent_analytic_formula
0.21,0.1541407435587157,0.06409946787717744,-0.009880339640306143,independent_analytic_formula
0.21,0.15550791539731854,0.06465662401628877,-0.010054616817401269,independent_analytic_formula
0.21,0.156887213548492,0.06521842050305747,-0.010231936264758525,independent_analytic_formula
0.21,0.15827874556817928,0.06578489058881674,-0.010412349959737836,independent_analytic_formula
0.21,0.1596826199663053,0.06635606761576862,-0.01059591072754724,independent_analytic_formula
