sample_id,p_phi_plus,p_phi_minus,p_psi_plus,p_psi_minus,concurrence,ensemble_average_concurrence,ensemble_average_entanglement,reconstruction_error,concurrence_gap,entanglement_gap
named_positive_degenerate,0.55,0.25,0.1,0.1,0.09999999999999998,0.10000000000000012,0.025266127727119964,1.696217269624802e-16,1.3877787807814457e-16,3.434752482434078e-16
simplex_0_0_0_12,0.0,0.0,0.0,1.0,0.9999999999999996,0.9999999999999996,0.9999999999999996,2.220446049250313e-16,0.0,2.220446049250313e-16
simplex_0_0_1_11,0.0,0.0,0.08333333333333333,0.9166666666666666,0.8333333333333329,0.8333333333333328,0.7667129495593813,2.0014830212433605e-16,1.1102230246251565e-16,1.1102230246251565e-16
simplex_0_0_2_10,0.0,0.0,0.16666666666666666,0.8333333333333334,0.6666666666666665,0.6666666666666663,0.5500477595827571,2.9373740229761033e-16,2.220446049250313e-16,2.220446049250313e-16
simplex_0_0_3_9,0.0,0.0,0.25,0.75,0.4999999999999996,0.49999999999999956,0.3545789026652696,2.633125101432526e-16,5.551115123125783e-17,5.551115123125783e-17
simplex_0_0_4_8,0.0,0.0,0.3333333333333333,0.6666666666666666,0.33333333333333304,0.3333333333333331,0.18729859856877246,1.7109685898544713e-16,5.551115123125783e-17,5.551115123125783e-16
simplex_0_0_5_7,0.0,0.0,0.4166666666666667,0.5833333333333334,0.16666666666666674,0.1666666666666667,0.06012491134902926,1.5823112613210482e-16,2.7755575615628914e-17,6.938893903907228e-17
simplex_0_0_6_6,0.0,0.0,0.5,0.5,0.0,3.592757177872428e-16,0.0,4.710277376051325e-16,3.592757177872428e-16,0.0
simplex_0_0_7_5,0.0,0.0,0.5833333333333334,0.4166666666666667,0.16666666666666674,0.1666666666666667,0.06012491134902926,1.5823112613210482e-16,2.7755575615628914e-17,6.938893903907228e-17
simplex_0_0_8_4,0.0,0.0,0.6666666666666666,0.3333333333333333,0.33333333333333304,0.3333333333333331,0.18729859856877246,1.7109685898544713e-16,5.551115123125783e-17,5.551115123125783e-16
simplex_0_0_9_3,0.0,0.0,0.75,0.25,0.4999999999999996,0.49999999999999956,0.3545789026652696,2.633125101432526e-16,5.551115123125783e-17,5.551115123125783e-17
simplex_0_0_10_2,0.0,0.0,0.8333333333333334,0.16666666666666666,0.6666666666666665,0.6666666666666663,0.5500477595827571,2.9373740229761033e-16,2.220446049250313e-16,2.220446049250313e-16
simplex_0_0_11_1,0.0,0.0,0.9166666666666666,0.08333333333333333,0.8333333333333329,0.8333333333333328,0.7667129495593813,2.0014830212433605e-16,1.1102230246251565e-16,1.1102230246251565e-16
simplex_0_0_12_0,0.0,0.0,1.0,0.0,0.9999999999999996,0.9999999999999996,0.9999999999999996,2.220446049250313e-16,0.0,2.220446049250313e-16
simplex_0_1_0_11,0.0,0.08333333333333333,0.0,0.9166666666666666,0.833333333333334,0.833333333333334,0.7667129495593825,9.433098375349861e-16,0.0,2.220446049250313e-16
simplex_0_1_1_10,0.0,0.08333333333333333,0.08333333333333333,0.8333333333333334,0.6666666666666665,0.6666666666666665,0.5500477595827573,1.2845921221036946e-16,0.0,0.0
simplex_0_1_2_9,0.0,0.08333333333333333,0.16666666666666666,0.75,0.4999999999999999,0.49999999999999983,0.3545789026652698,1.806558622793095e-16,5.551115123125783e-17,2.7755575615628914e-16
simplex_0_1_3_8,0.0,0.08333333333333333,0.25,0.6666666666666666,0.33333333333333376,0.3333333333333339,0.1872985985687728,8.788831969714693e-16,1.6653345369377348e-16,2.498001805406602e-16
simplex_0_1_4_7,0.0,0.08333333333333333,0.3333333333333333,0.5833333333333334,0.1666666666666663,0.16666666666666655,0.060124911349029,2.0338795115954907e-16,2.498001805406602e-16,1.8735013540549517e-16
