p,numeric_concurrence,analytic_concurrence,entanglement
0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.0
0.02,0.0,0.0,0.0
0.03,0.0,0.0,0.0
0.04,0.0,0.0,0.0
0.05,0.0,0.0,0.0
0.06,0.0,0.0,0.0
0.07,0.0,0.0,0.0
0.08,0.0,0.0,0.0
0.09,0.0,0.0,0.0
0.1,0.0,0.0,0.0
0.11,0.0,0.0,0.0
0.12,0.0,0.0,0.0
0.13,0.0,0.0,0.0
0.14,0.0,0.0,0.0
0.15,0.0,0.0,0.0
0.16,0.0,0.0,0.0
0.17,0.0,0.0,0.0
0.18,0.0,0.0,0.0
0.19,0.0,0.0,0.0
0.2,0.0,0.0,0.0
0.21,0.0,0.0,0.0
0.22,0.0,0.0,0.0
0.23,0.0,0.0,0.0
0.24,0.0,0.0,0.0
0.25,0.0,0.0,0.0
0.26,0.0,0.0,0.0
0.27,0.0,0.0,0.0
0.28,0.0,0.0,0.0
0.29,0.0,0.0,0.0
0.3,0.0,0.0,0.0
0.31,0.0,0.0,0.0
0.32,0.0,0.0,0.0
0.33,0.0,0.0,0.0
0.34,0.009999999999999898,0.010000000000000009,0.00041826928992995627
0.35000000000000003,0.0249999999999998,0.025000000000000022,0.0022013147939888037
0.36,0.0399999999999997,0.040000000000000036,0.005093854878756078
0.37,0.05500000000000016,0.05499999999999994,0.008938005774326577
0.38,0.06999999999999973,0.07000000000000006,0.013630193844558963
0.39,0.08499999999999985,0.08499999999999996,0.019093309931810812
0.4,0.09999999999999981,0.10000000000000009,0.025266127727120308
0.41000000000000003,0.11499999999999966,0.11499999999999999,0.032098063962573364
0.42,0.12999999999999973,0.13,0.03954618284093067
0.43,0.14500000000000002,0.14500000000000002,0.04757331664031046
0.44,0.15999999999999992,0.16000000000000003,0.05614680644611817
0.45,0.17499999999999982,0.17500000000000004,0.06523761583199905
0.46,0.18999999999999972,0.19000000000000006,0.07481968268367219
0.47000000000000003,0.20499999999999974,0.20500000000000007,0.08486943041112124
0.48,0.2199999999999997,0.21999999999999997,0.09536538997045026
0.49,0.23499999999999988,0.235,0.10628790137765576
0.5,0.24999999999999972,0.25,0.11761887377091781
0.51,0.26499999999999957,0.265,0.1293415895757489
0.52,0.27999999999999986,0.28,0.14144054254182076
0.53,0.295,0.29500000000000004,0.15390130223701007
0.54,0.30999999999999983,0.31000000000000005,0.16671039951657737
0.55,0.32499999999999984,0.32500000000000007,0.17985522884163307
0.56,0.3399999999999998,0.3400000000000001,0.19332396429252938
0.5700000000000001,0.3550000000000001,0.3550000000000001,0.20710548683123978
0.58,0.36999999999999966,0.3699999999999999,0.2211893208919082
0.59,0.3849999999999997,0.385,0.2355655787737004
0.6,0.3999999999999998,0.3999999999999999,0.2502249116110703
0.61,0.4149999999999998,0.41500000000000004,0.26515846592876835
0.62,0.4299999999999998,0.42999999999999994,0.2803578449700312
0.63,0.44499999999999984,0.44500000000000006,0.29581507412908353
0.64,0.45999999999999963,0.45999999999999996,0.31152256993260274
0.65,0.475,0.4750000000000001,0.3274731121058563
0.66,0.4899999999999998,0.49,0.3436598183328565
0.67,0.5049999999999999,0.5050000000000001,0.36007612137991063
0.68,0.5199999999999998,0.52,0.37671574830114885
0.6900000000000001,0.5349999999999999,0.5350000000000001,0.39357270148530576
0.7000000000000001,0.5499999999999996,0.55,0.41064124133679064
0.71,0.5649999999999997,0.565,0.4279158704123489
0.72,0.5799999999999998,0.5800000000000001,0.44539131885828903
0.73,0.5949999999999998,0.595,0.46306253101334216
0.74,0.6099999999999999,0.6099999999999999,0.48092465305916093
0.75,0.6249999999999996,0.625,0.498973021614978
0.76,0.6399999999999999,0.6400000000000001,0.5172031531853475
0.77,0.6549999999999998,0.655,0.5356107343805181
0.78,0.6699999999999996,0.6699999999999999,0.5541916128382192
0.79,0.6849999999999996,0.685,0.5729417887835586
0.8,0.6999999999999997,0.7000000000000002,0.5918574071706767
0.81,0.7149999999999997,0.7150000000000001,0.6109347503558162
0.8200000000000001,0.7299999999999995,0.73,0.6301702312567348
0.8300000000000001,0.7449999999999998,0.7450000000000001,0.6495603869580187
0.84,0.7599999999999996,0.76,0.6691018727259157
0.85,0.7749999999999996,0.7749999999999999,0.6887914563998953
0.86,0.7899999999999994,0.79,0.7086260131313116
0.87,0.8049999999999997,0.8049999999999999,0.7286025204423625
0.88,0.8199999999999994,0.8200000000000001,0.7487180535810252
0.89,0.8349999999999997,0.835,0.7689697811498911
0.9,0.8499999999999996,0.8500000000000001,0.789354960988784
0.91,0.8649999999999998,0.865,0.8098709362928547
0.92,0.8799999999999996,0.8800000000000001,0.8305151319494011
0.93,0.8949999999999995,0.895,0.8512850510781308
0.9400000000000001,0.9099999999999997,0.9100000000000001,0.8721782717608357
0.9500000000000001,0.9249999999999997,0.925,0.8931924439476309
0.96,0.9399999999999995,0.94,0.9143252865279565
0.97,0.9549999999999997,0.9550000000000001,0.9355745845554735
0.98,0.9699999999999996,0.97,0.9569381866168567
0.99,0.9849999999999991,0.9849999999999999,0.978414002335269
1.0,0.9999999999999996,1.0,0.9999999999999993
