sample,concurrence,entanglement,best_random_decomposition_average_concurrence,lower_bound_gap
0,0.23372451075550738,0.105342997317934,0.43886210645114865,0.20513759569564127
1,0.03873876001892124,0.004812287643839248,0.3900080954457278,0.35126933542680655
2,0.040216483097356426,0.005142859631683197,0.285023300959756,0.24480681786239955
3,0.0,0.0,0.23170790017619977,0.23170790017619977
4,0.0,0.0,0.3534068010766923,0.3534068010766923
5,0.07358047975843446,0.014866694856865611,0.24054300640298595,0.1669625266445515
6,0.11860597073777596,0.033833805549863295,0.4047722526359106,0.28616628189813464
7,0.36550308527277464,0.21693593622365853,0.5302708059447184,0.16476772067194378
8,0.050499691738786046,0.007691570887355242,0.3977205152361245,0.34722082349733846
9,0.005018879656639774,0.00011788295116405253,0.3593880438231084,0.35436916416646863
10,0.3531917032701397,0.2054278540691774,0.512593462580843,0.15940175931070333
11,0.3438283509037396,0.19681203054500426,0.501256527273011,0.15742817636927137
12,0.0,0.0,0.2905550351935002,0.2905550351935002
13,0.0,0.0,0.241243014742502,0.241243014742502
14,0.12212468304109131,0.03556132959888805,0.3931400809167033,0.271015397875612
15,0.11723134139890307,0.0331679627849382,0.250726906997831,0.13349556559892795
16,0.0,0.0,0.3255812381442438,0.3255812381442438
17,0.057995742891204516,0.009810094543869864,0.4424941379592719,0.3844983950680674
18,0.06313280367236768,0.011382170491879551,0.37256404008655974,0.30943123641419207
19,0.09313908747419974,0.02235808085286212,0.2817559008758279,0.18861681340162817
20,0.0,0.0,0.2942276314077159,0.2942276314077159
21,0.01967651663976211,0.0014304479323225389,0.4247889510833046,0.4051124344435425
22,0.093064295531335,0.022327155623502678,0.43568115723525996,0.34261686170392497
23,0.21353709676318905,0.09078968784737723,0.40604599245663436,0.19250889569344531
24,0.11184029597630746,0.030606365869478614,0.25596217647917213,0.14412188050286467
25,0.0,0.0,0.24609838858379526,0.24609838858379526
26,0.17508789500692845,0.0652923568368086,0.4573203929746132,0.28223249796768474
27,0.34334121389368694,0.19636706795995973,0.5637228469890871,0.2203816330954002
28,0.232869457123124,0.10471121753111678,0.2956597894798314,0.06279033235670739
29,0.0,0.0,0.3948256012044484,0.3948256012044484
