gamma,m,chern,in_strip,analytic_lower,analytic_upper
0.025,1.3,1,False,1.975320460156558,2.0253048327204937
0.025,1.325,1,False,1.975320460156558,2.0253048327204937
0.025,1.35,1,False,1.975320460156558,2.0253048327204937
0.025,1.375,1,False,1.975320460156558,2.0253048327204937
0.025,1.4000000000000001,1,False,1.975320460156558,2.0253048327204937
0.025,1.425,1,False,1.975320460156558,2.0253048327204937
0.025,1.4500000000000002,1,False,1.975320460156558,2.0253048327204937
0.025,1.475,1,False,1.975320460156558,2.0253048327204937
0.025,1.5,1,False,1.975320460156558,2.0253048327204937
0.025,1.5250000000000001,1,False,1.975320460156558,2.0253048327204937
0.025,1.55,1,False,1.975320460156558,2.0253048327204937
0.025,1.5750000000000002,1,False,1.975320460156558,2.0253048327204937
0.025,1.6,1,False,1.975320460156558,2.0253048327204937
0.025,1.625,1,False,1.975320460156558,2.0253048327204937
0.025,1.6500000000000001,1,False,1.975320460156558,2.0253048327204937
0.025,1.675,1,False,1.975320460156558,2.0253048327204937
0.025,1.7000000000000002,1,False,1.975320460156558,2.0253048327204937
0.025,1.725,1,False,1.975320460156558,2.0253048327204937
0.025,1.75,1,False,1.975320460156558,2.0253048327204937
0.025,1.7750000000000001,1,False,1.975320460156558,2.0253048327204937
0.025,1.8,1,False,1.975320460156558,2.0253048327204937
0.025,1.8250000000000002,1,False,1.975320460156558,2.0253048327204937
0.025,1.85,1,False,1.975320460156558,2.0253048327204937
0.025,1.875,1,False,1.975320460156558,2.0253048327204937
0.025,1.9000000000000001,1,False,1.975320460156558,2.0253048327204937
0.025,1.925,1,False,1.975320460156558,2.0253048327204937
0.025,1.9500000000000002,1,False,1.975320460156558,2.0253048327204937
0.025,1.975,1,True,1.975320460156558,2.0253048327204937
0.025,2.0,0,True,1.975320460156558,2.0253048327204937
0.025,2.0250000000000004,0,True,1.975320460156558,2.0253048327204937
0.025,2.05,0,True,1.975320460156558,2.0253048327204937
0.025,2.075,0,False,1.975320460156558,2.0253048327204937
