geometry,gamma,m,intercept,slope
square,0.05,1.9425000000000003,-0.0020318615301578415,4.655314902558202
square,0.05,1.9625000000000004,-0.0016372230596749708,5.261491664810436
square,0.05,1.9825000000000004,-0.0009156472863897577,5.899130741153666
square,0.05,2.0025000000000004,0.0002113495806639453,6.557453965420481
square,0.05,2.0225000000000004,0.0018169294478558567,7.226379252177465
square,0.05,2.0425000000000004,0.00396566249302056,7.897333424678543
square,0.05,2.0625000000000004,0.006712109379851226,8.56360492971743
square,0.05,2.0825000000000005,0.010100878610121211,9.220330546252832
square,0.05,2.1025000000000005,0.014167584448947428,9.864265366162565
square,0.05,2.1225000000000005,0.018940199555108908,10.493466353908074
square,0.05,2.1425000000000005,0.024440463771387082,11.106974062837867
square,0.05,2.1625000000000005,0.030685167843091474,11.704534958793133
square,0.05,2.1825000000000006,0.03768724000376529,12.286378486668811
square,0.05,2.2025000000000006,0.0454566257918686,12.853047654106522
square,0.05,2.2225000000000006,0.054000981111721275,13.405275321179753
square,0.05,2.2425000000000006,0.06332620896951283,13.94389671478375
square,0.1,1.9499999999999997,-0.0020349899910189536,4.666265469205307
square,0.1,1.9699999999999998,-0.0016421358317540843,5.276406021067783
square,0.1,1.9899999999999998,-0.0009188990602472446,5.918563591810335
square,0.1,2.01,0.00021496644130164673,6.581659989599223
square,0.1,2.03,0.0018341190366432062,7.255346333382702
square,0.1,2.05,0.00400423057892561,7.930851355873133
square,0.1,2.07,0.006780551622404694,8.60134143064949
square,0.1,2.09,0.010208024305628043,9.261896269443072
square,0.1,2.11,0.014322324526133755,9.909260853448806
square,0.1,2.13,0.019151297851361673,10.54151143855658
square,0.1,2.15,0.02471643687765298,11.157723508528195
square,0.1,2.17,0.031034215715653818,11.757684668766151
square,0.1,2.19,0.038117211571761775,12.341665914671022
square,0.1,2.21,0.04597500740498301,12.910249034623114
square,0.1,2.23,0.054614899175875496,13.464201428727382
square,0.1,2.25,0.06404244092202517,14.004388182960152
square,0.15,1.9625,-0.002039237543878477,4.686129647030514
square,0.15,1.9825,-0.0016486374334539885,5.303046541112541
square,0.15,2.0025,-0.0009215887082545801,5.952895463729709
square,0.15,2.0225,0.00022517333407630694,6.624078955044187
square,0.15,2.0425,0.0018688404667856293,7.305791716838794
square,0.15,2.0625,0.004076915286410835,7.988929495011649
square,0.15,2.0825,0.006905758763779236,8.666459251919845
square,0.15,2.1025,0.010400810653927926,9.333373290558384
square,0.15,2.1225,0.014597784939716224,9.98640836984447
square,0.15,2.1425,0.01952425298750369,10.62368077608669
square,0.15,2.1625,0.0252012395687871,11.244330601863908
square,0.15,2.1825,0.03164464352789977,11.848218794657834
square,0.15,2.2025,0.0388664176491709,12.43568893927934
square,0.15,2.2225,0.046875508573763124,13.007389646765812
square,0.15,2.2425,0.055678586624215716,13.564147212524453
square,0.15,2.2625,0.06528060370431295,14.106877206273289
square,0.2,1.98,-0.0020432581304243745,4.7173720158175305
square,0.2,2.0,-0.001654260200905042,5.3441565604904495
square,0.2,2.02,-0.000919584332160185,6.00512729319149
square,0.2,2.04,0.0002484342845083011,6.687917225664979
square,0.2,2.06,0.0019306088410049396,7.381057738053996
square,0.2,2.08,0.004196978472596065,8.074974573573357
square,0.2,2.1,0.007105358779708898,8.762366724276191
square,0.2,2.12,0.010701748136206519,9.438122689982043
square,0.2,2.14,0.015021766471122938,10.098987527854453
square,0.2,2.16,0.020092462464034667,10.74315109028701
square,0.2,2.18,0.025934084268784713,11.369857778111392
square,0.2,2.2,0.03256162329743766,11.979081327422348
square,0.2,2.22,0.03998607484200538,12.571273842075835
square,0.2,2.24,0.04821542787215337,13.147181873643339
square,0.2,2.2600000000000002,0.05725542379902367,13.707716731179776
square,0.2,2.2800000000000002,0.0671101297929093,14.253865952383604
square,0.25,2.0025,-0.0020453366621400832,4.763545224496982
square,0.25,2.0225,-0.0016556161738111898,5.403728228051878
square,0.25,2.0425,-0.000906939678024821,6.079644918985429
square,0.25,2.0625,0.0002943182323076176,6.777860841481831
square,0.25,2.0825,0.0020337300621639607,7.486014603109298
square,0.25,2.1025,0.004384508323404351,8.193927351550165
square,0.25,2.1225,0.007406121968375178,8.893980074827878
square,0.25,2.1425,0.011145012218298963,9.580965749606685
square,0.25,2.1625,0.015636397305872997,10.251678135801402
square,0.25,2.1825,0.02090639807639968,10.904433901528956
square,0.25,2.2025,0.026974045920967547,11.538636135362102
square,0.25,2.2225,0.03385298667904033,12.154420906601484
square,0.25,2.2425,0.04155284161697831,12.752391219139696
square,0.25,2.2625,0.05008025595437987,13.333426461312083
square,0.25,2.2825,0.05943968925049356,13.898551006281108
square,0.25,2.3025,0.0696340035433067,14.4488465636424
square,0.3,2.03,-0.002043471350783455,4.829426919625952
square,0.3,2.05,-0.001648323420566809,5.4871923934288835
square,0.3,2.07,-0.0008755076197838312,6.182439092354002
square,0.3,2.09,0.0003763491014401252,6.9002994108672455
square,0.3,2.11,0.00219872692625297,7.627266493215463
square,0.3,2.13,0.004668481949570461,8.3524376980806
square,0.3,2.15,0.00784667205099678,9.067862422265991
square,0.3,2.17,0.011779778791963041,9.768287628088752
square,0.3,2.19,0.016502046071423096,10.450632542423161
square,0.3,2.21,0.02203803828816134,11.113421770363813
square,0.3,2.23,0.02840495156554359,11.75629083448374
square,0.3,2.25,0.03561451045430667,12.379600057106085
square,0.3,2.27,0.043674441850789926,12.984152941933571
square,0.3,2.29,0.052589583992159655,13.57100029333563
square,0.3,2.31,0.062362704995945956,14.141308995085955
square,0.3,2.33,0.07299510027784589,14.696277131414881
square,0.35,2.0624999999999996,-0.002035355918141665,4.921259226126821
square,0.35,2.0824999999999996,-0.0016266820064919042,5.601729355020817
square,0.35,2.1024999999999996,-0.0008140554613142257,6.321445438606531
