branch,source_x,source_y,generated_x,generated_y,distance
lower_chiral_edge,-0.7877964548177486,-0.1992056844892335,-0.7700387674475344,-0.19896256539347731,0.01775935155440611
lower_chiral_edge,-0.7622087281972377,-0.19974554394893193,-0.7453479218555947,-0.1994088408074638,0.0168641679159057
lower_chiral_edge,-0.7363918577562452,-0.2001205613612065,-0.7203973331178996,-0.19970640291664127,0.015999885800337746
lower_chiral_edge,-0.7102258157792793,-0.20034807005330874,-0.6950848343785473,-0.1998772915481871,0.015148298590211332
lower_chiral_edge,-0.68360148616135,-0.20046217527642973,-0.6692722453648641,-0.19995767372486187,0.01433811924972066
lower_chiral_edge,-0.6563442831344687,-0.20050736824302867,-0.6428269372136022,-0.19998776419443862,0.01352732897181397
lower_chiral_edge,-0.6283341789831465,-0.20052154367665131,-0.6156710383473705,-0.19999689346383695,0.012674004442450211
lower_chiral_edge,-0.5995602620968842,-0.20052519279817793,-0.587787400060977,-0.1999992692022667,0.011784603351205403
lower_chiral_edge,-0.5700116208651813,-0.20052603490314563,-0.5591933685257607,-0.19999983366933832,0.010831042028255595
lower_chiral_edge,-0.5397428133405348,-0.2005263156048015,-0.529919364352042,-0.19999996221355873,0.009837540237376003
lower_chiral_edge,-0.5087756627439421,-0.2005263156048015,-0.5000000219146934,-0.1999999912341215,0.008791409972646564
lower_chiral_edge,-0.4771538155174005,-0.2005263156048015,-0.46947156774790194,-0.19999999788612904,0.00770025591347158
lower_chiral_edge,-0.4449209181029072,-0.2005263156048015,-0.4383711479678445,-0.19999999946220673,0.006570882551386458
lower_chiral_edge,-0.41212061694245766,-0.2005263156048015,-0.4067366433731779,-0.19999999985377487,0.005409637664805467
lower_chiral_edge,-0.3787747352570499,-0.2005263156048015,-0.3746065934964346,-0.19999999995701181,0.004201239566805676
lower_chiral_edge,-0.34497056593067865,-0.2005263156048015,-0.34202014334928876,-0.19999999998618884,0.0029969987552835257
lower_chiral_edge,-0.3107081089633427,-0.2005263156048015,-0.3090169943825141,-0.19999999999510348,0.001771122990224814
lower_chiral_edge,-0.27605283401803665,-0.2005263156048015,-0.2756373558196619,-0.1999999999980678,0.0006705447421434043
lower_chiral_edge,-0.24104838753675858,-0.2005263156048015,-0.2419218956007013,-0.19999999999914483,0.0010198158924681832
lower_chiral_edge,-0.20573841596150405,-0.2005263156048015,-0.20791169081820277,-0.1999999999995733,0.002236097430584264
