target_id,series_id,parameter_set,m,radius,inverse_radius_square,gap_square,source
T005,fig_s2a_gap_square,fig_s2a,2.2,20,0.0025,0.040214309220861943,independent_numerics
T005,fig_s2a_gap_square,fig_s2a,2.2,24,0.001736111111111111,0.03678057327338882,independent_numerics
T005,fig_s2a_gap_square,fig_s2a,2.2,28,0.0012755102040816326,0.03451018817563667,independent_numerics
T005,fig_s2a_gap_square,fig_s2a,2.2,32,0.0009765625,0.033001874762454614,independent_numerics
T005,fig_s2a_gap_square,fig_s2a,2.2,36,0.0007716049382716049,0.03194983036781111,independent_numerics
T005,fig_s2a_gap_square,fig_s2a,2.2,40,0.000625,0.031156586967837886,independent_numerics
T005,fig_s2b_gap_square,fig_s2b,2.08,20,0.0025,0.009789116535721978,independent_numerics
T005,fig_s2b_gap_square,fig_s2b,2.08,24,0.001736111111111111,0.007656598006575469,independent_numerics
T005,fig_s2b_gap_square,fig_s2b,2.08,28,0.0012755102040816326,0.006257328719814807,independent_numerics
T005,fig_s2b_gap_square,fig_s2b,2.08,32,0.0009765625,0.005328093886183373,independent_numerics
T005,fig_s2b_gap_square,fig_s2b,2.08,36,0.0007716049382716049,0.004677445027761867,independent_numerics
T005,fig_s2b_gap_square,fig_s2b,2.08,40,0.000625,0.004183842556641291,independent_numerics
T005,fig_s2c_gap_square,fig_s2c,2.04,20,0.0025,0.0052414990595354895,independent_numerics
T005,fig_s2c_gap_square,fig_s2c,2.04,24,0.001736111111111111,0.0036774230308481985,independent_numerics
T005,fig_s2c_gap_square,fig_s2c,2.04,28,0.0012755102040816326,0.002691376751770493,independent_numerics
T005,fig_s2c_gap_square,fig_s2c,2.04,32,0.0009765625,0.0020601578641686897,independent_numerics
T005,fig_s2c_gap_square,fig_s2c,2.04,36,0.0007716049382716049,0.0016326380946589177,independent_numerics
T005,fig_s2c_gap_square,fig_s2c,2.04,40,0.000625,0.0013184855571001424,independent_numerics
