period_j,x_expectation
0.000000000000000000e+00,0.000000000000000000e+00
1.050000000000000000e+02,1.584799833570134375e-01
2.100000000000000000e+02,1.996978507643105138e-01
3.150000000000000000e+02,2.926992346837374859e-01
4.200000000000000000e+02,3.782459255784811347e-01
5.250000000000000000e+02,3.197325548272431095e-01
6.300000000000000000e+02,3.067710742694112480e-01
7.350000000000000000e+02,7.208363903433243625e-01
8.400000000000000000e+02,7.188131324336134442e-01
9.450000000000000000e+02,6.582990114755458144e-01
1.050000000000000000e+03,7.418832435833961902e-01
1.155000000000000000e+03,8.425188834530359383e-01
1.260000000000000000e+03,8.642706453604630523e-01
1.365000000000000000e+03,1.077315835798798638e+00
1.470000000000000000e+03,1.174151199915893340e+00
1.575000000000000000e+03,1.242511080234394383e+00
1.680000000000000000e+03,1.313852158471828124e+00
1.785000000000000000e+03,1.403348002086059809e+00
1.890000000000000000e+03,1.354655538870466414e+00
1.995000000000000000e+03,1.354795676124533443e+00
2.100000000000000000e+03,1.743568836094317565e+00
2.205000000000000000e+03,1.752634129297040655e+00
2.310000000000000000e+03,1.700635067226536012e+00
2.415000000000000000e+03,1.777275541500952238e+00
2.520000000000000000e+03,1.864097409816299677e+00
2.625000000000000000e+03,1.898329655195975185e+00
2.730000000000000000e+03,2.050368402619003660e+00
2.835000000000000000e+03,2.242064169564364384e+00
2.940000000000000000e+03,2.264902051889091883e+00
3.045000000000000000e+03,2.352024254499915035e+00
3.150000000000000000e+03,2.436455035147164327e+00
3.255000000000000000e+03,2.383670284708192533e+00
3.360000000000000000e+03,2.383436413618396088e+00
3.465000000000000000e+03,2.778968372016656474e+00
3.570000000000000000e+03,2.781732433124927351e+00
3.675000000000000000e+03,2.729777611924387948e+00
3.780000000000000000e+03,2.812449952591553615e+00
3.885000000000000000e+03,2.901648920521521013e+00
3.990000000000000000e+03,2.930006949453986209e+00
4.096000000000000000e+03,3.106111682412926456e+00
