k_over_pi,drho_actual,drho_theory
-3.333333333333333148e-01,-1.891747569157109510e-04,-1.244957256097187506e-15
-3.316708229426433285e-01,-1.950955538355669816e-04,-3.355736255865568891e-05
-3.300083125519534533e-01,-9.191919745382692852e-04,-7.721545515980816031e-04
-3.283458021612634670e-01,-4.885133330417845698e-04,1.399191670224146026e-04
-3.266832917705735362e-01,-1.651365857758935185e-03,-1.597152377321740379e-03
-3.250207813798836054e-01,-6.278188783926941241e-04,-1.118847425229446127e-03
-3.233582709891936746e-01,-2.087498616067939849e-04,-6.566304199849603901e-04
-3.216957605985036883e-01,-5.415868906563092722e-04,-1.081467740657974640e-03
-3.200332502078138130e-01,-2.464996552188680745e-03,-2.776137794958425178e-03
-3.183707398171238268e-01,-2.037129551030081309e-03,-9.062853299260093106e-04
-3.167082294264338960e-01,-1.154195891269083063e-03,-2.297013873674426301e-03
-3.150457190357439652e-01,-7.675671944894491006e-04,7.092252868013730832e-04
-3.133832086450540344e-01,-3.849781541653163330e-03,-3.098368897692529034e-03
-3.117206982543640481e-01,-3.840910964063359856e-03,-4.335532704821328485e-03
-3.100581878636741173e-01,-3.832466885283714042e-03,-3.960359979093844296e-03
-3.083956774729841865e-01,-4.445227780721427990e-03,-4.084906319967439824e-03
-3.067331670822942002e-01,-1.763175617343848423e-03,5.397522779070399422e-05
-3.050706566916042695e-01,1.375295594130410137e-05,-3.773380270787571626e-04
-3.034081463009143942e-01,-4.432893925273462266e-03,-4.879810331846164313e-03
-3.017456359102244079e-01,6.589831263154044549e-04,1.312888031011841435e-03
-3.000831255195344771e-01,-4.612737190738402937e-03,-3.799402800847302003e-03
-2.984206151288445463e-01,-1.359979527806642885e-03,-3.368335764996487677e-03
-2.967581047381545600e-01,4.830134403511765484e-04,1.196635850579371189e-03
-2.950955943474646292e-01,-1.749596055427904417e-03,-3.945442249037405783e-05
-2.934330839567746985e-01,-2.546114533018895010e-03,-6.078110315178384543e-04
-2.917705735660847677e-01,-3.635330680071158227e-03,-1.714866058257922361e-03
-2.901080631753948369e-01,-4.155810270288884389e-03,-3.027067285050499303e-03
-2.884455527847049061e-01,-2.812156701371248957e-03,-1.274715104846013214e-03
-2.867830423940149198e-01,-1.404845056753090127e-03,1.247740093078035517e-03
-2.851205320033249890e-01,-4.941580860440275558e-04,1.588823939656801429e-03
-2.834580216126350583e-01,-4.737251534492337157e-06,-5.473378474928680465e-04
-2.817955112219451275e-01,-1.121383698742040025e-03,-3.727939994098474971e-03
-2.801330008312551967e-01,-2.835258419586206280e-03,-3.847174101277756227e-03
-2.784704904405652659e-01,-1.455047548438503924e-03,5.875222442353641820e-04
-2.768079800498752796e-01,1.459140649426649006e-03,2.232658945862021297e-03
-2.751454696591853488e-01,1.406011065663292925e-04,-1.752346931153110025e-03
-2.734829592684954180e-01,-1.986375999136646975e-03,-1.342979824846147769e-03
-2.718204488778054873e-01,5.169623344654095121e-04,2.429365577487056175e-03
-2.701579384871155565e-01,9.033033836820525408e-04,-1.060776893010854536e-03
-2.684954280964256257e-01,-2.637374106774226235e-03,-3.966711890055890470e-03
-2.668329177057356394e-01,-1.947457856375733876e-03,9.845807732041750933e-05
-2.651704073150457086e-01,9.494519937358614214e-04,1.058598909531250666e-03
-2.635078969243557778e-01,-1.657454324233142984e-04,-1.820927138536671680e-03
-2.618453865336657915e-01,-2.452734513344045908e-03,-1.598820043656039216e-03
-2.601828761429758607e-01,4.877701492072006317e-04,2.595028697406023648e-03
-2.585203657522859300e-01,1.143813214766309372e-03,-8.321542179483831791e-04
-2.568578553615959992e-01,-1.517509264591432316e-03,-2.481301964181845468e-03
-2.551953449709060684e-01,-1.262427982103464519e-03,-8.448957301969230215e-04
-2.535328345802161376e-01,3.146501718076510912e-05,2.793060814271172178e-03
-2.518703241895261513e-01,-1.953696481944988683e-04,3.103069959111114931e-04
-2.502078137988362205e-01,1.788383063038467835e-03,7.409325745336357546e-04
-2.485453034081463175e-01,1.642558863950038806e-03,6.644268682561389402e-04
-2.468827930174563312e-01,3.619712770186467310e-06,-1.233582949315594661e-03
-2.452202826267664004e-01,-9.193115984048039202e-04,-2.670966792855430927e-03
-2.435577722360764974e-01,-9.600035251046135087e-04,-3.070090676978003315e-03
-2.418952618453865111e-01,-6.404688705645145141e-04,-2.853454871357946794e-03
-2.402327514546965803e-01,-2.577367753871517841e-04,-2.051032051386019080e-03
-2.385702410640066495e-01,7.112509423784496576e-05,-2.610639233790447390e-04
-2.369077306733166910e-01,3.151657330873747220e-04,2.209113155809673285e-03
-2.352452202826267325e-01,5.170479509579162247e-04,2.738916292997503957e-03
-2.335827098919368294e-01,4.283047127218164718e-04,-7.832004764349389820e-04
-2.319201995012468709e-01,-4.885116429986791076e-06,-1.559158241794658456e-03
-2.302576891105569123e-01,5.262619080523833759e-04,3.007249470156536132e-03
-2.285951787198670093e-01,2.857561757754201182e-04,-1.584582854503251755e-03
-2.269326683291770508e-01,3.980690602418679447e-04,1.901676147343649582e-03
-2.252701579384870922e-01,2.351822386670865406e-04,-1.303402856017895402e-03
-2.236076475477971892e-01,8.321183662044484564e-04,2.984138705839581556e-03
-2.219451371571072307e-01,-2.402572568956373722e-04,-2.292418183099877767e-03
-2.202826267664172721e-01,6.154550576973338849e-04,8.009296520377991082e-04
-2.186201163757273691e-01,1.105994153486611342e-03,3.278244725418784106e-03
-2.169576059850374106e-01,3.804601768332416256e-04,6.934720709618077093e-04
-2.152950955943474243e-01,-1.593074762245572096e-04,-1.637380387010622679e-03
-2.136325852036574935e-01,-1.850214784696047055e-04,-2.225756418428545894e-03
-2.119700748129675905e-01,-3.755873366964590510e-05,-2.145390039925619725e-03
-2.103075644222776042e-01,7.505818467212765910e-05,-1.989018035824812684e-03
-2.086450540315876734e-01,8.831253012456241613e-05,-1.367693650735312761e-03
-2.069825436408977426e-01,-9.063373558571008459e-05,3.104099253947647662e-04
-2.053200332502077841e-01,-2.002883118845111277e-04,1.696423465719351827e-03
-2.036575228595178533e-01,8.905757021297477927e-04,7.056012679748093711e-04
-2.019950124688279225e-01,1.357134006705229545e-03,6.862041368930555307e-04
-2.003325020781379640e-01,-9.004773128020171491e-04,-5.836419712782583199e-04
-1.986699916874480332e-01,1.331419431615799009e-03,1.577956049458155170e-03
-1.970074812967581024e-01,-1.775763878214542402e-05,-9.034534375272856941e-04
-1.953449709060681438e-01,2.931011935403959878e-04,2.065103506545299186e-03
-1.936824605153782131e-01,8.834720567258702584e-04,-4.171433654908518040e-04
-1.920199501246882823e-01,5.862455350746365035e-04,1.746712011352464199e-04
-1.903574397339983237e-01,-4.882860168115010779e-04,-1.623767383592053005e-03
-1.886949293433083930e-01,7.225802034918349381e-04,4.475637579376243354e-04
-1.870324189526184622e-01,4.972643920886365976e-05,3.457323073787364667e-04
-1.853699085619285036e-01,-4.621496047385598160e-04,-1.536632263484893641e-03
-1.837073981712385728e-01,4.083713486343620858e-04,-1.222890351850395088e-03
-1.820448877805486421e-01,1.005612975860964431e-03,1.136926057076882626e-03
-1.803823773898586835e-01,6.004750532709601796e-04,1.345357673000608951e-03
-1.787198669991687527e-01,1.019653113362703478e-03,4.411879514587531501e-04
-1.770573566084788220e-01,5.931722738721917354e-04,2.071669210418876274e-03
-1.753948462177888357e-01,9.625559584007237213e-04,5.397199304962377060e-04
-1.737323358270989049e-01,4.672684964061174506e-04,9.438926800073043667e-04
-1.720698254364089741e-01,7.585838871472100342e-04,1.485229405410782005e-03
-1.704073150457190156e-01,6.546997110890018234e-04,-1.168401449248658358e-04
-1.687448046550290848e-01,4.759013928279376415e-05,-1.273498408576798123e-03
-1.670822942643391540e-01,-8.769944603251311754e-05,-7.597349024784196599e-04
-1.654197838736491954e-01,5.745990178466775511e-04,2.305622018283857294e-04
-1.637572734829592647e-01,6.613069373060109779e-04,-3.094069913318768018e-04
-1.620947630922693339e-01,-5.133242026658657586e-05,5.990401756135466105e-05
-1.604322527015793753e-01,1.949911188089126224e-04,1.473402305716897285e-03
-1.587697423108894446e-01,1.937764224445304162e-05,-1.142089347422601316e-03
-1.571072319201995138e-01,1.872698782126452910e-04,8.623575061364773583e-04
-1.554447215295095552e-01,5.111756221846952553e-05,-4.965544490953638325e-04
-1.537822111388196245e-01,9.116997415569566554e-05,9.069232077119696034e-04
-1.521197007481296937e-01,1.770109304044600873e-04,-1.033628473693682564e-03
-1.504571903574397351e-01,-9.743431388192086429e-05,6.417654900107134077e-04
-1.487946799667498043e-01,-2.089034241661846814e-04,1.443882255843418022e-04
-1.471321695760598736e-01,4.399199078727808465e-04,8.262053690030551033e-04
