period_j,x_expectation
0.000000000000000000e+00,0.000000000000000000e+00
1.570000000000000000e+02,1.519416869893017163e-01
3.150000000000000000e+02,2.112342861192775256e-01
4.720000000000000000e+02,2.929733670715478078e-01
6.300000000000000000e+02,3.630159509437414500e-01
7.870000000000000000e+02,3.167163580332152395e-01
9.450000000000000000e+02,3.255258972608810475e-01
1.102000000000000000e+03,7.061806973383742969e-01
1.260000000000000000e+03,7.196266179638938221e-01
1.417000000000000000e+03,6.617664364770743379e-01
1.575000000000000000e+03,7.401752595561722492e-01
1.732000000000000000e+03,8.254166841235606178e-01
1.890000000000000000e+03,8.787996153005462885e-01
2.048000000000000000e+03,1.051064597848359483e+00
2.205000000000000000e+03,1.211059708255715961e+00
2.363000000000000000e+03,1.220333886287554570e+00
2.520000000000000000e+03,1.309042554505155609e+00
2.678000000000000000e+03,1.405396186037705553e+00
2.835000000000000000e+03,1.348224153308843709e+00
2.993000000000000000e+03,1.344870055002549858e+00
3.150000000000000000e+03,1.748076392157343673e+00
3.308000000000000000e+03,1.744906646661675165e+00
3.465000000000000000e+03,1.691486184478247834e+00
3.623000000000000000e+03,1.778831386879692333e+00
3.780000000000000000e+03,1.868003762612677754e+00
3.938000000000000000e+03,1.896347109563703448e+00
4.096000000000000000e+03,2.053919419748381436e+00
4.253000000000000000e+03,2.215625013075262828e+00
4.411000000000000000e+03,2.264537916322661548e+00
4.568000000000000000e+03,2.350918641975286771e+00
4.726000000000000000e+03,2.434690134936662975e+00
4.883000000000000000e+03,2.380689739081168987e+00
5.041000000000000000e+03,2.384282820513287771e+00
5.198000000000000000e+03,2.774839822571019798e+00
5.356000000000000000e+03,2.779310970113104240e+00
5.513000000000000000e+03,2.726436788294237967e+00
5.671000000000000000e+03,2.810630717949570201e+00
5.828000000000000000e+03,2.897724047456816443e+00
5.986000000000000000e+03,2.938057735874987308e+00
6.144000000000000000e+03,3.101651346970039747e+00
