period_j,x_expectation
0.000000000000000000e+00,0.000000000000000000e+00
7.800000000000000000e+01,1.651750357290822924e-01
1.570000000000000000e+02,1.863977137554446162e-01
2.360000000000000000e+02,2.814916532456605558e-01
3.150000000000000000e+02,3.571600343548461121e-01
3.930000000000000000e+02,3.082696102479656197e-01
4.720000000000000000e+02,3.324501114879274688e-01
5.510000000000000000e+02,7.073453109379108650e-01
6.300000000000000000e+02,7.230094463835589069e-01
7.080000000000000000e+02,6.670461039616978338e-01
7.870000000000000000e+02,7.573144100581419291e-01
8.660000000000000000e+02,8.265552599836070158e-01
9.450000000000000000e+02,8.995014264716776342e-01
1.024000000000000000e+03,1.076634022662273482e+00
1.102000000000000000e+03,1.203215989689413234e+00
1.181000000000000000e+03,1.253669693994043710e+00
1.260000000000000000e+03,1.316891911408588411e+00
1.339000000000000000e+03,1.412297914557804068e+00
1.417000000000000000e+03,1.361391143697625594e+00
1.496000000000000000e+03,1.349715289078162073e+00
1.575000000000000000e+03,1.754294927164641305e+00
1.654000000000000000e+03,1.750479317708851124e+00
1.732000000000000000e+03,1.701213788332190058e+00
1.811000000000000000e+03,1.775442288709938587e+00
1.890000000000000000e+03,1.877519036351936954e+00
1.969000000000000000e+03,1.916519557396592743e+00
2.048000000000000000e+03,2.084396562480440807e+00
2.126000000000000000e+03,2.244332700364350508e+00
2.205000000000000000e+03,2.266592163549082439e+00
2.284000000000000000e+03,2.356985188867585013e+00
2.363000000000000000e+03,2.441725527139253504e+00
2.441000000000000000e+03,2.389611619450254576e+00
2.520000000000000000e+03,2.389074362091751613e+00
2.599000000000000000e+03,2.785799912928679678e+00
2.678000000000000000e+03,2.789374136118119463e+00
2.756000000000000000e+03,2.736202138292189279e+00
2.835000000000000000e+03,2.818354162718109013e+00
2.914000000000000000e+03,2.908132480839238365e+00
2.993000000000000000e+03,2.947433323833144492e+00
3.072000000000000000e+03,3.119976706901169017e+00
