k_over_pi,drho_actual_b0,drho_theory_b0,drho_actual_b1,drho_theory_b1,drho_actual_b2,drho_theory_b2
-3.333333333333333148e-01,-1.891747569157109510e-04,-1.244957256097187506e-15,1.835432403409359425e-04,1.750934210222693133e-15,5.631500289949667809e-06,1.780979448004497547e-18
-3.316708229426433285e-01,-1.950955538355669816e-04,-3.355736255865568891e-05,1.646973301390880495e-04,-3.160633928940459101e-05,3.039812115111540118e-05,6.516370181514404426e-05
-3.300083125519534533e-01,-9.191919745382692852e-04,-7.721545515980816031e-04,1.385032949890313558e-04,-8.462132927281691350e-05,7.806887521800622443e-04,8.567758813976089193e-04
-3.283458021612634670e-01,-4.885133330417845698e-04,1.399191670224146026e-04,7.046910087588065252e-05,-2.165814726641101140e-04,4.180442517208683359e-04,7.666230416325482341e-05
-3.266832917705735362e-01,-1.651365857758935185e-03,-1.597152377321740379e-03,-9.172851411304305813e-06,-1.552712761450555912e-04,1.660538752800274839e-03,1.752423648428809910e-03
-3.250207813798836054e-01,-6.278188783926941241e-04,-1.118847425229446127e-03,-2.051360714823424747e-05,-1.116480372367109874e-04,6.483325359648243330e-04,1.230495462071491816e-03
-3.233582709891936746e-01,-2.087498616067939849e-04,-6.566304199849603901e-04,-1.589599296804300455e-05,6.173679259619433107e-05,2.246457521876323721e-04,5.948936306822678963e-04
-3.216957605985036883e-01,-5.415868906563092722e-04,-1.081467740657974640e-03,-1.297055469769714531e-04,-1.886477062866065771e-04,6.712926607342975527e-04,1.270115449349097257e-03
-3.200332502078138130e-01,-2.464996552188680745e-03,-2.776137794958425178e-03,-1.698250046633376087e-04,-3.941743823336483674e-04,2.634821621959586996e-03,3.170312170986676423e-03
-3.183707398171238268e-01,-2.037129551030081309e-03,-9.062853299260093106e-04,-3.757404908868999804e-05,2.708190813354194483e-05,2.074703619592905418e-03,8.792034097145205078e-04
-3.167082294264338960e-01,-1.154195891269083063e-03,-2.297013873674426301e-03,-1.445042628622633663e-04,-3.406413174664467197e-05,1.298700241474264050e-03,2.331078013106673182e-03
-3.150457190357439652e-01,-7.675671944894491006e-04,7.092252868013730832e-04,-3.422506925819523982e-04,-8.212158520314425010e-04,1.109818002586075714e-03,1.119905608492599954e-04
-3.133832086450540344e-01,-3.849781541653163330e-03,-3.098368897692529034e-03,-9.129765206684903323e-05,-7.183917768134840895e-05,3.941079340323186408e-03,3.170208056633854604e-03
-3.117206982543640481e-01,-3.840910964063359856e-03,-4.335532704821328485e-03,-2.922258358137724832e-04,-3.457684539296530758e-04,4.133136932419866072e-03,4.681301162670957992e-03
-3.100581878636741173e-01,-3.832466885283714042e-03,-3.960359979093844296e-03,-4.156958628067503048e-04,-6.477140486274334322e-04,4.248162990935361316e-03,4.608074016899294661e-03
-3.083956774729841865e-01,-4.445227780721427990e-03,-4.084906319967439824e-03,-1.149890427734195919e-04,-5.415577047611487376e-05,4.560216846465792173e-03,4.139062072066219955e-03
-3.067331670822942002e-01,-1.763175617343848423e-03,5.397522779070399422e-05,-6.473668577888225251e-04,-9.794245867576910521e-04,2.410542466863757616e-03,9.254493534533724279e-04
-3.050706566916042695e-01,1.375295594130410137e-05,-3.773380270787571626e-04,-2.391889137061953274e-04,-7.933155224295242863e-04,2.254360077566242015e-04,1.170653544316708258e-03
-3.034081463009143942e-01,-4.432893925273462266e-03,-4.879810331846164313e-03,-3.342445218261214102e-04,-3.506398615317592648e-04,4.767138242060264819e-03,5.230450191235714967e-03
-3.017456359102244079e-01,6.589831263154044549e-04,1.312888031011841435e-03,-7.898476647121427385e-04,-1.439940037964669833e-03,1.308647139720703345e-04,1.270519988372940576e-04
-3.000831255195344771e-01,-4.612737190738402937e-03,-3.799402800847302003e-03,-1.164108690001608437e-04,-1.666809705817519081e-05,4.729148068749466916e-03,3.816070871607655807e-03
-2.984206151288445463e-01,-1.359979527806642885e-03,-3.368335764996487677e-03,-7.539437200159981867e-04,-4.736014318818740484e-04,2.113923053429916932e-03,3.841937206710217649e-03
-2.967581047381545600e-01,4.830134403511765484e-04,1.196635850579371189e-03,-5.729241563095788248e-04,-1.392862724990104979e-03,8.991062301019758785e-05,1.962268666335280712e-04
-2.950955943474646292e-01,-1.749596055427904417e-03,-3.945442249037405783e-05,-1.595342532616506048e-04,3.568673682104288596e-04,1.909130103608797091e-03,-3.174129629171906883e-04
-2.934330839567746985e-01,-2.546114533018895010e-03,-6.078110315178384543e-04,-1.057138756101583255e-03,-1.486689272011977418e-03,3.603253226143243726e-03,2.094500300063050803e-03
-2.917705735660847677e-01,-3.635330680071158227e-03,-1.714866058257922361e-03,-5.718698920738618519e-04,-8.145536550380910214e-04,4.207200533187960279e-03,2.529419693679990817e-03
-2.901080631753948369e-01,-4.155810270288884389e-03,-3.027067285050499303e-03,-1.556626272764538577e-04,8.686490628048924010e-05,4.311472931829901656e-03,2.940202350885311958e-03
-2.884455527847049061e-01,-2.812156701371248957e-03,-1.274715104846013214e-03,-9.999069191280463009e-04,-1.200524558849218326e-03,3.812063674256654933e-03,2.475239657027570109e-03
-2.867830423940149198e-01,-1.404845056753090127e-03,1.247740093078035517e-03,-1.200691041690932215e-03,-2.004028652101796319e-03,2.605536103657657421e-03,7.562885535971378918e-04
-2.851205320033249890e-01,-4.941580860440275558e-04,1.588823939656801429e-03,-3.963219681724639010e-04,-9.412247559605807544e-04,8.904802103127107404e-04,-6.475991926489611328e-04
-2.834580216126350583e-01,-4.737251534492337157e-06,-5.473378474928680465e-04,-3.278028201270100084e-06,1.428046314098892276e-04,8.015287372292734247e-06,4.045332190507302432e-04
-2.817955112219451275e-01,-1.121383698742040025e-03,-3.727939994098474971e-03,-4.271705436832140546e-04,-5.091094381466146053e-05,1.548554353984432641e-03,3.778850952067740014e-03
-2.801330008312551967e-01,-2.835258419586206280e-03,-3.847174101277756227e-03,-1.068376816722393929e-03,-1.082661420901681517e-03,3.903635284600609490e-03,4.929835531014971177e-03
-2.784704904405652659e-01,-1.455047548438503924e-03,5.875222442353641820e-04,-1.498126284483397574e-03,-2.026034836087257495e-03,2.953173879957610160e-03,1.438512586444025149e-03
-2.768079800498752796e-01,1.459140649426649006e-03,2.232658945862021297e-03,-1.685582188452106056e-03,-2.096069198986837741e-03,2.264413082738725436e-04,-1.365897596677850606e-04
-2.751454696591853488e-01,1.406011065663292925e-04,-1.752346931153110025e-03,-1.706616847940850556e-03,-1.512374265243487687e-03,1.566015660000474874e-03,3.264721191207860685e-03
-2.734829592684954180e-01,-1.986375999136646975e-03,-1.342979824846147769e-03,-1.705734596774505230e-03,-2.023034432880657044e-03,3.692110655233338257e-03,3.366014261417370462e-03
-2.718204488778054873e-01,5.169623344654095121e-04,2.429365577487056175e-03,-1.720960467840704222e-03,-2.200934690810253929e-03,1.203998112533966047e-03,-2.284308992967487833e-04
-2.701579384871155565e-01,9.033033836820525408e-04,-1.060776893010854536e-03,-1.338230892569708397e-03,-4.389655841350175195e-04,4.349275227740201366e-04,1.499742485204582764e-03
