period_j,x_expectation
0.000000000000000000e+00,0.000000000000000000e+00
2.600000000000000000e+01,1.517919045051858706e-01
5.200000000000000000e+01,2.113475657235139582e-01
7.800000000000000000e+01,2.740177895051674750e-01
1.050000000000000000e+02,3.953465948597352786e-01
1.310000000000000000e+02,3.410001404696300642e-01
1.570000000000000000e+02,2.909394793934150791e-01
1.830000000000000000e+02,7.594980320204594015e-01
2.100000000000000000e+02,7.078034700892601450e-01
2.360000000000000000e+02,6.786542325901722128e-01
2.620000000000000000e+02,7.733168879569013443e-01
2.880000000000000000e+02,8.894201931087761803e-01
3.150000000000000000e+02,9.426091332911388232e-01
3.410000000000000000e+02,1.044564843563970280e+00
3.670000000000000000e+02,1.205877026782955719e+00
3.930000000000000000e+02,1.253132249398570153e+00
4.200000000000000000e+02,1.341726162905398034e+00
4.460000000000000000e+02,1.465451463428651069e+00
4.720000000000000000e+02,1.404358672156978960e+00
4.980000000000000000e+02,1.411375712792380277e+00
5.250000000000000000e+02,1.791588773467623463e+00
5.510000000000000000e+02,1.787491368401755043e+00
5.770000000000000000e+02,1.732184066033203962e+00
6.030000000000000000e+02,1.832868220281639093e+00
6.300000000000000000e+02,1.944801528439208615e+00
6.560000000000000000e+02,1.997170759295914255e+00
6.820000000000000000e+02,2.146446603951134069e+00
7.080000000000000000e+02,2.258772135216224886e+00
7.350000000000000000e+02,2.326272829754413962e+00
7.610000000000000000e+02,2.423232914454266140e+00
7.870000000000000000e+02,2.514520520835993089e+00
8.130000000000000000e+02,2.472933093349984901e+00
8.400000000000000000e+02,2.460159365160227374e+00
8.660000000000000000e+02,2.867198246809250506e+00
8.920000000000000000e+02,2.855792132113500248e+00
9.180000000000000000e+02,2.807194855538100331e+00
9.450000000000000000e+02,2.900908348305320850e+00
9.710000000000000000e+02,2.989838063356860420e+00
9.970000000000000000e+02,3.027305790254495754e+00
1.024000000000000000e+03,3.158672501022576018e+00
