J,actual_dx,berry_only,ibc,theory_total
5.000000000000000000e+00,9.203000706551449639e-01,1.136204931586700440e+00,4.084488184657144028e-01,1.544653750052414898e+00
5.004999999999999893e+00,1.222197572520681952e+00,1.274646963859060289e+00,5.530263173961527112e-01,1.827673281255213000e+00
5.009999999999999787e+00,1.429933615471509212e+00,1.429343148161849042e+00,7.166820421751575187e-01,2.146025190337006450e+00
5.014999999999999680e+00,1.816778469744470881e+00,1.602581174645914652e+00,9.020083841325512442e-01,2.504589558778465896e+00
5.019999999999999574e+00,2.211402455929567079e+00,1.796951282334750211e+00,1.111809483373274565e+00,2.908760765708024998e+00
5.025000000000000355e+00,2.605604336638178253e+00,2.015353095593915178e+00,1.349029225961420053e+00,3.364382321555335231e+00
5.030000000000000249e+00,3.159702347842549219e+00,2.260980406834902645e+00,1.616623995876586006e+00,3.877604402711488873e+00
5.035000000000000142e+00,3.720081446128744584e+00,2.537270875819553240e+00,1.917361755463884210e+00,4.454632631283437227e+00
5.040000000000000036e+00,4.291691102752304587e+00,2.847803679580489522e+00,2.253530549254653348e+00,5.101334228835142426e+00
5.044999999999999929e+00,5.027786257279966975e+00,3.196124843794234227e+00,2.626547563664921814e+00,5.822672407459156041e+00
5.049999999999999822e+00,5.815173241927944936e+00,3.585478987444314480e+00,3.036477789327195698e+00,6.621956776771510178e+00
5.054999999999999716e+00,6.607439184082598338e+00,4.018430041854783141e+00,3.481501140975036712e+00,7.499931182829819853e+00
5.059999999999999609e+00,7.558926355587098911e+00,4.496365263877875051e+00,3.957406374641167179e+00,8.453771638519041787e+00
5.065000000000000391e+00,8.595119655993334717e+00,5.018899300681792575e+00,4.457229767768525086e+00,9.476129068450317661e+00
5.070000000000000284e+00,9.596494458777568681e+00,5.583228856900621651e+00,4.971178605925493876e+00,1.055440746282611642e+01
5.075000000000000178e+00,1.071230838669146124e+01,6.183530038125184092e+00,5.486962937487078307e+00,1.167049297561226240e+01
5.080000000000000071e+00,1.191033477292577558e+01,6.810529945428715592e+00,5.990590674742501065e+00,1.280112062017121666e+01
5.084999999999999964e+00,1.296216673451501578e+01,7.451405717238682946e+00,6.467568820899363580e+00,1.391897453813804653e+01
5.089999999999999858e+00,1.412909717923736608e+01,8.090149344411475596e+00,6.904331132332872656e+00,1.499448047674434825e+01
5.094999999999999751e+00,1.519565914087110770e+01,8.708471273469283958e+00,7.289627989395469854e+00,1.599809926286475381e+01
5.099999999999999645e+00,1.618011960621716838e+01,9.287201176411738146e+00,7.615605944659492366e+00,1.690280712107123051e+01
5.104999999999999538e+00,1.698370742141381839e+01,9.808005351704535357e+00,7.878379474479599409e+00,1.768638482618413477e+01
5.110000000000000320e+00,1.735739857228506366e+01,1.025512511063859478e+01,8.078027598699060619e+00,1.833315270933765362e+01
5.115000000000000213e+00,1.732460292806467095e+01,1.061680267169925429e+01,8.218084835575645286e+00,1.883488750727489958e+01
5.120000000000000107e+00,1.740111115397741059e+01,1.088612925122970410e+01,8.304694459001934703e+00,1.919082371023164058e+01
5.125000000000000000e+00,1.592375758998123736e+01,1.106120417227661079e+01,8.345628541377687171e+00,1.940683271365429619e+01
5.129999999999999893e+00,1.720815312150713439e+01,1.114466750118488569e+01,8.349356489993954966e+00,1.949402399117884244e+01
5.134999999999999787e+00,1.705330829009870186e+01,1.114277247739454779e+01,8.324303197108742225e+00,1.946707567450329179e+01
5.139999999999999680e+00,1.679940322311119871e+01,1.106405858372251139e+01,8.278240381514068602e+00,1.934229896523657999e+01
5.144999999999999574e+00,1.651650123105344292e+01,7.446952777593074835e+00,8.218063326413599157e+00,1.566501610400667488e+01
5.150000000000000355e+00,1.615849175777431768e+01,7.355501645115349874e+00,8.148190218383684069e+00,1.550369186349903394e+01
5.155000000000000249e+00,1.427750741111823629e+01,7.275444630790529388e+00,8.071454236624015621e+00,1.534689886741454501e+01
5.160000000000000142e+00,1.440981425119329096e+01,7.204989025694154670e+00,7.989822971675662799e+00,1.519481199736981836e+01
5.165000000000000036e+00,1.442364129771660508e+01,7.142466564262319295e+00,7.904563167489381037e+00,1.504702973175169944e+01
5.169999999999999929e+00,1.371159478336020321e+01,7.086037753180372434e+00,7.816495406858481765e+00,1.490253316003885331e+01
5.174999999999999822e+00,1.384898790543197400e+01,7.033993610643954675e+00,7.726207884698506057e+00,1.476020149534246073e+01
5.179999999999999716e+00,1.357934335184729413e+01,6.984961373503034032e+00,7.634181400850258647e+00,1.461914277435329268e+01
5.184999999999999609e+00,1.335311254860086905e+01,6.937927719111143254e+00,7.540836957589911016e+00,1.447876467670105427e+01
5.189999999999999503e+00,1.326932498633215829e+01,6.892171480742051770e+00,7.446547928037671404e+00,1.433871940877972406e+01
5.195000000000000284e+00,1.325547106518845197e+01,6.847183147558583372e+00,7.351642999917818777e+00,1.419882614747640304e+01
5.200000000000000178e+00,1.295647337844008717e+01,6.802599868300182706e+00,7.256408718810481773e+00,1.405900858711066448e+01
5.205000000000000071e+00,1.276424047006695695e+01,6.758159277825106059e+00,7.161093013471562685e+00,1.391925229129666874e+01
5.209999999999999964e+00,1.250843801195457772e+01,6.713668139228684772e+00,7.065909253488450226e+00,1.377957739271713500e+01
5.214999999999999858e+00,1.244358881154882823e+01,6.668981272654095349e+00,6.971040301040028808e+00,1.364002157369412416e+01
5.219999999999999751e+00,1.235125249844827344e+01,6.623987327437071748e+00,6.876642251326622990e+00,1.350062957876369474e+01
5.224999999999999645e+00,1.218885269561412521e+01,6.578599059846356845e+00,6.782847737077798200e+00,1.336144679692415593e+01
5.229999999999999538e+00,1.206509719900098965e+01,6.532746588958538325e+00,6.689768781283385479e+00,1.322251537024192380e+01
5.234999999999999432e+00,1.189128530558917873e+01,6.486372641688993745e+00,6.597499230373466972e+00,1.308387187206245983e+01
5.240000000000000213e+00,1.173332341735491191e+01,6.439429144100000890e+00,6.506116819371947635e+00,1.294554596347194853e+01
5.245000000000000107e+00,1.160214571100897274e+01,6.391874736840039262e+00,6.415684921962996334e+00,1.280755965880303648e+01
5.250000000000000000e+00,1.148335615483222227e+01,6.343672933890520227e+00,6.326254036197611619e+00,1.266992697008813096e+01
5.254999999999999893e+00,1.130948736724765524e+01,6.294790735138593440e+00,6.237863047131084748e+00,1.253265378226967819e+01
5.259999999999999787e+00,1.111691988353207172e+01,6.245197563045596922e+00,6.150540303905773776e+00,1.239573786695137159e+01
5.264999999999999680e+00,1.103059398689849679e+01,6.194864433280275584e+00,6.064304539751399048e+00,1.225916897303167374e+01
5.269999999999999574e+00,1.094931097844275847e+01,6.143763295781670131e+00,5.979165659030619473e+00,1.212292895481228960e+01
5.274999999999999467e+00,1.065265251179200767e+01,6.091866500806188078e+00,5.895125411558654882e+00,1.198699191236484296e+01
5.279999999999999361e+00,1.066466574112097909e+01,6.039146356971380136e+00,5.812177968707824327e+00,1.185132432567920446e+01
5.285000000000000142e+00,1.054363512102360012e+01,5.985574756978985000e+00,5.730310415273892843e+00,1.171588517225287873e+01
5.290000000000000036e+00,1.023109069694801931e+01,5.931122852797336087e+00,5.649503166358982753e+00,1.158062601915631973e+01
5.294999999999999929e+00,1.037948731240045852e+01,5.875760766393712586e+00,5.569730318060994279e+00,1.144549108445470686e+01
5.299999999999999822e+00,9.932009476225655220e+00,5.819457325176548679e+00,5.490959938634373927e+00,1.131041726381092261e+01
