period_j,x_expectation
0.000000000000000000e+00,0.000000000000000000e+00
5.200000000000000000e+01,1.559378605987215838e-01
1.050000000000000000e+02,2.016611277776972355e-01
1.570000000000000000e+02,2.849712691143252985e-01
2.100000000000000000e+02,3.808664304451123694e-01
2.620000000000000000e+02,3.165620693429930799e-01
3.150000000000000000e+02,3.299654499863851620e-01
3.670000000000000000e+02,7.109173214455735135e-01
4.200000000000000000e+02,7.150824060061766740e-01
4.720000000000000000e+02,6.747884952245176704e-01
5.250000000000000000e+02,7.641993444745078801e-01
5.770000000000000000e+02,8.469422591258135569e-01
6.300000000000000000e+02,8.398740918833292879e-01
6.820000000000000000e+02,1.053004297680593115e+00
7.350000000000000000e+02,1.235305121542395801e+00
7.870000000000000000e+02,1.256555182079519550e+00
8.400000000000000000e+02,1.322739086360235961e+00
8.920000000000000000e+02,1.416245089916451372e+00
9.450000000000000000e+02,1.370251954551096052e+00
9.970000000000000000e+02,1.360372285200866393e+00
1.050000000000000000e+03,1.768903134750472450e+00
1.102000000000000000e+03,1.766258318798823890e+00
1.155000000000000000e+03,1.709374315363223484e+00
1.207000000000000000e+03,1.805644839742108765e+00
1.260000000000000000e+03,1.877456699762282577e+00
1.312000000000000000e+03,1.916261959266232218e+00
1.365000000000000000e+03,2.122619235018236239e+00
1.417000000000000000e+03,2.240887719298318981e+00
1.470000000000000000e+03,2.282843456315226671e+00
1.522000000000000000e+03,2.376087393254878055e+00
1.575000000000000000e+03,2.463654941956549660e+00
1.627000000000000000e+03,2.414347948456633919e+00
1.680000000000000000e+03,2.409420546232384108e+00
1.732000000000000000e+03,2.803039446439662186e+00
1.785000000000000000e+03,2.806679730339462164e+00
1.837000000000000000e+03,2.754580376628140037e+00
1.890000000000000000e+03,2.841244827229906900e+00
1.942000000000000000e+03,2.930542197778453151e+00
1.995000000000000000e+03,2.958740781310900125e+00
2.048000000000000000e+03,3.123535460171429357e+00
