profile_id,kind,cell,amplitude,eigenvalue_real,eigenvalue_imag,abs_eigenvalue
zero_mode,analytic_zero_site_resolved,0.5,1.0,0.0,0.0,0.0
zero_mode,analytic_zero_site_resolved,1.0,0.0,0.0,0.0,0.0
zero_mode,analytic_zero_site_resolved,1.5,0.33333333333333337,0.0,0.0,0.0
zero_mode,analytic_zero_site_resolved,2.0,0.0,0.0,0.0,0.0
zero_mode,analytic_zero_site_resolved,2.5,0.11111111111111113,0.0,0.0,0.0
zero_mode,analytic_zero_site_resolved,3.0,0.0,0.0,0.0,0.0
zero_mode,analytic_zero_site_resolved,3.5,0.03703703703703705,0.0,0.0,0.0
zero_mode,analytic_zero_site_resolved,4.0,0.0,0.0,0.0,0.0
zero_mode,analytic_zero_site_resolved,4.5,0.012345679012345685,0.0,0.0,0.0
zero_mode,analytic_zero_site_resolved,5.0,0.0,0.0,0.0,0.0
zero_mode,analytic_zero_site_resolved,5.5,0.004115226337448562,0.0,0.0,0.0
zero_mode,analytic_zero_site_resolved,6.0,0.0,0.0,0.0,0.0
zero_mode,analytic_zero_site_resolved,6.5,0.0013717421124828542,0.0,0.0,0.0
zero_mode,analytic_zero_site_resolved,7.0,0.0,0.0,0.0,0.0
zero_mode,analytic_zero_site_resolved,7.5,0.0004572473708276181,0.0,0.0,0.0
zero_mode,analytic_zero_site_resolved,8.0,0.0,0.0,0.0,0.0
zero_mode,analytic_zero_site_resolved,8.5,0.00015241579027587272,0.0,0.0,0.0
zero_mode,analytic_zero_site_resolved,9.0,0.0,0.0,0.0,0.0
zero_mode,analytic_zero_site_resolved,9.5,5.080526342529091e-05,0.0,0.0,0.0
zero_mode,analytic_zero_site_resolved,10.0,0.0,0.0,0.0,0.0
zero_mode,analytic_zero_site_resolved,10.5,1.6935087808430306e-05,0.0,0.0,0.0
zero_mode,analytic_zero_site_resolved,11.0,0.0,0.0,0.0,0.0
zero_mode,analytic_zero_site_resolved,11.5,5.645029269476769e-06,0.0,0.0,0.0
zero_mode,analytic_zero_site_resolved,12.0,0.0,0.0,0.0,0.0
zero_mode,analytic_zero_site_resolved,12.5,1.8816764231589233e-06,0.0,0.0,0.0
