energy_real,energy_imag,root_branch,beta_real,beta_imag,abs_beta,angle_beta,middle_pair_relative_error
2.1697887883716027,8.257351144409388e-37,2,0.7753942525583969,0.024165892773048977,0.7757707375727145,0.031155857824328004,0.0
2.1697887883716027,8.257351144409388e-37,3,0.7753942525583969,-0.024165892773048935,0.7757707375727145,-0.03115585782432795,0.0
2.168359374918044,3.1477588754825835e-37,2,0.7741530072097671,-0.04830134763827509,0.7756583647170958,-0.062311735462912694,2.8626598387296073e-16
2.168359374918044,3.1477588754825835e-37,3,0.7741530072097673,0.048301347638275184,0.775658364717096,0.062311735462912805,2.8626598387296073e-16
2.165978199473739,4.9664903632879284e-37,2,0.7720860653659202,-0.07237595875011629,0.7754709354561437,-0.09346765272128081,2.863351735992804e-16
2.165978199473739,4.9664903632879284e-37,3,0.7720860653659204,0.07237595875011625,0.7754709354561439,0.09346765272128073,2.863351735992804e-16
2.162647030368048,4.969557930833065e-37,2,0.7691961263850015,-0.0963593843676476,0.7752082377022339,-0.12462362938696461,8.592966152547037e-16
2.162647030368048,4.969557930833065e-37,3,0.7691961263850021,0.0963593843676475,0.7752082377022346,0.12462362938696439,8.592966152547037e-16
2.1583683389826316,3.079392931012647e-37,2,0.7654869668751638,-0.12022137885752296,0.7748699738602227,-0.1557796852196365,2.8655724497731726e-16
2.1583683389826316,3.079392931012647e-37,3,0.765486966875164,0.12022137885752311,0.7748699738602229,0.15577968521963664,2.8655724497731726e-16
2.1531452954642663,8.387062706917762e-37,2,0.7609634382062047,0.14393182463741072,0.774455760150354,0.18693583993996696,8.601315259709207e-16
2.1531452954642663,8.387062706917762e-37,3,0.7609634382062054,-0.14393182463741053,0.7744557601503547,-0.18693583993996657,8.601315259709207e-16
2.146981763201515,5.542660877647281e-37,2,0.7556314633172746,0.16746076404000462,0.7739651257310421,0.21809211321683314,2.8689226108902633e-16
2.146981763201515,5.542660877647281e-37,3,0.7556314633172748,-0.16746076404000454,0.7739651257310424,-0.21809211321683297,2.8689226108902633e-16
2.139882292056483,1.3258623296555637e-37,2,0.7494980328259089,-0.19077843107761233,0.7733975116163372,-0.2492485246525736,8.613084536345721e-16
2.139882292056483,1.3258623296555637e-37,3,0.7494980328259095,0.19077843107761228,0.7733975116163379,0.2492485246525733,8.613084536345721e-16
2.131852110340574,1.1636152616206496e-36,2,0.742571200445005,0.21385528308684407,0.7727522693816499,0.2804050937655624,2.873425465352687e-16
2.131852110340574,1.1636152616206496e-36,3,0.7425712004450051,-0.2138552830868442,0.7727522693816501,-0.2804050937655625,2.873425465352687e-16
2.1228971155205856,1.0363831073905771e-36,2,0.7348600777155051,-0.23666203223298585,0.7720286596498118,-0.3115618399697752,0.0
2.1228971155205856,1.0363831073905771e-36,3,0.734860077715505,0.23666203223298612,0.7720286596498118,0.3115618399697756,0.0
2.113023863638611,2.5350055982429273e-37,2,0.7263748280639866,-0.259169676853056,0.7712258503480699,-0.3427187825506325,1.439556290967283e-16
2.113023863638611,2.5350055982429273e-37,3,0.7263748280639866,0.25916967685305625,0.77122585034807,0.3427187825506328,1.439556290967283e-16
2.1022395574259556,3.237386629044542e-37,2,0.717126660195679,0.2813495326162295,0.7703429147248514,0.37387594063652774,5.764825006648899e-16
2.1022395574259556,3.237386629044542e-37,3,0.7171266601956794,-0.28134953261622964,0.7703429147248518,-0.37387594063652774,5.764825006648899e-16
2.0905520330876013,1.0498113088424665e-36,2,0.7071278208349718,0.3031732634796818,0.7693788291132897,0.40503333316526785,1.4430121841339073e-16
2.0905520330876013,1.0498113088424665e-36,3,0.7071278208349718,-0.3031732634796819,0.7693788291132898,-0.4050333331652679,1.4430121841339073e-16
2.077969745729475,4.66589029560935e-37,2,0.6963915868269906,0.324612912417213,0.7683324704263118,0.43619097884462527,0.0
2.077969745729475,4.66589029560935e-37,3,0.6963915868269908,-0.32461291241721285,0.7683324704263118,-0.43619097884462504,0.0
2.0645017533959003,6.830099429303852e-37,2,0.6849322566155737,-0.34564093189709927,0.7672026133657245,-0.4673488961060691,2.8942107476787603e-16
2.0645017533959003,6.830099429303852e-37,3,0.6849322566155739,0.34564093189709943,0.7672026133657247,0.4673488961060692,2.8942107476787603e-16
2.050157699678909,1.0371918727273757e-36,2,0.6727651411148451,0.36623021408446554,0.7659879273249879,0.4985071030505899,1.4494001602640388e-16
2.050157699678909,1.0371918727273757e-36,3,0.6727651411148452,-0.36623021408446554,0.765987927324988,-0.4985071030505898,1.4494001602640388e-16
2.0349477948544594,-2.0620237571048428e-37,2,0.659906553993621,0.3863541207420571,0.7646869729622074,0.5296656173853912,2.9037320207625034e-16
2.0349477948544594,-2.0620237571048428e-37,3,0.6599065539936211,-0.38635412074205727,0.7646869729622077,-0.5296656173853913,2.9037320207625034e-16
2.0188827954928215,5.212296568074921e-37,2,0.6463738013942141,0.4059865128015866,0.76329819841632,0.5608244563500814,0.0
2.0188827954928215,5.212296568074921e-37,3,0.6463738013942142,-0.40598651280158654,0.76329819841632,-0.5608244563500813,0.0
2.001973982481265,5.502630417215266e-37,2,0.6321851711097906,-0.4251017795756165,0.7618199351352466,-0.5919836366307183,1.457329971849657e-16
2.001973982481265,5.502630417215266e-37,3,0.6321851711097907,0.4251017795756167,0.7618199351352467,0.5919836366307184,1.457329971849657e-16
1.9842331373863769,6.526962934434606e-38,2,0.6173599212474269,0.44367486757733826,0.760250393280002,0.6231431742598412,1.4603386390045034e-16
1.9842331373863769,6.526962934434606e-38,3,0.6173599212474269,-0.4436748675773381,0.7602503932800019,-0.6231431742598411,1.4603386390045034e-16
1.9656725170705545,2.898392227529744e-37,2,0.6019182684074398,-0.4616813089123771,0.7585876566631284,-0.6543030845003128,7.317697664030015e-16
1.9656725170705545,2.898392227529744e-37,3,0.6019182684074402,0.46168130891237735,0.758587656663129,0.6543030845003127,7.317697664030015e-16
