series,t1,E,root_index,beta_real,beta_imag,abs_beta
main_t1_1,1.0,0.0,1,-0.33333333333333337,0.0,0.33333333333333337
main_t1_1,1.0,0.004709418837675351,1,-0.3333499691706515,0.0,0.3333499691706515
main_t1_1,1.0,0.009418837675350702,1,-0.3333998991139989,0.0,0.3333998991139989
main_t1_1,1.0,0.014128256513026053,1,-0.3334831905753412,0.0,0.3334831905753412
main_t1_1,1.0,0.018837675350701404,1,-0.33359995630199274,0.0,0.33359995630199274
main_t1_1,1.0,0.023547094188376756,1,-0.3337503549726867,0.0,0.3337503549726867
main_t1_1,1.0,0.028256513026052105,1,-0.3339345920422026,0.0,0.3339345920422026
main_t1_1,1.0,0.032965931863727455,1,-0.3341529208449513,0.0,0.3341529208449513
main_t1_1,1.0,0.03767535070140281,1,-0.33440564397127653,0.0,0.33440564397127653
main_t1_1,1.0,0.04238476953907816,1,-0.3346931149339042,0.0,0.3346931149339042
main_t1_1,1.0,0.04709418837675351,1,-0.335015740146048,0.0,0.335015740146048
main_t1_1,1.0,0.05180360721442886,1,-0.33537398123726336,0.0,0.33537398123726336
main_t1_1,1.0,0.05651302605210421,1,-0.33576835773835795,0.0,0.33576835773835795
main_t1_1,1.0,0.06122244488977956,1,-0.3361994501726726,0.0,0.3361994501726726
main_t1_1,1.0,0.06593186372745491,1,-0.3366679035980081,0.0,0.3366679035980081
main_t1_1,1.0,0.07064128256513026,1,-0.3371744316516323,0.0,0.3371744316516323
main_t1_1,1.0,0.07535070140280561,1,-0.33771982116041577,0.0,0.33771982116041577
main_t1_1,1.0,0.08006012024048097,1,-0.3383049373895607,0.0,0.3383049373895607
main_t1_1,1.0,0.08476953907815632,1,-0.33893073001703977,0.0,0.33893073001703977
main_t1_1,1.0,0.08947895791583167,1,-0.3395982399372661,0.0,0.3395982399372661
main_t1_1,1.0,0.09418837675350702,1,-0.34030860701738774,0.0,0.34030860701738774
main_t1_1,1.0,0.09889779559118236,1,-0.3410630789537742,0.0,0.3410630789537742
main_t1_1,1.0,0.10360721442885772,1,-0.3418630214059042,0.0,0.3418630214059042
main_t1_1,1.0,0.10831663326653307,1,-0.34270992962138536,0.0,0.34270992962138536
main_t1_1,1.0,0.11302605210420842,1,-0.3436054418111979,0.0,0.3436054418111979
main_t1_1,1.0,0.11773547094188377,1,-0.3445513545909034,0.0,0.3445513545909034
main_t1_1,1.0,0.12244488977955913,1,-0.3455496408749012,0.0,0.3455496408749012
main_t1_1,1.0,0.12715430861723448,1,-0.3466024707012637,0.0,0.3466024707012637
main_t1_1,1.0,0.13186372745490982,1,-0.34771223558033854,0.0,0.34771223558033854
main_t1_1,1.0,0.13657314629258518,1,-0.3488815771094292,0.0,0.3488815771094292
main_t1_1,1.0,0.14128256513026052,1,-0.35011342078992497,0.0,0.35011342078992497
main_t1_1,1.0,0.1459919839679359,1,-0.35141101623824467,0.0,0.35141101623824467
