t1,branch_id,band_index,real_E,imag_E,abs_E
-3.0,0,0,1.7032206548073723,0.0,1.7032206548073723
-3.0,1,1,1.7055070633928693,0.0,1.7055070633928693
-3.0,2,2,1.7093110922879835,0.0,1.7093110922879835
-3.0,3,3,1.7146228420007952,0.0,1.7146228420007952
-3.0,4,4,1.7214286081090193,0.0,1.7214286081090193
-3.0,5,5,1.7297110306737575,0.0,1.7297110306737575
-3.0,6,6,1.7394492788730764,0.0,1.7394492788730764
-3.0,7,7,1.7506192657845956,0.0,1.7506192657845956
-3.0,8,8,1.7631938876575717,0.0,1.7631938876575717
-3.0,9,9,1.7771432816826411,0.0,1.7771432816826411
-3.0,10,10,1.7924350961877464,0.0,1.7924350961877464
-3.0,11,11,1.8090347673427891,0.0,1.8090347673427891
-3.0,12,12,1.8269057968121842,0.0,1.8269057968121842
-3.0,13,13,1.846010025314157,0.0,1.846010025314157
-3.0,14,14,1.8663078976844494,0.0,1.8663078976844494
-3.0,15,15,1.8877587157555402,0.0,1.8877587157555402
-3.0,16,16,1.9103208761084247,0.0,1.9103208761084247
-3.0,17,17,1.9339520904954126,0.0,1.9339520904954126
-3.0,18,18,1.9586095874386211,0.0,1.9586095874386211
-3.0,19,19,1.9842502941565199,0.0,1.9842502941565199
-3.0,20,20,2.0108309985439496,0.0,2.0108309985439496
-3.0,21,21,2.0383084914201848,0.0,2.0383084914201848
-3.0,22,22,2.0666396896614336,0.0,2.0666396896614336
-3.0,23,23,2.095781741150101,0.0,2.095781741150101
-3.0,24,24,2.1256921127081823,0.0,2.1256921127081823
-3.0,25,25,2.156328662343946,0.0,2.156328662343946
-3.0,26,26,2.1876496972386654,0.0,2.1876496972386654
-3.0,27,27,2.2196140189433553,0.0,2.2196140189433553
-3.0,28,28,2.2521809572541334,0.0,2.2521809572541334
-3.0,29,29,2.2853103941982154,0.0,2.2853103941982154
-3.0,30,30,2.3189627794992864,0.0,2.3189627794992864
-3.0,31,31,2.353099138808563,0.0,2.353099138808563
-3.0,32,32,2.387681075892793,0.0,2.387681075892793
-3.0,33,33,2.4226707698680516,0.0,2.4226707698680516
-3.0,34,34,2.4580309684628956,0.0,2.4580309684628956
-3.0,35,35,2.493724978189556,0.0,2.493724978189556
-3.0,36,36,2.5297166522000203,0.0,2.5297166522000203
-3.0,37,37,2.565970376506873,0.0,2.565970376506873
-3.0,38,38,2.6024510551578843,0.0,2.6024510551578843
-3.0,39,39,2.6391240948693757,0.0,2.6391240948693757
-3.0,40,40,2.67595538954663,0.0,2.67595538954663
-3.0,41,41,2.7129113050502545,0.0,2.7129113050502545
-3.0,42,42,2.749958664505195,0.0,2.749958664505195
-3.0,43,43,2.7870647343938524,0.0,2.7870647343938524
-3.0,44,44,2.8241972116259535,0.0,2.8241972116259535
-3.0,45,45,2.861324211735152,0.0,2.861324211735152
-3.0,46,46,2.8984142583151047,0.0,2.8984142583151047
-3.0,47,47,2.935436273775681,0.0,2.935436273775681
-3.0,48,48,2.972359571472293,0.0,2.972359571472293
-3.0,49,49,3.009153849237812,0.0,3.009153849237812
-3.0,50,50,3.0457891843265346,0.0,3.0457891843265346
-3.0,51,51,3.0822360297628486,0.0,3.0822360297628486
-3.0,52,52,3.118465212073241,0.0,3.118465212073241
-3.0,53,53,3.1544479303686526,0.0,3.1544479303686526
