kind,t1,band_index,real_E,imag_E,abs_E
theory,0.2,0,0.7717224601860151,0.0,0.7717224601860151
theory,0.2,0,0.7717707014801788,0.008629027039683688,0.7718189397590984
theory,0.2,0,0.7719153138473046,0.017253874823561954,0.7721081193384836
theory,0.2,0,0.7721559636577007,0.02587038184095227,0.772589223888574
theory,0.2,0,0.7724920978992589,0.034474421840584066,0.7732609695814477
theory,0.2,0,0.7729229486735525,0.04306192088915211,0.7741215754756372
theory,0.2,0,0.773447539372496,0.051628873760845115,0.7751687795359034
theory,0.2,0,0.7740646924224,0.06017135946136591,0.7763998586774817
theory,0.2,0,0.7747730384563734,0.06868555571126446,0.7778116524469701
theory,0.2,0,0.7755710267545297,0.07716775223835416,0.7794005898936666
theory,0.2,0,0.7764569367748446,0.08561436275660506,0.7811627191411497
theory,0.2,0,0.7774288905860788,0.09402193553817983,0.7830937391399875
theory,0.2,0,0.7784848660079802,0.10238716251516727,0.7851890330687065
theory,0.2,0,0.7796227102628384,0.1107068868770955,0.787443702850935
theory,0.2,0,0.78084015394606,0.11897810915858055,0.7898526042708588
theory,0.2,0,0.7821348251312586,0.12719799183772112,0.7924103821951436
theory,0.2,0,0.7835042634367891,0.1353638624894759,0.7951115054454282
theory,0.2,0,0.7849459338950283,0.14347321555880255,0.7979503009092237
theory,0.2,0,0.7864572404822862,0.15152371283550597,0.8009209865264296
theory,0.2,0,0.7880355391853,0.15951318272641532,0.8040177028415341
theory,0.2,0,0.7896781504991566,0.1674396184306837,0.807234542865939
theory,0.2,0,0.7913823712705536,0.1753011751308262,0.8105655800489266
theory,0.2,0,0.7931454858190267,0.1830961663158032,0.814004894208041
theory,0.2,0,0.7949647762866724,0.19082305935332722,0.8175465953188739
theory,0.2,0,0.7968375321836124,0.19848047042697664,0.8211848451094208
theory,0.2,0,0.7987610591117276,0.20606715895002084,0.8249138764447
theory,0.2,0,0.8007326866628305,0.21358202156248832,0.8287280105227492
theory,0.2,0,0.8027497754993693,0.22102408581132585,0.8326216719333097
theory,0.2,0,0.8048097236359081,0.22839250360585667,0.8365894016554704
