t1,W,root_labels,middle_modulus_gap,beta1_abs,beta2_abs,beta3_abs,beta4_abs,n_beta_caption
-3.0,0,abab,3.1656946721608157,0.05538195292072175,0.44559004158512894,3.6112847137459445,11.221076625081537,200
-2.96,0,abab,3.1166309128737724,0.056012139647393135,0.4540236141455008,3.5706545270192733,11.012643052521167,200
-2.92,0,abab,3.0672124489607833,0.05665706976420042,0.4627971479416825,3.530009596902466,10.803869518724984,200
-2.88,0,abab,3.017416830234873,0.057317275392408606,0.47193256103938486,3.489349391274258,10.594734105627282,200
-2.84,0,abab,2.9672195717105994,0.05799331499548446,0.4814537799605829,3.4486733516711823,10.385212886706082,200
-2.8,0,abab,2.916593907055379,0.05868577505593734,0.49138698455534996,3.407980891610729,10.175279682111317,200
-2.76,0,abab,2.865510503859861,0.059395271883899516,0.501760890922906,3.367271394782767,9.964905775743759,200
-2.7199999999999998,0,abab,2.813937133407061,0.06012245356986025,0.5126070796897451,3.326544213096806,9.75405958697692,200
-2.68,0,abab,2.7618382859229826,0.060868002095342204,0.5239603786483423,3.285798664571325,9.542706288018326,200
-2.64,0,abab,2.7091747201272693,0.061632635616859034,0.5358593109225384,3.2450340310498076,9.330807355744128,200
-2.6,0,abab,2.6559029331205712,0.062417110940242826,0.5483466226058529,3.204249555726424,9.118320044060816,200
-2.56,0,abab,2.6019745330387902,0.06322222620441387,0.5614699074234625,3.1634444404622526,8.905196759243204,200
-2.52,0,abab,2.5473354921863303,0.06404882379591208,0.575282350684424,3.1226178428707545,8.691384315982244,200
-2.48,0,abab,2.4919252521273347,0.06489779351806572,0.5898436210212661,3.081768873148601,8.4768230456454,200
-2.44,0,abab,2.435675643892286,0.06577007604158225,0.6052209467327982,3.0408965906250844,8.26144571993387,200
-2.4,0,abab,2.3785095752200145,0.06666666666666667,0.6214904247799854,3.0,8.045176241886681,200
-2.36,0,abab,2.3203394213922044,0.0675886194305718,0.6387386258438907,2.959078047236095,7.827928040822776,200
-2.32,0,abab,2.261065034930146,0.06853705159883765,0.6570645801376827,2.9181296150678286,7.609602086528983,200
-2.2800000000000002,0,abab,2.2005712594912876,0.06951314858348044,0.6765822585918984,2.877153518083186,7.390084408074769,200
-2.24,0,abab,2.1387247905326046,0.07051816933715492,0.6974237067969072,2.836148497329512,7.169242959869761,200
-2.2,0,abab,2.0753701630992674,0.07155345227896688,0.7197430512884324,2.7951132143876998,6.946923615378235,200
-2.16,0,abab,2.0103245548218363,0.07262042181531893,0.7437216900295114,2.754046244851348,6.722944976637157,200
-2.12,0,abab,1.9433709523043228,0.07372059552811733,0.7695751188342266,2.7129460711385494,6.497091547832441,200
