curve,t1,theta,beta_real,beta_imag,abs_beta
C_beta,1.0,0.0,0.447213595499958,0.0,0.447213595499958
C_beta,1.0,0.01750190893364787,0.44714510272596414,0.00782669203348512,0.447213595499958
C_beta,1.0,0.03500381786729574,0.44693964538393555,0.01565098668078179,0.44721359549995804
C_beta,1.0,0.05250572680094361,0.44659728640730456,0.023470487290042526,0.44721359549995804
C_beta,1.0,0.07000763573459148,0.446118130663706,0.03128279867787682,0.4472135954999579
C_beta,1.0,0.08750954466823935,0.4455023249228553,0.03908552786301736,0.447213595499958
C_beta,1.0,0.10501145360188723,0.4447500578115913,0.046876284799311774,0.4472135954999579
C_beta,1.0,0.1225133625355351,0.4438615597560987,0.05465268310781518,0.44721359549995804
C_beta,1.0,0.14001527146918297,0.4428371029113257,0.06241234080775959,0.4472135954999579
C_beta,1.0,0.15751718040283083,0.4416770010776213,0.07015288104617606,0.447213595499958
C_beta,1.0,0.1750190893364787,0.4403816096046148,0.07787193282594608,0.4472135954999579
C_beta,1.0,0.1925209982701266,0.43895132528236935,0.08556713173205942,0.447213595499958
C_beta,1.0,0.21002290720377445,0.43738658621984144,0.09323612065585556,0.44721359549995804
C_beta,1.0,0.22752481613742231,0.43568787171068424,0.10087655051702747,0.447213595499958
C_beta,1.0,0.2450267250710702,0.43385570208643565,0.10848608098316596,0.44721359549995804
C_beta,1.0,0.26252863400471804,0.431890638557136,0.11606238118662444,0.4472135954999579
C_beta,1.0,0.28003054293836593,0.4297932830394246,0.12360313043848492,0.44721359549995804
C_beta,1.0,0.2975324518720138,0.42756427797216673,0.1311060189394056,0.447213595499958
C_beta,1.0,0.31503436080566166,0.42520430611966953,0.13856874848713338,0.44721359549995804
C_beta,1.0,0.33253626973930955,0.42271409036254454,0.1459890331804639,0.447213595499958
C_beta,1.0,0.3500381786729574,0.42009439347628325,0.15336460011943354,0.447213595499958
C_beta,1.0,0.3675400876066053,0.417346017897612,0.16069319010152916,0.44721359549995804
C_beta,1.0,0.3850419965402532,0.4144698054786982,0.1679725583137022,0.4472135954999579
C_beta,1.0,0.402543905473901,0.41146663722928395,0.17520047501997504,0.44721359549995804
C_beta,1.0,0.4200458144075489,0.408337433046824,0.18237472624442938,0.447213595499958
C_beta,1.0,0.4375477233411968,0.40508315143471374,0.18949311444936667,0.4472135954999579
C_beta,1.0,0.45504963227484463,0.40170478920869057,0.19655345920843392,0.447213595499958
