kind,t1,band_index,real_E,imag_E,abs_E
open_chain,0.2,0,3.405343205373023e-08,-2.1272764146307834e-08,4.015179608762803e-08
open_chain,0.2,1,0.9999006296002565,0.6358057716849868,1.1849262628463135
open_chain,0.2,2,0.9996025609464972,0.6353446198015532,1.1844273155249232
open_chain,0.2,3,0.9991059219315268,0.6345758193843322,1.183595840557892
open_chain,0.2,4,0.9984109265679164,0.633499048594115,1.1824319950254452
open_chain,0.2,5,0.9975178762864657,0.6321138550087005,1.1809360013163377
open_chain,0.2,6,0.9964271617774885,0.6304196537677638,1.1791081496557507
open_chain,0.2,7,0.9951392653987757,0.6284157251765718,1.1769488014300418
open_chain,0.2,8,0.9999006296002565,-0.6358057716849882,1.1849262628463142
open_chain,0.2,9,0.9996025609464978,-0.6353446198015544,1.1844273155249243
open_chain,0.2,10,0.9991059219315259,-0.6345758193843325,1.1835958405578912
open_chain,0.2,11,0.9936547641817073,0.6261012117605663,1.1744583933665143
open_chain,0.2,12,0.9984109265679144,-0.6334990485941148,1.1824319950254434
open_chain,0.2,13,0.99197433347485,0.6234751147612094,1.171637442641441
open_chain,0.2,14,0.9975178762864683,-0.6321138550087023,1.1809360013163408
open_chain,0.2,15,0.9900987512732835,0.6205362900623187,1.1684865530065895
open_chain,0.2,16,0.996427161777488,-0.6304196537677632,1.17910814965575
open_chain,0.2,17,0.9778286932292295,0.601100395114156,1.1478112381000531
open_chain,0.2,18,0.9748050367355569,0.5962523753683648,1.1426993282475613
open_chain,0.2,19,0.9833105276334823,0.6098297263172338,1.157061748073537
open_chain,0.2,20,0.9806643674872465,0.6056254670224241,1.1525991532034416
open_chain,0.2,21,0.9857657888459924,0.6137151257890079,1.1611978496713553
open_chain,0.2,22,0.9951392653987763,-0.6284157251765708,1.1769488014300415
open_chain,0.2,23,0.9715950883597751,0.5910790817443463,1.1372649192692874
open_chain,0.2,24,0.9682007098768233,0.5855779883599501,1.131509697288393
open_chain,0.2,25,0.993654764181704,-0.6261012117605635,1.17445839336651
open_chain,0.2,26,0.9919743334748452,-0.6234751147612063,1.1716374426414353
open_chain,0.2,27,0.9646239491346447,0.5797463598330119,1.1254355623418633
open_chain,0.2,28,0.9608670566271459,0.5735812410074168,1.1190446552961697
open_chain,0.2,29,0.990098751273279,-0.6205362900623157,1.168486553006584
open_chain,0.2,30,0.956932504232503,0.5670794460959105,1.1123393887843467
open_chain,0.2,31,0.9857657888459925,-0.6137151257890068,1.1611978496713549
open_chain,0.2,32,0.9833105276334835,-0.609829726317235,1.1570617480735388
open_chain,0.2,33,0.9806643674872464,-0.605625467022424,1.1525991532034414
open_chain,0.2,34,0.9440913917691306,0.5455184452001509,1.0903664200928807
open_chain,0.2,35,0.9394761481824668,0.5376330679155604,1.0824346394679274
open_chain,0.2,36,0.9778286932292302,-0.6011003951141582,1.147811238100055
open_chain,0.2,37,0.934699770722254,0.5293912138855208,1.0742060876421338
open_chain,0.2,38,0.9748050367355567,-0.5962523753683625,1.14269932824756
open_chain,0.2,39,0.9297666146243806,0.5207880628224681,1.0656857717209425
open_chain,0.2,40,0.9485415440666287,0.5530518629095665,1.0979970054094166
open_chain,0.2,41,0.9715950883597738,-0.5910790817443448,1.1372649192692854
open_chain,0.2,42,0.9246814771193953,0.5118184797069893,1.0568793641174383
open_chain,0.2,43,0.9682007098768225,-0.5855779883599495,1.1315096972883918
open_chain,0.2,44,0.9194496473461002,0.5024770041919768,1.0477932972426443
open_chain,0.2,45,0.9646239491346421,-0.579746359833009,1.1254355623418595
open_chain,0.2,46,0.9140769627233779,0.4927578415936756,1.0384348724083055
open_chain,0.2,47,0.9608670566271447,-0.5735812410074165,1.1190446552961684
open_chain,0.2,48,0.9085698725688319,0.48265485619767223,1.0288123850104738
open_chain,0.2,49,0.9569325042325018,-0.5670794460959101,1.1123393887843454
open_chain,0.2,50,0.9485415440666244,-0.5530518629095638,1.0979970054094113
open_chain,0.2,51,0.9440913917691288,-0.5455184452001517,1.0903664200928795
open_chain,0.2,52,0.9029355098182777,0.4721615678071354,1.018935268309467
open_chain,0.2,53,0.9394761481824674,-0.5376330679155613,1.0824346394679283
open_chain,0.2,54,0.934699770722254,-0.5293912138855208,1.0742060876421338
open_chain,0.2,55,0.9297666146243796,-0.5207880628224686,1.0656857717209416
open_chain,0.2,56,0.9246814771193963,-0.5118184797069898,1.0568793641174394
open_chain,0.2,57,0.8913174106955168,0.4499764505229214,0.9984615829535796
