t1,branch_id,band_index,real_E,imag_E,abs_E
-3.0,0,0,-1.9294703197994623,-0.0,1.9294703197994623
-3.0,1,1,1.9294703197994623,0.0,1.9294703197994623
-3.0,2,2,-1.9428328283287004,-0.0,1.9428328283287004
-3.0,3,3,1.9428328283287004,0.0,1.9428328283287004
-3.0,4,4,-1.9648288535658391,-0.0,1.9648288535658391
-3.0,5,5,1.9648288535658391,0.0,1.9648288535658391
-3.0,6,6,-1.995064204150085,-0.0,1.995064204150085
-3.0,7,7,1.995064204150085,0.0,1.995064204150085
-3.0,8,9,-2.033020361369822,-0.0,2.033020361369822
-3.0,9,8,2.033020361369822,0.0,2.033020361369822
-3.0,10,10,-2.0780821597271677,-0.0,2.0780821597271677
-3.0,11,11,2.0780821597271677,0.0,2.0780821597271677
-3.0,12,12,-2.129566835314973,-0.0,2.129566835314973
-3.0,13,13,2.129566835314973,0.0,2.129566835314973
-3.0,14,14,-2.186751646832362,-0.0,2.186751646832362
-3.0,15,15,2.186751646832362,0.0,2.186751646832362
-3.0,16,17,-2.2488980920293953,-0.0,2.2488980920293953
-3.0,17,16,2.2488980920293953,0.0,2.2488980920293953
-3.0,18,19,-2.3152716517241574,-0.0,2.3152716517241574
-3.0,19,18,2.3152716517241574,0.0,2.3152716517241574
-3.0,20,20,-2.385156786865142,-0.0,2.385156786865142
-3.0,21,21,2.385156786865142,0.0,2.385156786865142
-3.0,22,22,-2.457867485079819,-0.0,2.457867485079819
-3.0,23,23,2.457867485079819,0.0,2.457867485079819
-3.0,24,24,-2.5327539852773566,-0.0,2.5327539852773566
-3.0,25,25,2.5327539852773566,0.0,2.5327539852773566
-3.0,26,26,-2.6092064415637544,-0.0,2.6092064415637544
-3.0,27,27,2.6092064415637544,0.0,2.6092064415637544
-3.0,28,29,-2.686656281867769,-0.0,2.686656281867769
-3.0,29,28,2.686656281867769,0.0,2.686656281867769
-3.0,30,30,-2.7645759310569,-0.0,2.7645759310569
-3.0,31,31,2.7645759310569,0.0,2.7645759310569
-3.0,32,32,-2.8424774483820046,-0.0,2.8424774483820046
