t1,branch_id,band_index,real_E,imag_E,abs_E
-3.0,0,0,-1.9293312016029118,-0.0,1.9293312016029118
-3.0,1,1,1.9293312016029118,0.0,1.9293312016029118
-3.0,2,2,-1.9422812489963734,-0.0,1.9422812489963734
-3.0,3,3,1.9422812489963734,0.0,1.9422812489963734
-3.0,4,4,-1.9636056914162976,-0.0,1.9636056914162976
-3.0,5,5,1.9636056914162976,0.0,1.9636056914162976
-3.0,6,6,-1.9929325999467953,-0.0,1.9929325999467953
-3.0,7,7,1.9929325999467953,0.0,1.9929325999467953
-3.0,8,9,-2.0297718881665006,-0.0,2.0297718881665006
-3.0,9,8,2.0297718881665006,0.0,2.0297718881665006
-3.0,10,10,-2.0735408572871425,-0.0,2.0735408572871425
-3.0,11,11,2.0735408572871425,0.0,2.0735408572871425
-3.0,12,12,-2.1235911567958476,-0.0,2.1235911567958476
-3.0,13,13,2.1235911567958476,0.0,2.1235911567958476
-3.0,14,14,-2.179234601642635,-0.0,2.179234601642635
-3.0,15,15,2.179234601642635,0.0,2.179234601642635
-3.0,16,17,-2.2397659998108743,-0.0,2.2397659998108743
-3.0,17,16,2.2397659998108743,0.0,2.2397659998108743
-3.0,18,19,-2.304481953945463,-0.0,2.304481953945463
-3.0,19,18,2.304481953945463,0.0,2.304481953945463
-3.0,20,20,-2.37269532172931,-0.0,2.37269532172931
-3.0,21,21,2.37269532172931,0.0,2.37269532172931
-3.0,22,22,-2.4437455514557165,-0.0,2.4437455514557165
-3.0,23,23,2.4437455514557165,0.0,2.4437455514557165
-3.0,24,24,-2.517005430218296,-0.0,2.517005430218296
-3.0,25,25,2.517005430218296,0.0,2.517005430218296
-3.0,26,26,-2.591884922129215,-0.0,2.591884922129215
-3.0,27,27,2.591884922129215,0.0,2.591884922129215
-3.0,28,29,-2.667832784490013,-0.0,2.667832784490013
-3.0,29,28,2.667832784490013,0.0,2.667832784490013
-3.0,30,30,-2.744336582817439,-0.0,2.744336582817439
-3.0,31,31,2.744336582817439,0.0,2.744336582817439
-3.0,32,32,-2.8209216225539966,-0.0,2.8209216225539966
-3.0,33,33,2.8209216225539966,0.0,2.8209216225539966
-3.0,34,34,-2.897149204269075,-0.0,2.897149204269075
-3.0,35,35,2.897149204269075,0.0,2.897149204269075
-3.0,36,36,-2.97261450640825,-0.0,2.97261450640825
-3.0,37,37,2.97261450640825,0.0,2.97261450640825
-3.0,38,39,-3.0469443126854077,-0.0,3.0469443126854077
-3.0,39,38,3.0469443126854077,0.0,3.0469443126854077
-3.0,40,40,-3.119794731993491,-0.0,3.119794731993491
-3.0,41,41,3.119794731993491,0.0,3.119794731993491
-3.0,42,42,-3.190849006133555,-0.0,3.190849006133555
-3.0,43,43,3.190849006133555,0.0,3.190849006133555
-3.0,44,44,-3.2598154622534286,-0.0,3.2598154622534286
-3.0,45,45,3.2598154622534286,0.0,3.2598154622534286
-3.0,46,46,-3.3264256398108416,-0.0,3.3264256398108416
-3.0,47,47,3.3264256398108416,0.0,3.3264256398108416
-3.0,48,49,-3.390432603466135,-0.0,3.390432603466135
-3.0,49,48,3.390432603466135,0.0,3.390432603466135
-3.0,50,50,-3.4516094413005693,-0.0,3.4516094413005693
-3.0,51,51,3.4516094413005693,0.0,3.4516094413005693
-3.0,52,52,-3.5097479403366285,-0.0,3.5097479403366285
-3.0,53,53,3.5097479403366285,0.0,3.5097479403366285
-3.0,54,54,-3.5646574271201787,-0.0,3.5646574271201787
-3.0,55,55,3.5646574271201787,0.0,3.5646574271201787
-3.0,56,56,-3.6161637590825775,-0.0,3.6161637590825775
-3.0,57,57,3.6161637590825775,0.0,3.6161637590825775
-3.0,58,59,-3.664108451791879,-0.0,3.664108451791879
-3.0,59,58,3.664108451791879,0.0,3.664108451791879
-3.0,60,60,-3.7083479275019076,-0.0,3.7083479275019076
-3.0,61,61,3.7083479275019076,0.0,3.7083479275019076
-3.0,62,62,-3.748752871254454,-0.0,3.748752871254454
-3.0,63,63,3.748752871254454,0.0,3.748752871254454
-3.0,64,64,-3.7852076819389144,-0.0,3.7852076819389144
-3.0,65,65,3.7852076819389144,0.0,3.7852076819389144
-3.0,66,66,-3.8176100070047885,-0.0,3.8176100070047885
