t1,branch_id,band_index,real_E,imag_E,abs_E
-3.0,0,0,-1.754025521801063,-0.0,1.754025521801063
-3.0,1,1,1.754025521801063,0.0,1.754025521801063
-3.0,2,2,-1.7673769566688085,-0.0,1.7673769566688085
-3.0,3,3,1.7673769566688085,0.0,1.7673769566688085
-3.0,4,4,-1.7893392848142962,-0.0,1.7893392848142962
-3.0,5,5,1.7893392848142962,0.0,1.7893392848142962
-3.0,6,6,-1.8194980970260863,-0.0,1.8194980970260863
-3.0,7,7,1.8194980970260863,0.0,1.8194980970260863
-3.0,8,9,-1.8573112071489313,-0.0,1.8573112071489313
-3.0,9,8,1.8573112071489313,0.0,1.8573112071489313
-3.0,10,10,-1.9021396890614075,-0.0,1.9021396890614075
-3.0,11,11,1.9021396890614075,0.0,1.9021396890614075
-3.0,12,12,-1.953279897454593,-0.0,1.953279897454593
-3.0,13,13,1.953279897454593,0.0,1.953279897454593
-3.0,14,14,-2.0099932767953272,-0.0,2.0099932767953272
-3.0,15,15,2.0099932767953272,0.0,2.0099932767953272
-3.0,16,17,-2.071531831769718,-0.0,2.071531831769718
-3.0,17,16,2.071531831769718,0.0,2.071531831769718
-3.0,18,19,-2.1371582519266807,-0.0,2.1371582519266807
-3.0,19,18,2.1371582519266807,0.0,2.1371582519266807
-3.0,20,20,-2.2061606040482737,-0.0,2.2061606040482737
-3.0,21,21,2.2061606040482737,0.0,2.2061606040482737
-3.0,22,22,-2.2778621210879773,-0.0,2.2778621210879773
-3.0,23,23,2.2778621210879773,0.0,2.2778621210879773
-3.0,24,24,-2.3516269330826645,-0.0,2.3516269330826645
-3.0,25,25,2.3516269330826645,0.0,2.3516269330826645
-3.0,26,26,-2.4268626714214276,-0.0,2.4268626714214276
-3.0,27,27,2.4268626714214276,0.0,2.4268626714214276
-3.0,28,29,-2.5030208172535215,-0.0,2.5030208172535215
-3.0,29,28,2.5030208172535215,0.0,2.5030208172535215
-3.0,30,30,-2.579595530345042,-0.0,2.579595530345042
-3.0,31,31,2.579595530345042,0.0,2.579595530345042
-3.0,32,32,-2.6561215376421043,-0.0,2.6561215376421043
-3.0,33,33,2.6561215376421043,0.0,2.6561215376421043
-3.0,34,34,-2.7321715115414635,-0.0,2.7321715115414635
-3.0,35,35,2.7321715115414635,0.0,2.7321715115414635
-3.0,36,36,-2.807353240877904,-0.0,2.807353240877904
-3.0,37,37,2.807353240877904,0.0,2.807353240877904
-3.0,38,39,-2.8813067971571247,-0.0,2.8813067971571247
-3.0,39,38,2.8813067971571247,0.0,2.8813067971571247
-3.0,40,40,-2.9537018232261656,-0.0,2.9537018232261656
-3.0,41,41,2.9537018232261656,0.0,2.9537018232261656
-3.0,42,42,-3.024235017528105,-0.0,3.024235017528105
-3.0,43,43,3.024235017528105,0.0,3.024235017528105
-3.0,44,44,-3.0926278498426503,-0.0,3.0926278498426503
-3.0,45,45,3.0926278498426503,0.0,3.0926278498426503
-3.0,46,46,-3.158624519781479,-0.0,3.158624519781479
-3.0,47,47,3.158624519781479,0.0,3.158624519781479
-3.0,48,49,-3.2219901537834663,-0.0,3.2219901537834663
-3.0,49,48,3.2219901537834663,0.0,3.2219901537834663
